parent	child
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000005
0000001	0000006
0000001	0000007
0000002	0000008
0000008	0000009
0000009	0000010
0000010	0000011
0000003	0000011
0000003	0000012
0000003	0000013
0000004	0000014
0000004	0000015
0000005	0000016
0000005	0000017
0000006	0000018
0000006	0000019
0000014	0000020
0000015	0000021
0000015	0000022
0000017	0000022
0000016	0000023
0000018	0000024
0000019	0000025
0000019	0000026
0000022	0000031
0000023	0000031
0000012	0000031
0000016	0000019
0000025	0000031
0000022	0000032
0000011	0000028
0000013	0000025
0000006	0000023

