child	parent
GO:0000988	GO:0003674
GO:0001046	GO:0001047
GO:0001046	GO:0005488
GO:0001047	GO:0005488
GO:0001071	GO:0003674
GO:0001085	GO:0005488
GO:0003714	GO:0000988
GO:0003824	GO:0003674
GO:0003924	GO:0003824
GO:0004252	GO:0003824
GO:0004252	GO:0070011
GO:0004519	GO:0003824
GO:0004553	GO:0003824
GO:0004872	GO:0003674
GO:0005085	GO:0003674
GO:0005198	GO:0003674
GO:0005215	GO:0003674
GO:0005261	GO:0005215
GO:0005262	GO:0005261
GO:0005262	GO:0015085
GO:0005488	GO:0003674
GO:0008013	GO:0005488
GO:0008408	GO:0003824
GO:0009055	GO:0003674
GO:0015085	GO:0005215
GO:0015085	GO:0072509
GO:0016209	GO:0003674
GO:0016247	GO:0003674
GO:0016298	GO:0003824
GO:0016757	GO:0003824
GO:0016893	GO:0004519
GO:0018024	GO:0003824
GO:0019001	GO:0005488
GO:0019829	GO:0003824
GO:0019829	GO:0005215
GO:0019901	GO:0005488
GO:0020037	GO:0005488
GO:0030234	GO:0003674
GO:0030414	GO:0030234
GO:0031267	GO:0005488
GO:0033613	GO:0005488
GO:0035251	GO:0016757
GO:0038023	GO:0004872
GO:0038023	GO:0060089
GO:0042379	GO:0005488
GO:0043021	GO:0005488
GO:0047485	GO:0005488
GO:0050662	GO:0005488
GO:0050839	GO:0005488
GO:0051287	GO:0005488
GO:0051287	GO:0050662
GO:0060089	GO:0003674
GO:0070011	GO:0003824
GO:0070035	GO:0003824
GO:0070851	GO:0005488
GO:0072509	GO:0005215
