parent	child
GO:0008150	GO:0000003
GO:0009987	GO:0000075
GO:0050789	GO:0000075
GO:0006807	GO:0000728
GO:0007534	GO:0000728
GO:0022414	GO:0000728
GO:0044237	GO:0000728
GO:0044238	GO:0000728
GO:0071704	GO:0000728
GO:0006807	GO:0000734
GO:0006950	GO:0000734
GO:0007534	GO:0000734
GO:0009058	GO:0000734
GO:0022414	GO:0000734
GO:0044237	GO:0000734
GO:0044238	GO:0000734
GO:0051716	GO:0000734
GO:0071704	GO:0000734
GO:0016043	GO:0000742
GO:0019953	GO:0000742
GO:0022414	GO:0000742
GO:0044764	GO:0000742
GO:0019953	GO:0000749
GO:0022414	GO:0000749
GO:0042221	GO:0000749
GO:0044764	GO:0000749
GO:0051716	GO:0000749
GO:0000749	GO:0000751
GO:0022402	GO:0000751
GO:0022414	GO:0000751
GO:0050789	GO:0000751
GO:0000749	GO:0000754
GO:0022414	GO:0000754
GO:0050789	GO:0000754
GO:0009987	GO:0000920
GO:0044763	GO:0000920
GO:0009653	GO:0001502
GO:0044707	GO:0001502
GO:0044767	GO:0001502
GO:0048856	GO:0001502
GO:0098743	GO:0001502
GO:0003006	GO:0001545
GO:0022602	GO:0001545
GO:0040007	GO:0001545
GO:0044702	GO:0001545
GO:0044707	GO:0001545
GO:0044767	GO:0001545
GO:0048856	GO:0001545
GO:0003006	GO:0001546
GO:0019953	GO:0001546
GO:0022602	GO:0001546
GO:0032504	GO:0001546
GO:0040007	GO:0001546
GO:0044702	GO:0001546
GO:0044707	GO:0001546
GO:0044763	GO:0001546
GO:0044767	GO:0001546
GO:0048609	GO:0001546
GO:0048856	GO:0001546
GO:0003006	GO:0001550
GO:0019953	GO:0001550
GO:0022602	GO:0001550
GO:0032504	GO:0001550
GO:0040007	GO:0001550
GO:0044702	GO:0001550
GO:0044707	GO:0001550
GO:0044763	GO:0001550
GO:0044767	GO:0001550
GO:0048589	GO:0001550
GO:0048609	GO:0001550
GO:0048856	GO:0001550
GO:0002376	GO:0001776
GO:0065008	GO:0001776
GO:0001909	GO:0001788
GO:0002252	GO:0001788
GO:0006950	GO:0001788
GO:0006955	GO:0001788
GO:0044699	GO:0001788
GO:0008150	GO:0001906
GO:0001906	GO:0001909
GO:0001909	GO:0001913
GO:0002252	GO:0001913
GO:0006955	GO:0001913
GO:0044699	GO:0001913
GO:0002376	GO:0002200
GO:0002520	GO:0002200
GO:0006950	GO:0002209
GO:0007610	GO:0002209
GO:0002376	GO:0002252
GO:0002376	GO:0002253
GO:0050789	GO:0002253
GO:0002376	GO:0002262
GO:0065008	GO:0002262
GO:0002376	GO:0002339
GO:0002520	GO:0002339
GO:0044707	GO:0002339
GO:0044763	GO:0002339
GO:0044767	GO:0002339
GO:0045321	GO:0002339
GO:0048856	GO:0002339
GO:0008150	GO:0002376
GO:0002376	GO:0002404
GO:0006955	GO:0002404
GO:0002376	GO:0002440
GO:0002376	GO:0002507
GO:0002520	GO:0002507
GO:0002376	GO:0002520
GO:0044707	GO:0002520
GO:0044767	GO:0002520
GO:0048856	GO:0002520
GO:0000003	GO:0003006
GO:0022414	GO:0003006
GO:0032502	GO:0003006
GO:0032501	GO:0003008
GO:0009987	GO:0006457
GO:0044699	GO:0006791
GO:0008152	GO:0006807
GO:0050896	GO:0006950
GO:0002376	GO:0006955
GO:0050896	GO:0006955
GO:0009987	GO:0007017
GO:0019954	GO:0007117
GO:0022414	GO:0007117
GO:0032505	GO:0007117
GO:0040007	GO:0007117
GO:0044763	GO:0007117
GO:0009987	GO:0007154
GO:0022610	GO:0007155
GO:0007154	GO:0007165
GO:0009987	GO:0007165
GO:0044700	GO:0007165
GO:0050789	GO:0007165
GO:0051716	GO:0007165
GO:0007154	GO:0007269
GO:0044700	GO:0007269
GO:0044763	GO:0007269
GO:0051234	GO:0007269
GO:0051641	GO:0007269
GO:0065008	GO:0007269
GO:0099531	GO:0007269
GO:1902578	GO:0007269
GO:0003006	GO:0007289
GO:0016043	GO:0007289
GO:0019953	GO:0007289
GO:0022414	GO:0007289
GO:0032504	GO:0007289
GO:0044702	GO:0007289
GO:0044763	GO:0007289
GO:0044767	GO:0007289
GO:0048609	GO:0007289
GO:0048856	GO:0007289
GO:0007289	GO:0007290
GO:0016043	GO:0007290
GO:0022414	GO:0007290
GO:0003006	GO:0007302
GO:0019953	GO:0007302
GO:0022414	GO:0007302
GO:0022610	GO:0007302
GO:0032504	GO:0007302
GO:0044702	GO:0007302
GO:0044763	GO:0007302
GO:0044767	GO:0007302
GO:0048609	GO:0007302
GO:0048856	GO:0007302
GO:0051234	GO:0007302
GO:1902578	GO:0007302
GO:0003006	GO:0007303
GO:0019953	GO:0007303
GO:0022414	GO:0007303
GO:0032504	GO:0007303
GO:0044702	GO:0007303
GO:0044763	GO:0007303
GO:0044767	GO:0007303
GO:0048609	GO:0007303
GO:0048856	GO:0007303
GO:0051234	GO:0007303
GO:0051641	GO:0007303
GO:1902578	GO:0007303
GO:0003006	GO:0007316
GO:0016043	GO:0007316
GO:0019953	GO:0007316
GO:0022414	GO:0007316
GO:0032504	GO:0007316
GO:0033036	GO:0007316
GO:0044085	GO:0007316
GO:0044702	GO:0007316
GO:0044707	GO:0007316
GO:0044763	GO:0007316
GO:0044767	GO:0007316
GO:0048609	GO:0007316
GO:0048856	GO:0007316
GO:0003006	GO:0007318
GO:0016043	GO:0007318
GO:0019953	GO:0007318
GO:0022414	GO:0007318
GO:0032504	GO:0007318
GO:0033036	GO:0007318
GO:0044085	GO:0007318
GO:0044702	GO:0007318
GO:0044707	GO:0007318
GO:0044763	GO:0007318
GO:0044767	GO:0007318
GO:0048609	GO:0007318
GO:0048856	GO:0007318
GO:0019953	GO:0007340
GO:0022414	GO:0007340
GO:0044702	GO:0007340
GO:0016043	GO:0007344
GO:0019953	GO:0007344
GO:0022414	GO:0007344
GO:0044702	GO:0007344
GO:0003006	GO:0007534
GO:0006807	GO:0007534
GO:0022413	GO:0007534
GO:0022414	GO:0007534
GO:0044237	GO:0007534
GO:0044238	GO:0007534
GO:0044702	GO:0007534
GO:0044763	GO:0007534
GO:0044767	GO:0007534
GO:0071704	GO:0007534
GO:0008150	GO:0007610
GO:0007610	GO:0007622
GO:0048511	GO:0007622
GO:0048511	GO:0007623
GO:0044699	GO:0007624
GO:0048511	GO:0007624
GO:0007610	GO:0007626
GO:0007610	GO:0007631
GO:0003006	GO:0008103
GO:0007017	GO:0008103
GO:0016043	GO:0008103
GO:0019953	GO:0008103
GO:0022414	GO:0008103
GO:0032504	GO:0008103
GO:0044702	GO:0008103
GO:0044707	GO:0008103
GO:0044763	GO:0008103
GO:0044767	GO:0008103
GO:0048609	GO:0008103
GO:0048856	GO:0008103
GO:0008150	GO:0008152
GO:0044699	GO:0008283
GO:0008152	GO:0009056
GO:0008152	GO:0009058
GO:0050896	GO:0009605
GO:0050896	GO:0009607
GO:0050896	GO:0009628
GO:0032502	GO:0009653
GO:0048856	GO:0009653
GO:0050896	GO:0009719
GO:0044699	GO:0009758
GO:0032502	GO:0009838
GO:0044707	GO:0009838
GO:0044767	GO:0009838
GO:0048856	GO:0009838
GO:0032502	GO:0009847
GO:0007154	GO:0009875
GO:0022414	GO:0009875
GO:0044702	GO:0009875
GO:0044706	GO:0009875
GO:0008150	GO:0009987
GO:0042221	GO:0010127
GO:0098754	GO:0010127
GO:0008152	GO:0010166
GO:0003006	GO:0010183
GO:0022414	GO:0010183
GO:0042221	GO:0010183
GO:0042330	GO:0010183
GO:0044702	GO:0010183
GO:0044706	GO:0010183
GO:0048856	GO:0010183
GO:0006950	GO:0010312
GO:0042221	GO:0010312
GO:0098754	GO:0010312
GO:0003006	GO:0010344
GO:0022414	GO:0010344
GO:0044085	GO:0010344
GO:0044702	GO:0010344
GO:0044707	GO:0010344
GO:0044767	GO:0010344
GO:0048856	GO:0010344
GO:0009987	GO:0010496
GO:0051234	GO:0010496
GO:0050896	GO:0014823
GO:0050896	GO:0014854
GO:0050789	GO:0014874
GO:0050896	GO:0014874
GO:0044699	GO:0015976
GO:0009987	GO:0016043
GO:0071840	GO:0016043
GO:0040007	GO:0016049
GO:0044763	GO:0016049
GO:0007154	GO:0016079
GO:0007269	GO:0016079
GO:0044700	GO:0016079
GO:0044763	GO:0016079
GO:0051234	GO:0016079
GO:0051641	GO:0016079
GO:0099531	GO:0016079
GO:1902578	GO:0016079
