GO:0008150	GO:0000003
GO:0000070	GO:0000022
GO:0000278	GO:0000022
GO:0007052	GO:0000022
GO:0051231	GO:0000022
GO:1903047	GO:0000022
GO:0005984	GO:0000023
GO:0019627	GO:0000050
GO:0043603	GO:0000050
GO:0044271	GO:0000050
GO:0044711	GO:0000050
GO:1901566	GO:0000050
GO:0006575	GO:0000053
GO:0043436	GO:0000053
GO:1901605	GO:0000053
GO:0000278	GO:0000070
GO:0000819	GO:0000070
GO:0007067	GO:0000070
GO:1903047	GO:0000070
GO:0022402	GO:0000073
GO:0051300	GO:0000073
GO:0009987	GO:0000075
GO:0048523	GO:0000075
GO:0051726	GO:0000075
GO:0031570	GO:0000076
GO:0006974	GO:0000077
GO:0031570	GO:0000077
GO:0009889	GO:0000083
GO:0031323	GO:0000083
GO:0044772	GO:0000083
GO:0044843	GO:0000083
GO:0051171	GO:0000083
GO:0060255	GO:0000083
GO:0080090	GO:0000083
GO:1903047	GO:0000083
GO:0006520	GO:0000096
GO:0006790	GO:0000096
GO:0006790	GO:0000103
GO:0000278	GO:0000117
GO:0009889	GO:0000117
GO:0031323	GO:0000117
GO:0044772	GO:0000117
GO:0044839	GO:0000117
GO:0051171	GO:0000117
GO:0060255	GO:0000117
GO:0080090	GO:0000117
GO:1903047	GO:0000117
GO:0098630	GO:0000128
GO:0007010	GO:0000147
GO:0022607	GO:0000147
GO:0030036	GO:0000147
GO:0044396	GO:0000147
GO:0035556	GO:0000160
GO:0000165	GO:0000161
GO:0007231	GO:0000161
GO:0023014	GO:0000165
GO:0035556	GO:0000165
GO:0000165	GO:0000196
GO:0071554	GO:0000196
GO:0000161	GO:0000208
GO:0000165	GO:0000208
GO:0006886	GO:0000208
GO:0007231	GO:0000208
GO:0017038	GO:0000208
GO:0034613	GO:0000208
GO:0051169	GO:0000208
GO:0072594	GO:0000208
GO:1902582	GO:0000208
GO:0007051	GO:0000212
GO:0051321	GO:0000212
GO:1903046	GO:0000212
GO:0007010	GO:0000226
GO:0007017	GO:0000226
GO:0043603	GO:0000255
GO:0046483	GO:0000255
GO:1901360	GO:0000255
GO:1901564	GO:0000255
GO:0007049	GO:0000278
GO:0000278	GO:0000281
GO:0061640	GO:0000281
GO:1903047	GO:0000281
GO:0000281	GO:0000282
GO:0030010	GO:0000282
GO:1903047	GO:0000282
GO:0006979	GO:0000302
GO:1901700	GO:0000302
GO:0000302	GO:0000304
GO:0010035	GO:0000304
GO:0000302	GO:0000305
GO:0010035	GO:0000305
GO:0022402	GO:0000320
GO:0000320	GO:0000321
GO:0000754	GO:0000321
GO:0006914	GO:0000422
GO:0007005	GO:0000422
GO:0044712	GO:0000422
GO:1903008	GO:0000422
GO:0000128	GO:0000501
GO:0006259	GO:0000706
GO:0006974	GO:0000706
GO:0051321	GO:0000706
GO:1903046	GO:0000706
GO:0006259	GO:0000707
GO:0006974	GO:0000707
GO:0007127	GO:0000707
GO:0051321	GO:0000707
GO:0065003	GO:0000707
GO:0071824	GO:0000707
GO:1903046	GO:0000707
GO:0007131	GO:0000709
GO:1903046	GO:0000709
GO:0006259	GO:0000710
GO:0006974	GO:0000710
GO:0007127	GO:0000710
GO:0051321	GO:0000710
GO:1903046	GO:0000710
GO:0006259	GO:0000711
GO:0006974	GO:0000711
GO:0007127	GO:0000711
GO:0034645	GO:0000711
GO:0034654	GO:0000711
GO:1903046	GO:0000711
GO:0007131	GO:0000712
GO:0051307	GO:0000712
GO:1903046	GO:0000712
GO:0006259	GO:0000713
GO:0007127	GO:0000713
GO:0051321	GO:0000713
GO:1903046	GO:0000713
GO:0006259	GO:0000714
GO:0007127	GO:0000714
GO:0051321	GO:0000714
GO:1903046	GO:0000714
GO:0007534	GO:0000728
GO:0022414	GO:0000728
GO:0090304	GO:0000728
GO:0006259	GO:0000734
GO:0006974	GO:0000734
GO:0007534	GO:0000734
GO:0022414	GO:0000734
GO:0034645	GO:0000734
GO:0034654	GO:0000734
GO:0000747	GO:0000742
GO:0006997	GO:0000742
GO:0022414	GO:0000742
GO:0048284	GO:0000742
GO:0000747	GO:0000743
GO:0040023	GO:0000743
GO:0044702	GO:0000743
GO:0072384	GO:0000743
GO:0044764	GO:0000746
GO:0000746	GO:0000747
GO:0019953	GO:0000747
GO:0000747	GO:0000749
GO:0019236	GO:0000749
GO:0022414	GO:0000749
GO:0071310	GO:0000749
GO:0000749	GO:0000750
GO:0007186	GO:0000750
GO:0032005	GO:0000750
GO:0000749	GO:0000751
GO:0022414	GO:0000751
GO:0071850	GO:0000751
GO:0000747	GO:0000752
GO:0000749	GO:0000752
GO:0000771	GO:0000752
GO:0044703	GO:0000752
GO:0098630	GO:0000752
GO:0000747	GO:0000753
GO:0000749	GO:0000753
GO:0000767	GO:0000753
GO:0003006	GO:0000753
GO:0044702	GO:0000753
GO:0000749	GO:0000754
GO:0009966	GO:0000754
GO:0022414	GO:0000754
GO:0000747	GO:0000755
GO:0022413	GO:0000755
GO:0000746	GO:0000767
GO:0000902	GO:0000767
GO:0006949	GO:0000768
GO:0006949	GO:0000769
GO:0000746	GO:0000771
GO:0098610	GO:0000771
GO:0051276	GO:0000819
GO:0098813	GO:0000819
GO:1902589	GO:0000819
