child	parent
GO:0000002	GO:0007005
GO:0000003	GO:0008150
GO:0000012	GO:0006281
GO:0000018	GO:0051052
GO:0000023	GO:0005984
GO:0000041	GO:0030001
GO:0000042	GO:0000301
GO:0000042	GO:0006605
GO:0000042	GO:0034067
GO:0000042	GO:0072600
GO:0000042	GO:1902580
GO:0000050	GO:0019627
GO:0000050	GO:0043604
GO:0000050	GO:0044711
GO:0000050	GO:1901566
GO:0000052	GO:0006575
GO:0000052	GO:1901605
GO:0000053	GO:0006575
GO:0000053	GO:0072350
GO:0000053	GO:1901605
GO:0000054	GO:0033753
GO:0000054	GO:0042254
GO:0000054	GO:0071428
GO:0000054	GO:1902580
GO:0000070	GO:0000278
GO:0000070	GO:0000819
GO:0000070	GO:0007067
GO:0000070	GO:1903047
GO:0000073	GO:0022402
GO:0000073	GO:0051300
GO:0000075	GO:0022402
GO:0000076	GO:0031570
GO:0000077	GO:0006974
GO:0000077	GO:0031570
GO:0000080	GO:0051318
GO:0000080	GO:0051329
GO:0000080	GO:0098763
GO:0000084	GO:0051320
GO:0000084	GO:0051329
GO:0000084	GO:0098763
GO:0000085	GO:0051319
GO:0000085	GO:0051329
GO:0000085	GO:0098763
GO:0000087	GO:0000279
GO:0000087	GO:0098763
GO:0000088	GO:0000087
GO:0000088	GO:0051324
GO:0000088	GO:0098763
GO:0000089	GO:0000087
GO:0000089	GO:0051323
GO:0000089	GO:0098763
GO:0000090	GO:0000087
GO:0000090	GO:0051322
GO:0000090	GO:0098763
GO:0000093	GO:0000087
GO:0000093	GO:0051326
GO:0000093	GO:0098763
GO:0000096	GO:0006520
GO:0000096	GO:0006790
GO:0000097	GO:0000096
GO:0000097	GO:0008652
GO:0000097	GO:0044272
GO:0000103	GO:0006790
GO:0000122	GO:0006357
GO:0000122	GO:0045892
GO:0000128	GO:0098630
GO:0000147	GO:0022607
GO:0000147	GO:0030866
GO:0000147	GO:0044396
GO:0000160	GO:0035556
GO:0000165	GO:0023014
GO:0000165	GO:0035556
GO:0000185	GO:0032147
GO:0000185	GO:0043405
GO:0000185	GO:0043410
GO:0000185	GO:0071902
GO:0000186	GO:0032147
GO:0000186	GO:0043405
GO:0000186	GO:0043410
GO:0000187	GO:0032147
GO:0000187	GO:0043406
GO:0000188	GO:0043407
GO:0000189	GO:0000165
GO:0000189	GO:0006606
GO:0000196	GO:0000165
GO:0000196	GO:0071554
GO:0000197	GO:0000185
GO:0000197	GO:0044087
GO:0000197	GO:1903139
GO:0000198	GO:0000186
GO:0000198	GO:0044087
GO:0000198	GO:1903139
GO:0000199	GO:0000187
GO:0000199	GO:0044087
GO:0000199	GO:1903139
GO:0000200	GO:0000188
GO:0000200	GO:0044087
GO:0000200	GO:1903138
GO:0000201	GO:0000189
GO:0000201	GO:0000196
GO:0000201	GO:0042546
GO:0000209	GO:0016567
GO:0000212	GO:0007051
GO:0000212	GO:0051321
GO:0000212	GO:1903046
GO:0000226	GO:0007010
GO:0000226	GO:0007017
GO:0000226	GO:1902589
GO:0000236	GO:0098763
GO:0000255	GO:0043603
GO:0000255	GO:0046483
GO:0000255	GO:1901360
GO:0000255	GO:1901564
GO:0000266	GO:0007005
GO:0000266	GO:0048285
GO:0000270	GO:0030203
GO:0000271	GO:0005976
GO:0000271	GO:0009059
GO:0000271	GO:0016051
GO:0000272	GO:0005976
GO:0000272	GO:0009057
GO:0000272	GO:0016052
GO:0000278	GO:0007049
GO:0000279	GO:0022403
GO:0000280	GO:0048285
GO:0000281	GO:0000278
GO:0000281	GO:0061640
GO:0000281	GO:1903047
GO:0000282	GO:0000281
GO:0000282	GO:0030010
GO:0000282	GO:1902408
GO:0000301	GO:0006891
GO:0000302	GO:0006979
GO:0000302	GO:1901700
GO:0000303	GO:0000305
GO:0000304	GO:0000302
GO:0000304	GO:0010035
GO:0000305	GO:0000302
GO:0000305	GO:0010035
GO:0000320	GO:0022402
GO:0000321	GO:0000320
GO:0000321	GO:0000754
GO:0000321	GO:0044702
GO:0000412	GO:0000413
GO:0000412	GO:0016570
GO:0000413	GO:0018208
GO:0000422	GO:0006914
GO:0000422	GO:0007005
GO:0000422	GO:0044712
GO:0000422	GO:0061726
GO:0000423	GO:0000422
GO:0000423	GO:0016236
GO:0000424	GO:0000422
GO:0000424	GO:0016237
GO:0000425	GO:0016236
