parent	child
GO:0005575	GO:0005576
GO:0005575	GO:0005623
GO:0005575	GO:0009295
GO:0005575	GO:0016020
GO:0005575	GO:0019012
GO:0005575	GO:0030054
GO:0005575	GO:0031974
GO:0005575	GO:0032991
GO:0005575	GO:0039679
GO:0005575	GO:0043226
GO:0005575	GO:0044215
GO:0005575	GO:0044217
GO:0044215	GO:0044217
GO:0005575	GO:0044421
GO:0005576	GO:0044421
GO:0005575	GO:0044422
GO:0043226	GO:0044422
GO:0005575	GO:0044423
GO:0019012	GO:0044423
GO:0005575	GO:0044425
GO:0016020	GO:0044425
GO:0005575	GO:0044456
GO:0045202	GO:0044456
GO:0005575	GO:0044464
GO:0005623	GO:0044464
GO:0005575	GO:0045202
GO:0005575	GO:0055044
GO:0005575	GO:0097423
GO:0005575	GO:0099080
