parent	child
HP:0000001	HP:0000005
HP:0000005	HP:0000006
HP:0000005	HP:0000007
HP:0000001	HP:0000118
HP:0000118	HP:0000119
HP:0000118	HP:0000152
HP:0000118	HP:0000478
HP:0000118	HP:0000598
HP:0000118	HP:0000707
HP:0000118	HP:0000769
HP:0000118	HP:0000818
HP:0000118	HP:0000924
HP:0000118	HP:0001197
HP:0000005	HP:0001425
HP:0000005	HP:0001426
HP:0000005	HP:0001427
HP:0000005	HP:0001428
HP:0000005	HP:0001466
HP:0000005	HP:0001472
HP:0000118	HP:0001507
HP:0000118	HP:0001574
HP:0000118	HP:0001608
HP:0000118	HP:0001626
HP:0000118	HP:0001871
HP:0000118	HP:0001939
HP:0000118	HP:0002086
HP:0000118	HP:0002664
HP:0000118	HP:0002715
HP:0000118	HP:0003011
HP:0000118	HP:0003549
HP:0012823	HP:0003674
HP:0012823	HP:0003679
HP:0000005	HP:0003743
HP:0000005	HP:0003745
HP:0012823	HP:0003812
HP:0000005	HP:0010985
HP:0012823	HP:0011008
HP:0040006	HP:0011420
HP:0000001	HP:0012823
HP:0012823	HP:0012824
HP:0012823	HP:0012830
HP:0000118	HP:0025031
HP:0000118	HP:0025142
HP:0012823	HP:0025204
HP:0012823	HP:0025254
HP:0012823	HP:0025280
HP:0012823	HP:0025285
HP:0000118	HP:0025354
HP:0000001	HP:0040006
HP:0000118	HP:0040064
HP:0000001	HP:0040279
HP:0040279	HP:0040280
HP:0040279	HP:0040281
HP:0040279	HP:0040282
HP:0040279	HP:0040283
HP:0040279	HP:0040284
HP:0040279	HP:0040285
HP:0000118	HP:0045027
