parent	child
GO:0016740	GO:0000031
GO:0016810	GO:0000034
GO:0019239	GO:0000034
GO:0005488	GO:0000035
GO:0043168	GO:0000062
GO:0050662	GO:0000062
GO:1901681	GO:0000062
GO:0005515	GO:0000149
GO:0003824	GO:0000150
GO:0016772	GO:0000155
GO:0038023	GO:0000155
GO:0004871	GO:0000156
GO:0036094	GO:0000166
GO:1901265	GO:0000166
GO:0016491	GO:0000170
GO:0003824	GO:0000384
GO:0003824	GO:0000386
GO:0030371	GO:0000900
GO:0090079	GO:0000900
GO:0003700	GO:0000981
GO:0003674	GO:0000988
GO:0000988	GO:0000989
GO:0000988	GO:0000990
GO:0000990	GO:0000991
GO:0000990	GO:0000995
GO:0000990	GO:0000996
GO:0000989	GO:0001007
GO:0001134	GO:0001010
GO:0003700	GO:0001010
GO:0003700	GO:0001011
GO:0003700	GO:0001034
GO:0001071	GO:0001070
GO:0003674	GO:0001071
GO:0001070	GO:0001072
GO:0003700	GO:0001073
GO:0000989	GO:0001076
GO:0000989	GO:0001082
GO:0005515	GO:0001098
GO:0003700	GO:0001130
GO:0000989	GO:0001134
GO:0003700	GO:0001167
GO:0000990	GO:0001181
GO:0003700	GO:0001199
GO:0016491	GO:0001512
GO:0008289	GO:0001530
GO:0097367	GO:0001530
GO:0038023	GO:0001565
GO:0004872	GO:0001618
GO:0038023	GO:0001653
GO:0005543	GO:0001786
GO:0072341	GO:0001786
GO:0005515	GO:0001846
GO:0005515	GO:0001848
GO:0005488	GO:0001871
GO:0036094	GO:0001882
GO:0097159	GO:0001882
GO:0097367	GO:0001882
GO:1901363	GO:0001882
GO:0005515	GO:0001918
GO:0005515	GO:0001948
GO:0097367	GO:0001948
GO:0005515	GO:0001965
GO:0005515	GO:0001968
GO:0005515	GO:0002039
GO:0005515	GO:0002046
GO:0036094	GO:0002054
GO:0097159	GO:0002054
GO:1901363	GO:0002054
GO:0097159	GO:0003676
GO:1901363	GO:0003676
GO:0005488	GO:0003682
GO:0001071	GO:0003700
GO:0038023	GO:0003707
GO:0004879	GO:0003708
GO:0038023	GO:0003708
GO:0000989	GO:0003712
GO:0005198	GO:0003735
GO:0016798	GO:0003796
GO:0061783	GO:0003796
GO:0005488	GO:0003823
GO:0003674	GO:0003824
GO:0016491	GO:0003826
GO:0016787	GO:0003832
GO:0016874	GO:0003833
GO:0016853	GO:0003916
GO:0016787	GO:0003923
GO:0009975	GO:0003963
GO:0016886	GO:0003963
GO:0016810	GO:0004000
GO:0019239	GO:0004000
GO:0009975	GO:0004016
GO:0016849	GO:0004016
GO:0016782	GO:0004076
GO:0070283	GO:0004076
GO:0004601	GO:0004096
GO:0016810	GO:0004126
GO:0019239	GO:0004126
GO:0009055	GO:0004129
GO:0015002	GO:0004129
GO:0016675	GO:0004129
GO:0022891	GO:0004129
GO:0004601	GO:0004130
GO:0016810	GO:0004131
GO:0019239	GO:0004131
GO:0016810	GO:0004132
GO:0019239	GO:0004132
GO:0003824	GO:0004133
GO:0004133	GO:0004134
GO:0016757	GO:0004134
GO:0004133	GO:0004135
GO:0016798	GO:0004135
GO:0019239	GO:0004153
GO:0016829	GO:0004325
GO:0016860	GO:0004342
GO:0019239	GO:0004342
GO:0016209	GO:0004362
GO:0016651	GO:0004362
GO:0016667	GO:0004362
GO:0009975	GO:0004383
GO:0016849	GO:0004383
GO:0004601	GO:0004447
GO:0016491	GO:0004497
GO:0016209	GO:0004601
GO:0016684	GO:0004601
GO:0004601	GO:0004602
GO:0005057	GO:0004702
GO:0016772	GO:0004702
GO:0004871	GO:0004708
GO:0016772	GO:0004708
GO:0005057	GO:0004716
GO:0016772	GO:0004716
GO:0005057	GO:0004728
GO:0016788	GO:0004728
GO:0016209	GO:0004784
GO:0016721	GO:0004784
GO:0016209	GO:0004791
GO:0016651	GO:0004791
GO:0016667	GO:0004791
GO:0016491	GO:0004800
GO:0003824	GO:0004803
GO:0016491	GO:0004836
GO:0030234	GO:0004857
GO:0003674	GO:0004871
GO:0060089	GO:0004872
GO:0038023	GO:0004874
GO:0000981	GO:0004879
GO:0004871	GO:0004879
GO:0098531	GO:0004879
GO:0004879	GO:0004880
GO:0038023	GO:0004880
GO:0003707	GO:0004882
GO:0004879	GO:0004882
GO:0003707	GO:0004884
GO:0004879	GO:0004884
GO:0004879	GO:0004887
GO:0038023	GO:0004887
GO:0038023	GO:0004888
GO:0099600	GO:0004888
GO:0038023	GO:0005030
GO:0005487	GO:0005049
GO:0015197	GO:0005049
GO:0004872	GO:0005055
GO:0004871	GO:0005057
GO:0004871	GO:0005068
GO:0005102	GO:0005068
GO:0019899	GO:0005068
GO:0030674	GO:0005068
GO:0035591	GO:0005068
GO:0005057	GO:0005072
GO:0019899	GO:0005078
GO:0032947	GO:0005078
GO:0035591	GO:0005078
GO:0098772	GO:0005085
GO:0005085	GO:0005086
GO:0005085	GO:0005088
GO:0005085	GO:0005090
GO:0060589	GO:0005090
GO:0005515	GO:0005102
GO:0003674	GO:0005198
GO:0005198	GO:0005199
GO:0005198	GO:0005200
GO:0005198	GO:0005201
GO:0005198	GO:0005212
GO:0005198	GO:0005213
GO:0042302	GO:0005214
GO:0003674	GO:0005215
GO:0005326	GO:0005277
GO:0022891	GO:0005277
GO:1901375	GO:0005277
GO:0022891	GO:0005308
GO:0051184	GO:0005308
GO:0072349	GO:0005308
GO:0022892	GO:0005319
GO:0005319	GO:0005325
GO:0015607	GO:0005325
GO:0005215	GO:0005326
GO:0005326	GO:0005328
GO:0022804	GO:0005328
GO:0022891	GO:0005328
GO:0022891	GO:0005337
GO:1901505	GO:0005337
GO:0022891	GO:0005338
GO:1901505	GO:0005338
GO:0022892	GO:0005344
GO:0015605	GO:0005346
GO:0022891	GO:0005346
GO:1901505	GO:0005346
GO:0005515	GO:0005483
GO:0005515	GO:0005484
GO:0005215	GO:0005487
GO:0003674	GO:0005488
GO:0008289	GO:0005496
GO:0097159	GO:0005496
GO:0042562	GO:0005497
GO:0019840	GO:0005500
GO:0042562	GO:0005500
GO:0008289	GO:0005504
GO:0043168	GO:0005504
GO:0043177	GO:0005504
GO:0005488	GO:0005515
GO:0005515	GO:0005516
GO:0005515	GO:0005521
GO:0005515	GO:0005522
GO:0008144	GO:0005527
GO:0097159	GO:0005527
GO:1901363	GO:0005527
