child	parent
GO:0000017	GO:0042946
GO:0000040	GO:0034755
GO:0000041	GO:0030001
GO:0000042	GO:0000301
GO:0000042	GO:0006605
GO:0000054	GO:0071428
GO:0000055	GO:0000054
GO:0000056	GO:0000054
GO:0000060	GO:0006606
GO:0000060	GO:0006886
GO:0000061	GO:0006606
GO:0000066	GO:0006839
GO:0000066	GO:0015822
GO:0000101	GO:0006865
GO:0000101	GO:0072348
GO:0000189	GO:0006606
GO:0000201	GO:0000189
GO:0000208	GO:0000189
GO:0000296	GO:0015696
GO:0000296	GO:0015846
GO:0000301	GO:0006891
GO:0000316	GO:0015698
GO:0000316	GO:0072348
GO:0000743	GO:0030473
GO:0000770	GO:0009914
GO:0000770	GO:0015833
GO:0001407	GO:0015711
GO:0001407	GO:0015748
GO:0001408	GO:0015865
GO:0001504	GO:0006836
GO:0001504	GO:0098657
GO:0001579	GO:0015908
GO:0001696	GO:0046717
GO:0001697	GO:0001696
GO:0001698	GO:0001696
GO:0001699	GO:0001696
GO:0001762	GO:0015804
GO:0001820	GO:0006837
GO:0001820	GO:0032940
GO:0001821	GO:0046903
GO:0001821	GO:0051608
GO:0001844	GO:0097345
GO:0001845	GO:0006909
GO:0001927	GO:0006904
GO:0001951	GO:0015758
GO:0001951	GO:0050892
GO:0002001	GO:0009306
GO:0002004	GO:0030103
GO:0002031	GO:0031623
GO:0002115	GO:0006816
GO:0002146	GO:0006606
GO:0002147	GO:0002146
GO:0002374	GO:0050663
GO:0002380	GO:0048305
GO:0002392	GO:0015697
GO:0002392	GO:0015914
GO:0002392	GO:0050663
GO:0002412	GO:0045056
GO:0002414	GO:0045056
GO:0002415	GO:0002414
GO:0002416	GO:0002414
GO:0002433	GO:0006909
GO:0002441	GO:0001821
GO:0002441	GO:0046879
GO:0002442	GO:0001820
GO:0002494	GO:0006869
GO:0002533	GO:0033299
GO:0002535	GO:0002392
GO:0002552	GO:0002442
GO:0002552	GO:0043303
GO:0002552	GO:1902582
GO:0002553	GO:0002441
GO:0002553	GO:0043303
GO:0002553	GO:1902582
GO:0002554	GO:0002442
GO:0002554	GO:0002576
GO:0002555	GO:0002441
GO:0002555	GO:0002576
GO:0002556	GO:0002442
GO:0002556	GO:0002561
GO:0002557	GO:0002441
GO:0002557	GO:0002561
GO:0002561	GO:0043299
GO:0002576	GO:0045055
GO:0002776	GO:0002790
