source	target
0003880	0004671
0003880	0018423
0003886	0051718
0008168	0004047
0008168	0008169
0008168	0008170
0008168	0008171
0008168	0008172
0008168	0008173
0008168	0008276
0008168	0008757
0008168	0009008
0008168	0035049
0008168	0042083
0008168	0042084
0008168	0042085
0008168	0042086
0008168	0043791
0008168	0043834
0008168	0043852
0008168	0044683
0008168	0051749
0008168	0051995
0008169	0002935
0008169	0003838
0008169	0004851
0008169	0009383
0008169	0030580
0008169	0035244
0008169	0052624
0008169	0070040
0008169	0070041
0008170	0000179
0008170	0000234
0008170	0000773
0008170	0004482
0008170	0004603
0008170	0004608
0008170	0004809
0008170	0008112
0008170	0008988
0008170	0008989
0008170	0008990
0008170	0016273
0008170	0016278
0008170	0016430
0008170	0017174
0008170	0018064
0008170	0036009
0008170	0046539
0008170	0052667
0008170	0052729
0008170	0052730
0008170	0070042
0008170	0070043
0008170	0071424
0008170	0080101
0008171	0004483
0008171	0008650
0008171	0010340
0008171	0016206
0008171	0017096
0008171	0019010
0008171	0033799
0008171	0033800
0008171	0033802
0008171	0042409
0008171	0043431
0008171	0046406
0008171	0047145
0008171	0047763
0008171	0050342
0008171	0052624
0008171	0070039
0008171	0070677
0008171	0080012
0008171	0080076
0008171	0080077
0008171	0080078
0008171	0080150
0008172	0003871
0008172	0003908
0008172	0004790
0008172	0008119
0008172	0008705
0008172	0008898
0008172	0018708
0008172	0030269
0008172	0047150
0008173	0008174
0008173	0008175
0008173	0008649
0008173	0071164
0008174	0001734
0008174	0004482
0008174	0004483
0008174	0016422
0008175	0004808
0008175	0016300
0008175	0016423
0008175	0016426
0008175	0016427
0008276	0016274
0008276	0016279
0008276	0035244
0008276	0036009
0008276	0042054
0008276	0051998
0008276	0071885
0008425	0043333
0008425	0043334
0008469	0035642
0008469	0044020
0008469	0070611
0008469	0070612
0008649	0016433
0008649	0016434
0008649	0016435
0008649	0016436
0008649	0070037
0008757	0000234
0008757	0000773
0008757	0003838
0008757	0003886
0008757	0004164
0008757	0004603
0008757	0004608
0008757	0004671
0008757	0004719
0008757	0004790
0008757	0004808
0008757	0004851
0008757	0008112
0008757	0008119
0008757	0008174
0008757	0008649
0008757	0008825
0008757	0008898
0008757	0009007
0008757	0010420
0008757	0016206
0008757	0016273
0008757	0016278
0008757	0016423
0008757	0016426
0008757	0016427
0008757	0017096
0008757	0017174
0008757	0018064
0008757	0018423
0008757	0018708
0008757	0019010
0008757	0030697
0008757	0030731
0008757	0030744
0008757	0030746
0008757	0030748
0008757	0030751
0008757	0030755
0008757	0030761
0008757	0030766
0008757	0030769
0008757	0030770
0008757	0030775
0008757	0030791
0008757	0030792
0008757	0030795
0008757	0030798
0008757	0033799
0008757	0033800
0008757	0033802
0008757	0035244
0008757	0036009
0008757	0042409
0008757	0046406
0008757	0046539
0008757	0046547
0008757	0051741
0008757	0052667
0008757	0052729
0008757	0052730
0008757	0080101
0008988	0036307
0008988	0052907
0008989	0052912
0008990	0036308
0008990	0052913
0008990	0052914
0008990	0052916
0009008	0003886
0009008	0009007
0009019	0052905
0009019	0052906
0010340	0010341
0010340	0051998
0010420	0004395
0016273	0016274
0016274	0008469
0016274	0016275
0016274	0016277
0016274	0019702
0016274	0035241
0016274	0035242
0016274	0035243
0016278	0016279
0016279	0000277
0016279	0018024
0016300	0030696
0016300	0052665
0016423	0004809
0016423	0008176
0016423	0009019
0016423	0009020
0016426	0002935
0016426	0016429
0016426	0016430
0016427	0016428
0016427	0052666
0016427	0052735
0016433	0000179
0016433	0008988
0016433	0070040
0016434	0009383
0016434	0070677
0016434	0071424
0016435	0008989
0016435	0008990
0016435	0070039
0016435	0070043
0016436	0008650
0016436	0070041
0016436	0070042
0018024	0031151
0018024	0042799
0018024	0042800
0018024	0046974
0018024	0046975
0018024	0046976
0030580	0008425
0030696	0030697
0042054	0008469
0042054	0018024
0042083	0004799
0042083	0050797
0042084	0008705
0042085	0003871
0042086	0030269
0051995	0016205
0051998	0003880
0051998	0004719
0070037	0070038
