id	label
0000006	high affinity zinc uptake transmembrane transporter activity
0000007	low-affinity zinc ion transmembrane transporter activity
0000009	alpha-1,6-mannosyltransferase activity
0000010	trans-hexaprenyltranstransferase activity
0000014	single-stranded DNA specific endodeoxyribonuclease activity
0000016	lactase activity
0000026	alpha-1,2-mannosyltransferase activity
0000030	mannosyltransferase activity
0000031	mannosylphosphate transferase activity
0000033	alpha-1,3-mannosyltransferase activity
0000034	adenine deaminase activity
0000035	acyl binding
0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process
0000049	tRNA binding
0000062	fatty-acyl-CoA binding
0000064	L-ornithine transmembrane transporter activity
0000095	S-adenosyl-L-methionine transmembrane transporter activity
0000099	sulfur amino acid transmembrane transporter activity
0000100	S-methylmethionine transmembrane transporter activity
0000102	L-methionine secondary active transmembrane transporter activity
0000104	succinate dehydrogenase activity
0000107	imidazoleglycerol-phosphate synthase activity
0000121	glycerol-1-phosphatase activity
0000140	acylglycerone-phosphate reductase activity
0000146	microfilament motor activity
0000149	SNARE binding
0000150	recombinase activity
0000155	phosphorelay sensor kinase activity
0000156	phosphorelay response regulator activity
0000166	nucleotide binding
0000170	sphingosine hydroxylase activity
0000171	ribonuclease MRP activity
0000175	3'-5'-exoribonuclease activity
0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity
0000182	rDNA binding
0000210	NAD+ diphosphatase activity
0000213	tRNA-intron endonuclease activity
0000215	tRNA 2'-phosphotransferase activity
0000217	DNA secondary structure binding
0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
0000234	phosphoethanolamine N-methyltransferase activity
0000246	delta24(24-1) sterol reductase activity
0000247	C-8 sterol isomerase activity
0000248	C-5 sterol desaturase activity
0000249	C-22 sterol desaturase activity
0000250	lanosterol synthase activity
0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
0000253	3-keto sterol reductase activity
0000254	C-4 methylsterol oxidase activity
0000257	nitrilase activity
0000268	peroxisome targeting sequence binding
0000277	[cytochrome c]-lysine N-methyltransferase activity
0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
0000286	alanine dehydrogenase activity
0000287	magnesium ion binding
0000293	ferric-chelate reductase activity
0000295	adenine nucleotide transmembrane transporter activity
0000297	spermine transmembrane transporter activity
0000298	endopolyphosphatase activity
0000309	nicotinamide-nucleotide adenylyltransferase activity
0000310	xanthine phosphoribosyltransferase activity
0000319	sulfite transmembrane transporter activity
0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
0000339	RNA cap binding
0000340	RNA 7-methylguanosine cap binding
0000341	RNA trimethylguanosine cap binding
0000384	first spliceosomal transesterification activity
0000386	second spliceosomal transesterification activity
0000400	four-way junction DNA binding
0000401	open form four-way junction DNA binding
0000402	crossed form four-way junction DNA binding
0000403	Y-form DNA binding
0000404	loop DNA binding
0000405	bubble DNA binding
0000406	double-strand/single-strand DNA junction binding
0000700	mismatch base pair DNA N-glycosylase activity
0000701	purine-specific mismatch base pair DNA N-glycosylase activity
0000702	oxidized base lesion DNA N-glycosylase activity
0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
0000721	(R,R)-butanediol dehydrogenase activity
0000772	mating pheromone activity
