parent	child
GO:0048308	GO:0000001
GO:0048311	GO:0000001
GO:0007005	GO:0000002
GO:0008150	GO:0000003
GO:0007033	GO:0000011
GO:0048308	GO:0000011
GO:0000070	GO:0000022
GO:0000278	GO:0000022
GO:0007052	GO:0000022
GO:0051231	GO:0000022
GO:1903047	GO:0000022
GO:0005984	GO:0000023
GO:0000023	GO:0000024
GO:0046351	GO:0000024
GO:0000023	GO:0000025
GO:0046352	GO:0000025
GO:0022618	GO:0000027
GO:0042255	GO:0000027
GO:0042273	GO:0000027
GO:0022618	GO:0000028
GO:0042255	GO:0000028
GO:0042274	GO:0000028
GO:0006631	GO:0000038
GO:0070925	GO:0000045
GO:1905037	GO:0000045
GO:0019627	GO:0000050
GO:0043604	GO:0000050
GO:0044711	GO:0000050
GO:1901566	GO:0000050
GO:1901605	GO:0000052
GO:0006575	GO:0000053
GO:0019752	GO:0000053
GO:1901605	GO:0000053
GO:0033753	GO:0000054
GO:0042254	GO:0000054
GO:0071428	GO:0000054
GO:0006606	GO:0000060
GO:0006886	GO:0000060
GO:0006812	GO:0000066
GO:0006839	GO:0000066
GO:0006865	GO:0000066
GO:0000278	GO:0000070
GO:0000819	GO:0000070
GO:0007067	GO:0000070
GO:1903047	GO:0000070
GO:0022402	GO:0000073
GO:0051300	GO:0000073
GO:0009987	GO:0000075
GO:0045786	GO:0000075
GO:0031570	GO:0000076
GO:0006974	GO:0000077
GO:0031570	GO:0000077
GO:0044772	GO:0000082
GO:0044843	GO:0000082
GO:0000082	GO:0000083
GO:0010468	GO:0000083
GO:0010556	GO:0000083
GO:0031326	GO:0000083
GO:0051252	GO:0000083
GO:1903047	GO:0000083
GO:0000278	GO:0000086
GO:0044772	GO:0000086
GO:0044839	GO:0000086
GO:0006520	GO:0000096
GO:0006790	GO:0000096
GO:0000096	GO:0000097
GO:0008652	GO:0000097
GO:0044272	GO:0000097
GO:0000096	GO:0000098
GO:0009063	GO:0000098
GO:0044273	GO:0000098
GO:0006865	GO:0000101
GO:0072348	GO:0000101
GO:0006790	GO:0000103
GO:0006547	GO:0000105
GO:0018130	GO:0000105
GO:0019438	GO:0000105
GO:1901362	GO:0000105
GO:1901607	GO:0000105
GO:0000086	GO:0000117
GO:0010468	GO:0000117
GO:0010556	GO:0000117
GO:0031326	GO:0000117
GO:0051252	GO:0000117
GO:1903047	GO:0000117
GO:0098630	GO:0000128
GO:0000278	GO:0000132
GO:0040001	GO:0000132
GO:0051294	GO:0000132
GO:0022607	GO:0000147
GO:0030866	GO:0000147
GO:0044396	GO:0000147
GO:0035556	GO:0000160
GO:0000165	GO:0000161
GO:0007231	GO:0000161
GO:0023014	GO:0000165
GO:0035556	GO:0000165
GO:0009967	GO:0000167
GO:0010604	GO:0000167
GO:0031325	GO:0000167
GO:0032268	GO:0000167
GO:0043549	GO:0000167
GO:0047484	GO:0000167
GO:0051174	GO:0000167
GO:0051246	GO:0000167
GO:0051347	GO:0000167
GO:0080135	GO:0000167
GO:1902531	GO:0000167
GO:0009967	GO:0000168
GO:0010604	GO:0000168
GO:0031325	GO:0000168
GO:0032268	GO:0000168
GO:0043549	GO:0000168
GO:0047484	GO:0000168
GO:0051174	GO:0000168
GO:0051246	GO:0000168
GO:0051347	GO:0000168
GO:0080135	GO:0000168
GO:1902531	GO:0000168
GO:0009967	GO:0000169
GO:0010604	GO:0000169
GO:0031325	GO:0000169
GO:0032268	GO:0000169
GO:0043549	GO:0000169
GO:0047484	GO:0000169
GO:0051174	GO:0000169
GO:0051246	GO:0000169
GO:0051347	GO:0000169
GO:0080135	GO:0000169
GO:1902531	GO:0000169
GO:0009968	GO:0000173
GO:0010605	GO:0000173
GO:0031324	GO:0000173
GO:0032268	GO:0000173
GO:0043549	GO:0000173
GO:0047484	GO:0000173
GO:0051174	GO:0000173
GO:0051246	GO:0000173
GO:0051348	GO:0000173
GO:0080135	GO:0000173
GO:1902531	GO:0000173
GO:0006342	GO:0000183
GO:0000165	GO:0000189
GO:0006606	GO:0000189
GO:0000165	GO:0000196
GO:0071554	GO:0000196
GO:0000161	GO:0000208
GO:0000189	GO:0000208
GO:0007231	GO:0000208
GO:0007051	GO:0000212
GO:0051321	GO:0000212
GO:1903046	GO:0000212
GO:0007010	GO:0000226
GO:0007017	GO:0000226
GO:0006396	GO:0000245
GO:0016071	GO:0000245
GO:0022618	GO:0000245
GO:0043603	GO:0000255
GO:0046483	GO:0000255
GO:1901360	GO:0000255
GO:1901564	GO:0000255
GO:0000255	GO:0000256
GO:0043605	GO:0000256
GO:0046700	GO:0000256
GO:1901361	GO:0000256
GO:1901565	GO:0000256
GO:0007005	GO:0000266
GO:0048285	GO:0000266
GO:0005976	GO:0000271
GO:0009059	GO:0000271
GO:0016051	GO:0000271
GO:0005976	GO:0000272
GO:0009057	GO:0000272
GO:0016052	GO:0000272
GO:0007049	GO:0000278
GO:0048285	GO:0000280
GO:0000278	GO:0000281
GO:0061640	GO:0000281
GO:1903047	GO:0000281
GO:0000281	GO:0000282
GO:0030010	GO:0000282
GO:1903047	GO:0000282
GO:0015696	GO:0000296
GO:0015846	GO:0000296
GO:0006979	GO:0000302
GO:1901700	GO:0000302
GO:0000305	GO:0000303
GO:0000302	GO:0000304
GO:0010035	GO:0000304
GO:0000302	GO:0000305
GO:0010035	GO:0000305
GO:0006820	GO:0000316
GO:0072348	GO:0000316
GO:0022402	GO:0000320
GO:0000320	GO:0000321
GO:0000754	GO:0000321
GO:0010528	GO:0000337
GO:0051052	GO:0000337
GO:0000245	GO:0000348
GO:0022618	GO:0000348
GO:0000393	GO:0000349
GO:0022618	GO:0000349
GO:0000393	GO:0000350
GO:0022618	GO:0000350
GO:0000245	GO:0000354
GO:0006396	GO:0000354
GO:0016071	GO:0000354
GO:0022618	GO:0000354
GO:0006396	GO:0000378
GO:0016070	GO:0000378
GO:0006396	GO:0000387
GO:0016071	GO:0000387
GO:0022618	GO:0000387
GO:0000393	GO:0000388
GO:0022618	GO:0000388
GO:0006396	GO:0000393
GO:0016071	GO:0000393
GO:0022618	GO:0000393
GO:0006914	GO:0000422
GO:0044712	GO:0000422
GO:0061726	GO:0000422
GO:0000422	GO:0000423
GO:0016236	GO:0000423
GO:0009891	GO:0000436
GO:0010468	GO:0000436
GO:0010556	GO:0000436
GO:0010604	GO:0000436
GO:0019219	GO:0000436
GO:0031325	GO:0000436
GO:0031326	GO:0000436
GO:0045990	GO:0000436
GO:0051173	GO:0000436
GO:0051252	GO:0000436
GO:1901522	GO:0000436
GO:0006364	GO:0000470
GO:0042273	GO:0000470
GO:0022618	GO:0000491
GO:0000128	GO:0000501
GO:0009798	GO:0000578
GO:0009880	GO:0000578
GO:0007127	GO:0000705
GO:0000729	GO:0000706
GO:0051321	GO:0000706
GO:1903046	GO:0000706
GO:0006281	GO:0000707
GO:0006310	GO:0000707
GO:0007127	GO:0000707
GO:0051321	GO:0000707
GO:0065004	GO:0000707
GO:0090735	GO:0000707
GO:1903046	GO:0000707
GO:0007131	GO:0000709
GO:1903046	GO:0000709
GO:0006281	GO:0000710
GO:0007127	GO:0000710
GO:0051321	GO:0000710
GO:1903046	GO:0000710
GO:0006281	GO:0000711
GO:0007127	GO:0000711
GO:0071897	GO:0000711
GO:1903046	GO:0000711
GO:0007131	GO:0000712
GO:0051307	GO:0000712
GO:1903046	GO:0000712
GO:0006310	GO:0000713
GO:0007127	GO:0000713
GO:0030491	GO:0000713
GO:0051321	GO:0000713
GO:1903046	GO:0000713
GO:0000732	GO:0000714
GO:0007127	GO:0000714
GO:0051321	GO:0000714
GO:1903046	GO:0000714
GO:0006281	GO:0000715
GO:0051276	GO:0000715
GO:0006259	GO:0000723
GO:0032200	GO:0000723
GO:0060249	GO:0000723
GO:0007534	GO:0000728
GO:0022414	GO:0000728
GO:0090305	GO:0000728
GO:0006259	GO:0000729
GO:0006281	GO:0000729
GO:0006259	GO:0000732
GO:0006310	GO:0000732
GO:0006259	GO:0000733
GO:0071103	GO:0000733
GO:0006281	GO:0000734
GO:0007534	GO:0000734
GO:0022414	GO:0000734
GO:0071897	GO:0000734
GO:0006259	GO:0000735
GO:0090174	GO:0000740
GO:0006997	GO:0000741
GO:0048284	GO:0000741
GO:0000741	GO:0000742
GO:0000747	GO:0000742
GO:0022414	GO:0000742
GO:0000747	GO:0000743
GO:0030473	GO:0000743
GO:0044702	GO:0000743
GO:0044764	GO:0000746
GO:0000746	GO:0000747
GO:0019953	GO:0000747
GO:0000747	GO:0000749
GO:0022414	GO:0000749
GO:0071444	GO:0000749
GO:0000749	GO:0000750
GO:0007186	GO:0000750
GO:0032005	GO:0000750
GO:0000749	GO:0000751
GO:0022414	GO:0000751
GO:0071850	GO:0000751
GO:0000747	GO:0000752
GO:0000749	GO:0000752
GO:0000771	GO:0000752
GO:0044703	GO:0000752
GO:0098630	GO:0000752
GO:0000747	GO:0000753
GO:0000749	GO:0000753
GO:0000767	GO:0000753
GO:0003006	GO:0000753
GO:0044702	GO:0000753
GO:0000749	GO:0000754
GO:0022414	GO:0000754
GO:0023058	GO:0000754
GO:0000747	GO:0000755
GO:0022413	GO:0000755
GO:0000746	GO:0000767
GO:0000902	GO:0000767
GO:0006949	GO:0000768
GO:0006949	GO:0000769
GO:0009914	GO:0000770
GO:0015833	GO:0000770
GO:0000746	GO:0000771
GO:0098610	GO:0000771
GO:0051276	GO:0000819
GO:0098813	GO:0000819
GO:1902589	GO:0000819
GO:0032989	GO:0000902
GO:0008360	GO:0000903
GO:0072690	GO:0000903
GO:0000902	GO:0000904
GO:0048468	GO:0000904
GO:0019954	GO:0000905
GO:0030582	GO:0000905
GO:0019953	GO:0000909
GO:0030582	GO:0000909
GO:0022402	GO:0000910
GO:0051301	GO:0000910
GO:1902410	GO:0000911
GO:0022607	GO:0000912
GO:0032506	GO:0000912
GO:0061640	GO:0000912
GO:0000911	GO:0000913
GO:0022607	GO:0000913
GO:1903047	GO:0000913
GO:0000912	GO:0000915
GO:0030866	GO:0000915
GO:0031032	GO:0000915
GO:0036213	GO:0000916
GO:0061640	GO:0000916
GO:0000278	GO:0000917
GO:0000281	GO:0000917
GO:0061640	GO:0000917
GO:0090529	GO:0000917
GO:1902410	GO:0000917
GO:0000917	GO:0000918
GO:1902410	GO:0000918
GO:0000911	GO:0000919
GO:0022607	GO:0000919
GO:1903047	GO:0000919
GO:0009987	GO:0000920
GO:0051301	GO:0000920
GO:0032185	GO:0000921
GO:0043623	GO:0000921
GO:0070925	GO:0000921
GO:0000098	GO:0000951
GO:0000955	GO:0000951
GO:0006555	GO:0000951
GO:0009066	GO:0000951
GO:0044272	GO:0000951
GO:0046165	GO:0000951
GO:1901606	GO:0000951
GO:0009063	GO:0000955
GO:0016070	GO:0000959
GO:0000959	GO:0000963
GO:0006396	GO:0000963
GO:0007005	GO:0000963
GO:0051276	GO:0000972
GO:0010468	GO:0001079
GO:0010556	GO:0001079
GO:0031326	GO:0001079
GO:0051252	GO:0001079
GO:0090293	GO:0001079
GO:0042221	GO:0001101
GO:0034367	GO:0001120
GO:0071824	GO:0001120
GO:0007532	GO:0001196
