parent	child
0001507	0000002
0000001	0000005
0000005	0000006
0000005	0000007
0000812	0000008
0010460	0000008
0000014	0000009
0002719	0000010
0011277	0000010
0000009	0000011
0000009	0000012
0010936	0000014
0000014	0000015
0000009	0000016
0000009	0000017
0000009	0000019
0000009	0000020
0010955	0000021
0000812	0000022
0010461	0000022
0004299	0000023
0008775	0000024
0012649	0000024
0012874	0000025
0000025	0000026
0000135	0000026
0000150	0000030
0010788	0000030
0009714	0000031
0012649	0000031
0000811	0000032
0010461	0000032
0000032	0000033
0000062	0000033
0000032	0000035
0000032	0000036
0000032	0000037
0100627	0000039
0000811	0000042
0000135	0000044
0000032	0000045
0100627	0000047
0003241	0000050
0000068	0000052
0000811	0000055
0010460	0000055
0000055	0000056
0000055	0000058
0000055	0000061
0000062	0000061
0000811	0000062
0000795	0000068
0010935	0000069
0000069	0000070
0006000	0000071
0000069	0000072
0000069	0000073
0012210	0000075
0000009	0000076
0000069	0000076
0010935	0000077
0000119	0000078
0000119	0000079
0000078	0000080
0000073	0000081
0004742	0000081
0012211	0000083
0003110	0000093
0000002	0000098
0000123	0000099
0012575	0000099
0012211	0000100
0012210	0000105
0012210	0000107
0012210	0000110
0012211	0000112
0012599	0000117
0000001	0000118
0000118	0000119
0012210	0000121
0012211	0000123
0012649	0000123
0012211	0000124
0012591	0000127
0012598	0000128
0000008	0000130
0010784	0000131
0000140	0000132
0001892	0000132
0000812	0000133
0000135	0000134
0000137	0000134
0000080	0000135
0008373	0000135
0000008	0000137
0000130	0000139
0100823	0000139
0000008	0000140
0000858	0000140
0000140	0000141
0000008	0000142
0004320	0000143
0100590	0000143
0000080	0000144
0000142	0000148
0001827	0000148
0000150	0000149
0100615	0000149
0000812	0000150
0100728	0000150
0000118	0000152
0000271	0000153
0011337	0000154
0000163	0000157
0000157	0000158
0003712	0000158
0000153	0000159
0011337	0000160
0000153	0000163
0000163	0000164
0000704	0000166
0010614	0000169
0011830	0000169
0000163	0000174
0000174	0000175
0000202	0000175
0000159	0000177
0000159	0000178
0000163	0000190
0011338	0000194
0000153	0000201
0000153	0000202
0000177	0000204
0000202	0000204
0011338	0000205
0011338	0000207
0000159	0000214
0000228	0000214
0000157	0000223
0012638	0000223
0000223	0000224
0001892	0000225
0011830	0000225
0011830	0000228
0100579	0000228
0000159	0000233
0000152	0000234
0002683	0000235
0002118	0000238
0002921	0000238
0000929	0000240
0002648	0000243
0011821	0000245
0000245	0000246
0012649	0000246
0002648	0000248
0007364	0000252
0040195	0000252
0040194	0000256
0002648	0000262
0000929	0000264
0002648	0000267
0002648	0000268
0000234	0000271
0012369	0000272
0005324	0000273
0001999	0000274
0000274	0000275
0100729	0000276
0030791	0000277
0001999	0000280
0000969	0000282
0011799	0000282
0100729	0000283
0000271	0000290
0009124	0000291
0011799	0000291
0000291	0000292
0008887	0000292
0004426	0000293
0000599	0000294
0001999	0000295
0000301	0000297
0001252	0000297
0004673	0000298
0001999	0000300
0003011	0000301
0011799	0000301
0000277	0000303
0000306	0000303
0000271	0000306
0000306	0000307
0000271	0000309
0001999	0000311
0000271	0000315
0100886	0000316
0000301	0000317
0002411	0000317
0001999	0000320
0001999	0000321
0001999	0000324
0001999	0000325
0030791	0000326
0001028	0000329
0011799	0000329
0000306	0000331
0100538	0000336
0000290	0000337
0000301	0000338
0004673	0000338
0000290	0000340
0000290	0000341
0009118	0000347
0000290	0000348
0000290	0000350
0000598	0000356
0000356	0000357
0000357	0000358
0000598	0000359
0000364	0000360
0008628	0000362
0000377	0000363
0000598	0000364
0000364	0000365
0000271	0000366
0000358	0000368
0000369	0000368
0000357	0000369
0000598	0000370
0000356	0000372
0011390	0000375
0000356	0000377
0000377	0000378
0008628	0000381
0004426	0000383
0000383	0000384
0010609	0000384
0009906	0000385
0009906	0000387
0000370	0000388
0012649	0000388
0000388	0000389
0011039	0000391
0000377	0000394
0009738	0000395
0008544	0000396
0011474	0000399
0000377	0000400
0000372	0000402
0000388	0000403
0002719	0000403
0000365	0000405
0011452	0000405
0000365	0000407
0011389	0000407
0000407	0000408
0001730	0000408
0000405	0000410
0000407	0000410
0000377	0000411
0000372	0000413
0000436	0000414
0005105	0000414
0000366	0000415
0000366	0000419
0000366	0000421
0001892	0000421
0000366	0000422
0000422	0000426
0010938	0000429
0000422	0000431
0000366	0000433
0010938	0000436
0005105	0000445
0000422	0000446
0005105	0000447
0005105	0000448
0000415	0000452
0000415	0000453
0004408	0000458
0005105	0000460
0000429	0000463
0005105	0000463
0005288	0000463
0000152	0000464
0000464	0000465
0005986	0000466
0001324	0000467
0011006	0000467
0000464	0000468
0009126	0000468
0000464	0000470
0003319	0000470
0004296	0000471
0000464	0000472
0011006	0000473
0011442	0000473
0012179	0000473
0000464	0000474
0011425	0000474
0000464	0000475
0000464	0000476
0000118	0000478
0001098	0000479
0000479	0000480
0000589	0000480
0004328	0000481
0000539	0000483
0100691	0000483
0000483	0000484
0000549	0000486
0100886	0000490
0011495	0000491
0100533	0000491
0030669	0000492
0012373	0000496
0000492	0000498
0100533	0000498
0000492	0000499
0001595	0000499
0012373	0000501
0030669	0000502
0008054	0000503
0012373	0000504
0000504	0000505
0012373	0000508
0000502	0000509
0025337	0000509
0100533	0000509
0000605	0000511
0030453	0000512
0000570	0000514
0004328	0000517
0000517	0000518
0100886	0000520
0000633	0000522
0008054	0000524
0100579	0000524
0000553	0000525
0004328	0000525
0000499	0000527
0008056	0000528
0100887	0000528
0000572	0000529
0000479	0000532
0000610	0000532
0000606	0000534
0001595	0000534
0030669	0000534
0012373	0000539
0000539	0000540
0000602	0000544
0000539	0000545
0000496	0000549
0000512	0000550
0000504	0000551
0030637	0000551
0012374	0000553
0000553	0000554
0100533	0000554
0001087	0000557
0007957	0000559
0100699	0000559
0002550	0000561
0200102	0000561
0000486	0000565
0000532	0000567
0000589	0000567
0008056	0000568
0100887	0000568
0000496	0000570
0000570	0000571
0000504	0000572
0000479	0000573
0011885	0000573
0000534	0000574
0001123	0000575
0000575	0000576
0000486	0000577
0000520	0000586
3000030	0000586
0001098	0000587
0000587	0000588
0000589	0000588
0000315	0000589
0012374	0000591
0000591	0000592
0004328	0000593
0000593	0000594
0000496	0000597
0000118	0000598
0000290	0000599
0009553	0000599
0000234	0000600
0100886	0000601
0000597	0000602
0000575	0000603
0000549	0000605
0000271	0000606
0002977	0000609
0008058	0000609
0000553	0000610
0001098	0000610
0000525	0000612
0000589	0000612
0000504	0000613
0000708	0000613
0030669	0000614
0000525	0000615
0000496	0000617
0000505	0000618
0000549	0000619
0000504	0000622
0000602	0000623
0000606	0000629
0008046	0000630
0011004	0000630
3000036	0000630
0000630	0000631
0005116	0000631
0012841	0000631
0012373	0000632
0000632	0000633
0011347	0000634
0012547	0000639
0000639	0000640
0000570	0000641
0007641	0000642
0007663	0000646
0030453	0000649
0011514	0000651
0008070	0000653
0200102	0000653
0000496	0000657
0002186	0000657
0000492	0000658
0002186	0000658
0000504	0000662
0000534	0000664
0002219	0000664
0000639	0000666
0012374	0000667
0000164	0000682
3000050	0000682
0000164	0000683
0000682	0000683
0000164	0000703
3000050	0000703
0000164	0000704
0011830	0000704
0012649	0000704
0000682	0000705
0000118	0000707
0012638	0000708
