parent	child
GO:0008150	GO:0000003
GO:0098630	GO:0000128
GO:0022403	GO:0000279
GO:0044764	GO:0000746
GO:0042221	GO:0001101
GO:0044707	GO:0001503
GO:0065008	GO:0001505
GO:0044767	GO:0001748
GO:0048856	GO:0001748
GO:0044763	GO:0001775
GO:0044707	GO:0001816
GO:0044237	GO:0001887
GO:0008150	GO:0001906
GO:0001906	GO:0001909
GO:0007631	GO:0001967
GO:0051705	GO:0001967
GO:0051705	GO:0002118
GO:0006955	GO:0002250
GO:0006955	GO:0002251
GO:0002376	GO:0002252
GO:0009607	GO:0002347
GO:0008150	GO:0002376
GO:0002440	GO:0002377
GO:0002252	GO:0002434
GO:0002376	GO:0002440
GO:0002252	GO:0002443
GO:0019882	GO:0002468
GO:0019882	GO:0002471
GO:0019882	GO:0002472
GO:0019882	GO:0002473
GO:0019882	GO:0002475
GO:0019882	GO:0002504
GO:0050789	GO:0002682
GO:0019882	GO:0002745
GO:0019882	GO:0002746
GO:0019882	GO:0002747
GO:0006950	GO:0002931
GO:0008283	GO:0002941
GO:0000003	GO:0003006
GO:0022414	GO:0003006
GO:0032502	GO:0003006
GO:0032501	GO:0003008
GO:0003008	GO:0003012
GO:0003008	GO:0003013
GO:0003008	GO:0003014
GO:0048856	GO:0003228
GO:0044767	GO:0003360
GO:0048856	GO:0003360
GO:0044238	GO:0005975
GO:0071704	GO:0005975
GO:0044237	GO:0006081
GO:0044710	GO:0006081
GO:0044763	GO:0006081
GO:0071704	GO:0006081
GO:0044237	GO:0006091
GO:0044763	GO:0006276
GO:0033036	GO:0006403
GO:0009987	GO:0006457
GO:0006457	GO:0006458
GO:0044238	GO:0006629
GO:0044710	GO:0006629
GO:0071704	GO:0006629
GO:0044237	GO:0006725
GO:0044237	GO:0006790
GO:0044699	GO:0006791
GO:0050789	GO:0006792
GO:0044237	GO:0006793
GO:0044699	GO:0006794
GO:0050789	GO:0006795
GO:0008152	GO:0006807
GO:0050789	GO:0006808
GO:0051234	GO:0006810
GO:0044763	GO:0006928
GO:0050896	GO:0006950
GO:0006950	GO:0006952
GO:0002376	GO:0006955
GO:0050896	GO:0006955
GO:0006955	GO:0006959
GO:0006950	GO:0006970
GO:0009628	GO:0006970
GO:0006950	GO:0006979
GO:0006950	GO:0006991
GO:0016043	GO:0006996
GO:0009987	GO:0007017
GO:0006457	GO:0007023
GO:0016043	GO:0007028
GO:0044763	GO:0007028
GO:0044763	GO:0007049
GO:0044763	GO:0007059
GO:0009987	GO:0007154
GO:0022610	GO:0007155
GO:0044763	GO:0007163
GO:0007154	GO:0007267
GO:0044700	GO:0007267
GO:0044763	GO:0007267
GO:0044707	GO:0007275
GO:0044767	GO:0007275
GO:0048856	GO:0007275
GO:0044767	GO:0007568
GO:0044707	GO:0007585
GO:0044707	GO:0007586
GO:0003008	GO:0007588
GO:0008150	GO:0007610
GO:0007610	GO:0007622
GO:0048511	GO:0007622
GO:0048511	GO:0007623
GO:0044699	GO:0007624
GO:0048511	GO:0007624
GO:0044708	GO:0007625
GO:0007610	GO:0007626
GO:0007610	GO:0007631
GO:0042221	GO:0007635
GO:0044708	GO:0007635
GO:0044763	GO:0008037
GO:0033036	GO:0008104
GO:0008150	GO:0008152
GO:0044237	GO:0008218
GO:0044763	GO:0008219
GO:0044699	GO:0008283
GO:0008152	GO:0009056
GO:0008152	GO:0009058
GO:0009628	GO:0009266
GO:0009628	GO:0009268
GO:0044764	GO:0009292
GO:0009628	GO:0009314
GO:0044419	GO:0009405
GO:0042221	GO:0009410
