parent	child
GO:0000075	GO:0022402
GO:0000103	GO:0006790
GO:0000128	GO:0009987
GO:0000128	GO:0051704
GO:0000128	GO:0098743
GO:0000255	GO:0006807
GO:0000255	GO:0008152
GO:0000255	GO:0043603
GO:0000255	GO:0046483
GO:0000255	GO:1901360
GO:0000270	GO:0030203
GO:0000271	GO:0005976
GO:0000271	GO:0008152
GO:0000271	GO:0009058
GO:0000271	GO:0016051
GO:0000278	GO:0007049
GO:0000280	GO:0006996
GO:0000302	GO:0006979
GO:0000304	GO:0000302
GO:0000304	GO:0010035
GO:0000305	GO:0000302
GO:0000305	GO:0010035
GO:0000320	GO:0022402
GO:0000501	GO:0000128
GO:0000746	GO:0009987
GO:0000746	GO:0051704
GO:0000747	GO:0000746
GO:0000747	GO:0019953
GO:0000902	GO:0009653
GO:0000902	GO:0016043
GO:0000902	GO:0048869
GO:0000910	GO:0022402
GO:0000910	GO:0051301
GO:0000920	GO:0009987
GO:0000920	GO:0051301
GO:0001300	GO:0007569
GO:0001302	GO:0007569
GO:0001306	GO:0006979
GO:0001306	GO:0007571
GO:0001402	GO:0007165
GO:0001402	GO:0030447
GO:0001501	GO:0007275
GO:0001501	GO:0048856
GO:0001503	GO:0032501
GO:0001505	GO:0065008
GO:0001508	GO:0042391
GO:0001558	GO:0040008
GO:0001558	GO:0051128
GO:0001562	GO:0051707
GO:0001649	GO:0001503
GO:0001649	GO:0030154
GO:0001655	GO:0007275
GO:0001655	GO:0048856
GO:0001662	GO:0002209
GO:0001662	GO:0042596
GO:0001662	GO:0044708
GO:0001666	GO:0006950
GO:0001666	GO:0036293
GO:0001742	GO:0030154
GO:0001748	GO:0032502
GO:0001748	GO:0048856
GO:0001763	GO:0009653
GO:0001763	GO:0032501
GO:0001763	GO:0032502
GO:0001773	GO:0045321
GO:0001775	GO:0009987
GO:0001816	GO:0032501
GO:0001817	GO:0065007
GO:0001818	GO:0001817
GO:0001818	GO:0065007
GO:0001819	GO:0001817
GO:0001819	GO:0048518
GO:0001819	GO:0065007
GO:0001881	GO:0043112
GO:0001881	GO:0065007
GO:0001887	GO:0044237
GO:0001896	GO:0009987
GO:0001896	GO:0019835
GO:0001909	GO:0001906
GO:0001909	GO:0002443
GO:0001910	GO:0002682
GO:0001910	GO:0065007
GO:0001919	GO:0019222
GO:0001919	GO:0031323
GO:0001919	GO:0065007
GO:0001935	GO:0050673
GO:0001957	GO:0001503
GO:0001964	GO:0009605
GO:0001964	GO:0050905
GO:0001966	GO:0042330
