parent	child
GO:0000015	GO:0044445
GO:0000015	GO:1902494
GO:0000109	GO:0044428
GO:0000109	GO:1990391
GO:0000131	GO:0044424
GO:0000139	GO:0044431
GO:0000139	GO:0098588
GO:0000148	GO:0098797
GO:0000148	GO:1990234
GO:0000151	GO:0044424
GO:0000151	GO:1990234
GO:0000152	GO:0000151
GO:0000152	GO:0005634
GO:0000152	GO:0044428
GO:0000153	GO:0000151
GO:0000153	GO:0005737
GO:0000153	GO:0044444
GO:0000159	GO:0008287
GO:0000159	GO:0044424
GO:0000164	GO:0008287
GO:0000164	GO:0044444
GO:0000172	GO:0005732
GO:0000177	GO:0000178
GO:0000177	GO:0005737
GO:0000177	GO:0044444
GO:0000178	GO:0043234
GO:0000178	GO:0044424
GO:0000214	GO:0044428
GO:0000214	GO:1902555
GO:0000222	GO:0005886
GO:0000222	GO:0005887
GO:0000222	GO:0033179
GO:0000222	GO:0033181
GO:0000222	GO:0098797
GO:0000223	GO:0005886
GO:0000223	GO:0005887
GO:0000223	GO:0033180
GO:0000223	GO:0033181
GO:0000223	GO:0098797
GO:0000229	GO:0005694
GO:0000229	GO:0005737
GO:0000229	GO:0044444
GO:0000307	GO:0044424
GO:0000307	GO:1902554
GO:0000308	GO:0000307
GO:0000308	GO:0005737
GO:0000308	GO:0044444
GO:0000313	GO:0005840
GO:0000313	GO:0043226
GO:0000313	GO:0044422
GO:0000322	GO:0005773
GO:0000323	GO:0005773
GO:0000324	GO:0000322
GO:0000324	GO:0000323
GO:0000325	GO:0005773
GO:0000326	GO:0000322
GO:0000326	GO:0000325
GO:0000331	GO:0005773
GO:0000331	GO:0016023
GO:0000345	GO:0000428
GO:0000345	GO:0044445
GO:0000346	GO:0043234
GO:0000346	GO:0044428
GO:0000347	GO:0043234
GO:0000347	GO:0044428
GO:0000399	GO:0005935
GO:0000399	GO:0032155
GO:0000407	GO:0044444
GO:0000408	GO:0043234
GO:0000408	GO:0044424
GO:0000417	GO:0043234
GO:0000427	GO:0000428
GO:0000427	GO:0009536
GO:0000427	GO:0044435
GO:0000428	GO:0030880
GO:0000439	GO:0043234
GO:0000439	GO:0044428
GO:0000502	GO:0043234
GO:0000502	GO:0044424
GO:0000506	GO:0043234
GO:0000506	GO:0044432
GO:0000785	GO:0032991
GO:0000785	GO:0044427
GO:0000793	GO:0005694
GO:0000796	GO:0000793
GO:0000796	GO:0044427
GO:0000796	GO:0044815
GO:0000803	GO:0005694
GO:0000804	GO:0000803
GO:0000805	GO:0000803
GO:0000806	GO:0000803
GO:0000807	GO:0000803
GO:0000808	GO:0043234
GO:0000808	GO:0044427
GO:0000932	GO:0036464
GO:0000933	GO:0030428
GO:0000934	GO:0030428
GO:0000935	GO:0030428
GO:0000936	GO:0030428
GO:0000937	GO:0000934
GO:0000938	GO:0016023
GO:0000938	GO:0043234
GO:0000938	GO:0044431
GO:0000938	GO:0044433
GO:0000943	GO:0044428
GO:0000974	GO:0043234
GO:0001114	GO:0032991
GO:0001400	GO:0005937
GO:0001400	GO:0044463
GO:0001411	GO:0030427
GO:0001518	GO:0005887
GO:0001518	GO:0034706
GO:0001518	GO:0098797
GO:0001527	GO:0043205
GO:0001533	GO:0005886
GO:0001673	GO:0043073
GO:0001674	GO:0043073
GO:0001726	GO:0031252
GO:0001726	GO:0042995
GO:0001741	GO:0000803
GO:0001750	GO:0031513
GO:0001750	GO:0097458
GO:0001772	GO:0044459
GO:0001891	GO:0044459
