parent	child
GO:0000131	GO:0005622
GO:0000131	GO:0005623
GO:0000178	GO:0005622
GO:0000178	GO:0005623
GO:0000178	GO:0043234
GO:0000408	GO:0005622
GO:0000408	GO:0005623
GO:0000408	GO:0043234
GO:0000417	GO:0043234
GO:0000502	GO:0005622
GO:0000502	GO:0005623
GO:0000502	GO:0043234
GO:0000934	GO:0030428
GO:0000935	GO:0030428
GO:0000936	GO:0030428
GO:0000974	GO:0043234
GO:0001411	GO:0030427
GO:0001527	GO:0005576
GO:0001527	GO:0005578
GO:0001527	GO:0031012
GO:0001726	GO:0031252
GO:0001726	GO:0042995
GO:0001917	GO:0005623
GO:0001931	GO:0031254
GO:0001931	GO:0042995
GO:0002133	GO:0043234
GO:0002141	GO:0005623
GO:0002141	GO:0032421
GO:0002193	GO:0043234
GO:0002199	GO:0043234
GO:0005577	GO:0005576
GO:0005577	GO:0005615
GO:0005577	GO:0043234
GO:0005578	GO:0005576
GO:0005578	GO:0031012
GO:0005581	GO:0043234
GO:0005602	GO:0005576
GO:0005602	GO:0005615
GO:0005602	GO:0043234
GO:0005604	GO:0005576
GO:0005604	GO:0005578
GO:0005604	GO:0031012
GO:0005614	GO:0005578
GO:0005615	GO:0005576
GO:0005616	GO:0005576
GO:0005616	GO:0005615
GO:0005616	GO:0043234
GO:0005618	GO:0005623
GO:0005618	GO:0071944
GO:0005622	GO:0005623
GO:0005628	GO:0005623
GO:0005628	GO:0016020
GO:0005628	GO:0042764
GO:0005667	GO:0005622
GO:0005667	GO:0005623
GO:0005667	GO:0043234
GO:0005727	GO:0005622
GO:0005727	GO:0005623
GO:0005737	GO:0005622
GO:0005737	GO:0005623
GO:0005886	GO:0005623
GO:0005886	GO:0016020
GO:0005886	GO:0071944
GO:0005902	GO:0042995
GO:0005903	GO:0005623
GO:0005905	GO:0005623
GO:0005905	GO:0012505
GO:0005905	GO:0016020
GO:0005911	GO:0030054
GO:0005912	GO:0030054
GO:0005913	GO:0005911
GO:0005913	GO:0005912
GO:0005917	GO:0005911
GO:0005921	GO:0005911
GO:0005924	GO:0005912
GO:0005924	GO:0030055
GO:0005929	GO:0042995
GO:0005929	GO:0043226
GO:0005933	GO:0005623
GO:0005934	GO:0005933
GO:0005934	GO:0030427
GO:0005935	GO:0005933
GO:0005935	GO:0030427
GO:0005937	GO:0042995
GO:0005954	GO:0005622
GO:0005954	GO:0005623
GO:0005954	GO:0043234
GO:0005956	GO:0005622
GO:0005956	GO:0005623
GO:0005956	GO:0043234
GO:0008043	GO:0005622
GO:0008043	GO:0005623
GO:0008043	GO:0043234
GO:0009279	GO:0005623
GO:0009279	GO:0019867
GO:0009279	GO:0030313
GO:0009279	GO:0071944
GO:0009288	GO:0042995
GO:0009288	GO:0043226
GO:0009289	GO:0042995
GO:0009330	GO:0005622
GO:0009330	GO:0005623
GO:0009330	GO:0043234
GO:0009337	GO:0005622
GO:0009337	GO:0005623
GO:0009337	GO:0043234
GO:0009344	GO:0005623
GO:0009344	GO:0043234
GO:0009366	GO:0005622
GO:0009366	GO:0005623
GO:0009366	GO:0043234
GO:0009368	GO:0005622
GO:0009368	GO:0005623
GO:0009368	GO:0043234
GO:0009506	GO:0005911
GO:0009519	GO:0031012
GO:0009579	GO:0005622
GO:0009579	GO:0005623
GO:0009930	GO:0005623
GO:0009930	GO:0009986
GO:0009986	GO:0005623
GO:0010598	GO:0005622
GO:0010598	GO:0005623
GO:0010598	GO:0016020
GO:0010598	GO:0043234
GO:0012505	GO:0005623
GO:0015627	GO:0005623
GO:0015627	GO:0043234
GO:0016021	GO:0031224
GO:0016028	GO:0042995
GO:0016234	GO:0005622
GO:0016234	GO:0005623
GO:0016272	GO:0043234
GO:0016469	GO:0016020
GO:0016469	GO:0043234
GO:0016533	GO:0043234
GO:0016914	GO:0005576
GO:0016914	GO:0043234
GO:0016942	GO:0005576
GO:0016942	GO:0005615
GO:0016942	GO:0043234
GO:0017053	GO:0043234
GO:0017101	GO:0005622
GO:0017101	GO:0005623
GO:0017101	GO:0043234
GO:0019008	GO:0005623
GO:0019008	GO:0043234
GO:0019013	GO:0019012
GO:0019013	GO:0019028
GO:0019028	GO:0019012
GO:0019030	GO:0019028
GO:0019031	GO:0036338
GO:0019033	GO:0019012
GO:0019867	GO:0016020
GO:0019898	GO:0016020
GO:0020007	GO:0005623
GO:0020007	GO:0045177
GO:0020039	GO:0005623
GO:0030008	GO:0005622
GO:0030008	GO:0005623
GO:0030008	GO:0043234
GO:0030014	GO:0005622
GO:0030014	GO:0005623
GO:0030014	GO:0043234
GO:0030027	GO:0031252
GO:0030027	GO:0042995
GO:0030055	GO:0030054
GO:0030056	GO:0030055
GO:0030057	GO:0005911
GO:0030057	GO:0030054
GO:0030112	GO:0005623
GO:0030112	GO:0071944
GO:0030115	GO:0005623
GO:0030115	GO:0071944
GO:0030175	GO:0042995
GO:0030257	GO:0005623
GO:0030257	GO:0043234
GO:0030287	GO:0042597
GO:0030288	GO:0030313
GO:0030288	GO:0042597
GO:0030313	GO:0005623
GO:0030427	GO:0005623
GO:0030428	GO:0005623
GO:0030496	GO:0005623
GO:0030529	GO:0005622
GO:0030529	GO:0005623
GO:0030529	GO:1990904
GO:0030897	GO:0016020
GO:0030897	GO:0043234
GO:0030904	GO:0005623
GO:0030904	GO:0012505
GO:0030904	GO:0016020
GO:0030904	GO:0043234
GO:0030956	GO:0005622
GO:0030956	GO:0005623
GO:0030956	GO:0043234
GO:0030990	GO:0043234
GO:0031074	GO:0005622
GO:0031074	GO:0005623
GO:0031074	GO:0043234
GO:0031090	GO:0016020
GO:0031090	GO:0043226
GO:0031090	GO:0043227
GO:0031143	GO:0042995
GO:0031224	GO:0016020
GO:0031225	GO:0031224
GO:0031252	GO:0005623
GO:0031254	GO:0005623
GO:0031255	GO:0005623
GO:0031395	GO:0005576
GO:0031395	GO:0005615
GO:0031395	GO:0043234
GO:0031431	GO:0005622
GO:0031431	GO:0005623
GO:0031431	GO:0043234
GO:0031522	GO:0005623
GO:0031522	GO:0043234
GO:0031594	GO:0045202
GO:0031838	GO:0043234
GO:0031912	GO:0042995
GO:0031931	GO:0005622
GO:0031931	GO:0005623
GO:0031931	GO:0043234
GO:0031932	GO:0005622
GO:0031932	GO:0005623
GO:0031932	GO:0043234
GO:0031982	GO:0043227
GO:0032045	GO:0005622
GO:0032045	GO:0005623
GO:0032045	GO:0043234
GO:0032059	GO:0042995
GO:0032126	GO:0005623
GO:0032153	GO:0005623
GO:0032154	GO:0005623
GO:0032154	GO:0009986
GO:0032154	GO:0032153
GO:0032279	GO:0045202
GO:0032280	GO:0045202
GO:0032299	GO:0005622
GO:0032299	GO:0005623
GO:0032299	GO:0043234
GO:0032311	GO:0005576
GO:0032311	GO:0043234
GO:0032420	GO:0005623
GO:0032420	GO:0032421
GO:0032420	GO:0042995
GO:0032420	GO:0043226
GO:0032421	GO:0005623
GO:0032797	GO:0005622
GO:0032797	GO:0005623
GO:0032797	GO:0043234
