parent	child
0000002	0001507
0000005	0000001
0000006	0000005
0000007	0000005
0000078	0000119
0000079	0000119
0000080	0000078
0000098	0000002
0000118	0000001
0000119	0000118
0000152	0000118
0000234	0000152
0000271	0000234
0000356	0000598
0000357	0000356
0000359	0000598
0000360	0000364
0000364	0000598
0000365	0000364
0000370	0000598
0000372	0000356
0000377	0000356
0000464	0000152
0000465	0000464
0000472	0000464
0000474	0000464
0000474	0011425
0000475	0000464
0000476	0000464
0000478	0000118
0000496	0012373
0000501	0012373
0000504	0012373
0000508	0012373
0000539	0012373
0000598	0000118
0000600	0000234
0000632	0012373
0000707	0000118
0000708	0012638
0000759	0012639
0000769	0000118
0000771	0000769
0000775	0003011
0000776	0000775
0000776	0100790
0000777	0000818
0000777	0100763
0000809	0000079
0000816	0001939
0000818	0000118
0000820	0000818
0000822	0011025
0000823	0001510
0000823	0008373
0000828	0000818
0000834	0000818
0000840	0008373
0000841	0000847
0000847	0000818
0000848	0000847
0000858	0008373
0000864	0000818
0000873	0000818
0000924	0000118
0000927	0011843
0000943	0011842
0000951	0001574
0000969	0011032
0000970	0025276
0000971	0011138
0001155	0002817
0001194	0001197
0001197	0000118
0001218	0040064
0001250	0012638
0001279	0011025
0001281	0011804
0001298	0012638
0001311	0012638
0001315	0012638
0001324	0011804
0001367	0011842
0001392	0002012
0001417	0010985
0001419	0001417
0001423	0001417
0001425	0000005
0001426	0000005
0001427	0000005
0001428	0000005
0001437	0002814
0001437	0009127
0001438	0025031
0001442	0001428
0001443	0001469
0001444	0000006
0001445	0001469
0001446	0002817
0001446	0009127
0001450	0010985
0001452	0000006
0001452	0001466
0001454	0002817
0001466	0000005
0001469	0003011
0001470	0000006
0001471	0001469
0001472	0000005
0001475	0001470
0001507	0000118
0001510	0001507
0001511	0001510
0001522	0011420
0001528	0040064
0001528	0100555
0001541	0001438
0001551	0004298
0001557	0001197
0001558	0001557
0001560	0001197
0001561	0001560
0001562	0001560
0001563	0001560
0001574	0000118
0001595	0011138
