HP:0000002	HP:0001507
HP:0000005	HP:0000001
HP:0000006	HP:0000005
HP:0000007	HP:0000005
HP:0000008	HP:0000812
HP:0000008	HP:0010460
HP:0000009	HP:0000014
HP:0000010	HP:0002719
HP:0000010	HP:0011277
HP:0000014	HP:0010936
HP:0000015	HP:0000014
HP:0000022	HP:0000812
HP:0000022	HP:0010461
HP:0000023	HP:0004299
HP:0000025	HP:0012874
HP:0000032	HP:0000811
HP:0000032	HP:0010461
HP:0000042	HP:0000811
HP:0000044	HP:0000135
HP:0000055	HP:0000811
HP:0000055	HP:0010460
HP:0000062	HP:0000811
HP:0000069	HP:0010935
HP:0000070	HP:0000069
HP:0000072	HP:0000069
HP:0000073	HP:0000069
HP:0000077	HP:0010935
HP:0000078	HP:0000119
HP:0000079	HP:0000119
HP:0000080	HP:0000078
HP:0000093	HP:0003110
HP:0000098	HP:0000002
HP:0000118	HP:0000001
HP:0000119	HP:0000118
HP:0000133	HP:0000812
HP:0000135	HP:0000080
HP:0000135	HP:0008373
HP:0000144	HP:0000080
HP:0000152	HP:0000118
HP:0000153	HP:0000271
HP:0000159	HP:0000153
HP:0000163	HP:0000153
HP:0000201	HP:0000153
HP:0000202	HP:0000153
HP:0000234	HP:0000152
HP:0000240	HP:0000929
HP:0000264	HP:0000929
HP:0000271	HP:0000234
HP:0000274	HP:0001999
HP:0000280	HP:0001999
HP:0000282	HP:0000969
HP:0000282	HP:0011799
HP:0000290	HP:0000271
HP:0000291	HP:0009124
HP:0000291	HP:0011799
HP:0000295	HP:0001999
HP:0000300	HP:0001999
HP:0000301	HP:0003011
HP:0000301	HP:0011799
HP:0000306	HP:0000271
HP:0000307	HP:0000306
HP:0000309	HP:0000271
HP:0000311	HP:0001999
HP:0000315	HP:0000271
HP:0000320	HP:0001999
HP:0000321	HP:0001999
HP:0000324	HP:0001999
HP:0000325	HP:0001999
HP:0000329	HP:0001028
HP:0000329	HP:0011799
HP:0000331	HP:0000306
HP:0000337	HP:0000290
HP:0000340	HP:0000290
HP:0000341	HP:0000290
HP:0000348	HP:0000290
HP:0000350	HP:0000290
HP:0000356	HP:0000598
HP:0000357	HP:0000356
HP:0000358	HP:0000357
HP:0000359	HP:0000598
HP:0000360	HP:0000364
HP:0000363	HP:0000377
HP:0000364	HP:0000598
HP:0000365	HP:0000364
HP:0000366	HP:0000271
HP:0000368	HP:0000358
HP:0000368	HP:0000369
HP:0000369	HP:0000357
HP:0000370	HP:0000598
HP:0000372	HP:0000356
HP:0000375	HP:0011390
HP:0000377	HP:0000356
HP:0000378	HP:0000377
HP:0000388	HP:0000370
HP:0000388	HP:0012649
HP:0000391	HP:0011039
HP:0000394	HP:0000377
HP:0000395	HP:0009738
HP:0000400	HP:0000377
HP:0000402	HP:0000372
HP:0000405	HP:0000365
HP:0000405	HP:0011452
HP:0000407	HP:0000365
HP:0000407	HP:0011389
HP:0000408	HP:0000407
HP:0000408	HP:0001730
HP:0000410	HP:0000405
HP:0000410	HP:0000407
HP:0000411	HP:0000377
HP:0000413	HP:0000372
HP:0000415	HP:0000366
HP:0000419	HP:0000366
HP:0000421	HP:0000366
HP:0000421	HP:0001892
HP:0000422	HP:0000366
HP:0000433	HP:0000366
HP:0000464	HP:0000152
HP:0000465	HP:0000464
HP:0000466	HP:0005986
HP:0000467	HP:0001324
HP:0000467	HP:0011006
HP:0000468	HP:0000464
HP:0000468	HP:0009126
HP:0000471	HP:0004296
HP:0000472	HP:0000464
HP:0000474	HP:0000464
HP:0000474	HP:0011425
HP:0000475	HP:0000464
HP:0000476	HP:0000464
HP:0000478	HP:0000118
HP:0000481	HP:0004328
HP:0000486	HP:0000549
HP:0000496	HP:0012373
HP:0000497	HP:0011347
HP:0000501	HP:0012373
HP:0000504	HP:0012373
HP:0000505	HP:0000504
HP:0000508	HP:0012373
HP:0000512	HP:0030453
HP:0000514	HP:0000570
HP:0000517	HP:0004328
HP:0000522	HP:0000633
HP:0000525	HP:0000553
HP:0000525	HP:0004328
HP:0000529	HP:0000572
HP:0000539	HP:0012373
HP:0000540	HP:0000539
HP:0000542	HP:0000496
HP:0000545	HP:0000539
HP:0000549	HP:0000496
HP:0000550	HP:0000512
HP:0000551	HP:0000504
HP:0000551	HP:0030637
HP:0000553	HP:0012374
HP:0000557	HP:0001087
HP:0000570	HP:0000496
HP:0000571	HP:0000570
HP:0000572	HP:0000504
HP:0000575	HP:0001123
HP:0000589	HP:0000315
HP:0000591	HP:0012374
HP:0000592	HP:0000591
HP:0000593	HP:0004328
HP:0000597	HP:0000496
HP:0000598	HP:0000118
HP:0000600	HP:0000234
HP:0000602	HP:0000597
HP:0000605	HP:0000549
HP:0000606	HP:0000271
HP:0000613	HP:0000504
HP:0000613	HP:0000708
HP:0000617	HP:0000496
HP:0000618	HP:0000505
HP:0000619	HP:0000549
HP:0000622	HP:0000504
HP:0000629	HP:0000606
HP:0000632	HP:0012373
HP:0000633	HP:0000632
HP:0000634	HP:0011347
HP:0000639	HP:0012547
HP:0000641	HP:0000570
HP:0000646	HP:0007663
HP:0000649	HP:0030453
HP:0000651	HP:0011514
HP:0000657	HP:0000496
HP:0000657	HP:0002186
HP:0000662	HP:0000504
HP:0000667	HP:0012374
HP:0000707	HP:0000118
HP:0000708	HP:0012638
HP:0000709	HP:0000708
HP:0000710	HP:0000708
HP:0000711	HP:0000708
HP:0000712	HP:0100851
HP:0000713	HP:0000711
HP:0000716	HP:0100851
HP:0000717	HP:0000729
HP:0000719	HP:0000708
HP:0000720	HP:0100851
HP:0000721	HP:0000708
HP:0000722	HP:0000708
HP:0000723	HP:0000729
HP:0000725	HP:0000709
HP:0000729	HP:0000708
HP:0000732	HP:0000708
HP:0000733	HP:0004305
HP:0000734	HP:0000719
HP:0000735	HP:0000729
HP:0000735	HP:0012433
HP:0000736	HP:0000708
HP:0000737	HP:0100851
HP:0000738	HP:0000708
HP:0000743	HP:0100022
HP:0000744	HP:0000708
HP:0000745	HP:0100851
HP:0000746	HP:0000708
HP:0000748	HP:0000719
HP:0000750	HP:0012758
HP:0000751	HP:0000708
HP:0000752	HP:0100022
HP:0000753	HP:0000729
HP:0000757	HP:0000708
HP:0000759	HP:0012639
HP:0000763	HP:0009830
HP:0000764	HP:0000759
HP:0000765	HP:0009121
HP:0000766	HP:0000765
HP:0000769	HP:0000118
HP:0000771	HP:0000769
HP:0000775	HP:0003011
HP:0000776	HP:0000775
HP:0000776	HP:0100790
HP:0000777	HP:0000818
HP:0000777	HP:0100763
HP:0000778	HP:0010515
HP:0000782	HP:0000765
HP:0000789	HP:0000144
HP:0000809	HP:0000079
HP:0000811	HP:0012243
HP:0000812	HP:0012243
HP:0000815	HP:0000135
HP:0000816	HP:0001939
HP:0000818	HP:0000118
HP:0000819	HP:0000818
HP:0000819	HP:0011014
HP:0000820	HP:0000818
HP:0000821	HP:0002926
HP:0000822	HP:0011025
HP:0000823	HP:0001510
HP:0000823	HP:0008373
HP:0000826	HP:0100000
HP:0000828	HP:0000818
HP:0000829	HP:0011767
HP:0000831	HP:0000819
HP:0000831	HP:0000855
HP:0000832	HP:0000821
HP:0000833	HP:0001952
HP:0000834	HP:0000818
HP:0000835	HP:0011732
HP:0000836	HP:0002926
HP:0000840	HP:0008373
HP:0000841	HP:0000847
HP:0000842	HP:0011014
HP:0000842	HP:0040215
HP:0000843	HP:0011767
HP:0000846	HP:0011733
HP:0000847	HP:0000818
HP:0000848	HP:0000847
HP:0000849	HP:0011732
HP:0000851	HP:0000821
HP:0000852	HP:0011767
HP:0000853	HP:0011772
HP:0000854	HP:0100031
HP:0000855	HP:0011014
HP:0000858	HP:0008373
HP:0000859	HP:0002717
HP:0000860	HP:0011768
HP:0000864	HP:0000818
HP:0000867	HP:0000843
HP:0000868	HP:0000144
HP:0000873	HP:0000818
HP:0000875	HP:0000822
HP:0000889	HP:0000765
HP:0000924	HP:0000118
HP:0000925	HP:0009121
HP:0000927	HP:0011843
HP:0000929	HP:0000234
HP:0000929	HP:0009121
HP:0000934	HP:0001367
HP:0000934	HP:0010766
HP:0000934	HP:0100685
HP:0000940	HP:0011314
HP:0000943	HP:0011842
HP:0000944	HP:0002813
HP:0000944	HP:0011314
HP:0000951	HP:0001574
HP:0000953	HP:0001000
HP:0000957	HP:0011355
HP:0000958	HP:0011121
HP:0000966	HP:0007550
HP:0000968	HP:0011354
HP:0000969	HP:0011032
HP:0000970	HP:0025276
HP:0000971	HP:0011138
HP:0000975	HP:0007550
HP:0000977	HP:0010647
HP:0000980	HP:0011121
HP:0000987	HP:0011354
HP:0000987	HP:0100699
HP:0000989	HP:0011122
HP:0000991	HP:0011355
HP:0000992	HP:0011354
HP:0000993	HP:0011355
HP:0000998	HP:0011362
HP:0001000	HP:0011121
HP:0001001	HP:0009124
HP:0001001	HP:0011354
HP:0001004	HP:0000969
HP:0001005	HP:0011354
HP:0001006	HP:0011362
HP:0001007	HP:0011362
HP:0001010	HP:0001000
HP:0001012	HP:0012031
HP:0001017	HP:0000980
HP:0001028	HP:0100742
HP:0001029	HP:0011121
HP:0001030	HP:0011354
HP:0001045	HP:0001000
HP:0001048	HP:0001028
HP:0001056	HP:0011355
HP:0001058	HP:0011354
HP:0001059	HP:0001367
HP:0001059	HP:0011356
HP:0001069	HP:0000975
HP:0001070	HP:0001000
HP:0001072	HP:0011121
HP:0001076	HP:0001028
HP:0001080	HP:0004297
HP:0001087	HP:0000501
HP:0001098	HP:0004329
HP:0001106	HP:0000606
HP:0001106	HP:0001000
HP:0001117	HP:0007663
HP:0001123	HP:0000504
HP:0001125	HP:0000622
HP:0001129	HP:0001123
HP:0001133	HP:0001123
HP:0001141	HP:0000505
HP:0001144	HP:0000606
HP:0001152	HP:0000617
HP:0001155	HP:0002817
HP:0001163	HP:0001155
HP:0001163	HP:0040070
HP:0001169	HP:0100871
HP:0001176	HP:0005922
HP:0001178	HP:0001155
HP:0001188	HP:0005922
HP:0001193	HP:0009484
HP:0001194	HP:0001197
HP:0001195	HP:0010948
HP:0001195	HP:0011403
HP:0001195	HP:0011425
HP:0001196	HP:0010881
HP:0001197	HP:0000118
HP:0001218	HP:0040064
HP:0001227	HP:0001421
HP:0001231	HP:0001597
HP:0001249	HP:0012759
HP:0001250	HP:0012638
HP:0001252	HP:0003808
HP:0001254	HP:0004372
HP:0001256	HP:0001249
HP:0001259	HP:0004372
HP:0001260	HP:0002167
HP:0001262	HP:0002360
HP:0001262	HP:0004372
HP:0001263	HP:0012758
HP:0001265	HP:0001315
HP:0001268	HP:0100543
HP:0001270	HP:0012758
HP:0001271	HP:0009830
HP:0001276	HP:0002493
HP:0001276	HP:0003808
HP:0001278	HP:0002615
HP:0001278	HP:0012332
HP:0001279	HP:0011025
HP:0001281	HP:0011804
HP:0001283	HP:0001324
HP:0001283	HP:0012638
HP:0001284	HP:0001315
HP:0001287	HP:0011450
HP:0001287	HP:0012649
HP:0001288	HP:0100022
HP:0001289	HP:0004372
HP:0001290	HP:0001252
HP:0001291	HP:0000759
HP:0001293	HP:0001291
HP:0001298	HP:0012638
HP:0001300	HP:0002071
HP:0001301	HP:0009830
HP:0001304	HP:0001332
HP:0001311	HP:0012638
HP:0001315	HP:0012638
HP:0001319	HP:0001252
HP:0001322	HP:0012443
HP:0001324	HP:0011804
HP:0001328	HP:0012759
HP:0001332	HP:0100022
HP:0001335	HP:0100022
HP:0001336	HP:0004305
HP:0001337	HP:0004305
HP:0001343	HP:0012443
HP:0001345	HP:0000709
