parent	child
0000008	0000078
0000014	0000079
0000022	0000078
0000025	0000078
0000078	0000119
0000079	0000119
0000098	0000002
0000133	0000078
0000135	0000078
0000135	0000818
0000144	0000078
0000153	0000271
0000154	0000153
0000159	0000153
0000160	0000153
0000163	0000153
0000201	0000153
0000202	0000153
0000235	0000929
0000246	0000929
0000246	0010978
0000256	0000929
0000264	0000929
0000274	0001999
0000277	0000929
0000280	0001999
0000282	0000271
0000282	0000969
0000290	0000271
0000293	0000309
0000295	0001999
0000297	0000271
0000297	0001252
0000297	0003011
0000298	0005346
0000300	0001999
0000307	0000271
0000309	0000271
0000311	0001999
0000315	0000271
0000316	0000315
0000316	0000478
0000320	0001999
0000321	0001999
0000324	0001999
0000325	0001999
0000326	0000929
0000331	0000271
0000336	0000271
0000337	0000290
0000338	0000271
0000338	0003011
0000338	0005346
0000340	0000290
0000341	0000290
0000348	0000290
0000350	0000290
0000356	0000598
0000358	0000356
0000359	0000598
0000360	0000364
0000364	0000598
0000365	0000364
0000366	0000271
0000369	0000356
0000370	0000598
0000372	0000356
0000375	0000359
0000377	0000356
0000383	0000309
0000388	0000370
0000388	0010978
0000418	0000366
0000421	0000366
0000421	0001892
0000426	0000366
0000431	0000366
0000437	0000366
0000444	0000366
0000446	0000366
0000451	0000366
0000452	0000366
0000453	0000366
0000454	0000366
0000456	0000366
0000457	0000366
0000465	0000464
0000466	0000464
0000467	0000464
0000467	0001324
0000467	0003011
0000471	0002597
0000471	0012718
0000472	0000464
0000474	0000464
0000474	0001197
0000475	0000464
0000476	0000464
0000479	0000478
0000481	0000478
0000483	0000481
0000483	0000539
0000486	0000496
0000488	0000479
0000490	0000315
0000490	0000478
0000492	0000315
0000496	0000478
0000501	0000478
0000503	0000315
0000503	0000478
0000503	0002597
0000504	0000478
0000505	0000504
0000508	0000478
0000512	0000478
0000518	0000478
0000519	0000518
0000520	0000315
0000520	0000478
0000525	0000478
0000528	0000315
0000528	0000478
0000528	0008056
0000532	0000479
0000532	0000610
0000534	0000271
0000534	0000315
0000534	0001595
0000539	0000478
0000540	0000539
0000541	0000479
0000545	0000539
0000546	0000479
0000550	0000512
0000551	0000478
0000551	0000504
0000556	0000479
0000568	0000315
0000568	0000478
0000568	0008056
0000570	0000496
0000572	0000504
0000587	0000478
0000589	0000315
0000591	0000478
0000592	0000591
0000593	0000478
0000594	0000593
0000597	0000496
0000601	0000315
0000601	0000478
0000605	0000496
0000610	0000478
0000613	0000504
0000613	0000708
0000614	0000315
0000615	0000525
0000619	0000496
0000622	0000504
0000627	0000481
0000629	0000271
0000632	0000478
0000633	0000632
0000634	0000496
0000639	0000496
0000649	0000478
0000651	0000504
0000657	0000496
0000657	0002186
0000662	0000504
0000667	0000478
0000708	0000707
0000709	0000708
0000710	0000708
0000711	0000708
0000712	0000708
0000716	0000708
0000720	0000708
0000722	0000708
0000729	0000708
0000733	0100022
0000734	0000708
0000736	0000708
0000737	0000708
0000738	0000708
0000739	0000708
0000741	0000708
0000743	0100022
0000744	0000708
0000746	0000708
0000748	0000708
0000750	0000707
0000751	0000708
0000752	0100022
0000756	0000708
0000757	0000708
0000759	0012639
0000765	0000924
0000766	0000765
0000771	0000769
0000772	0000765
0000776	0003011
0000776	0100790
0000777	0000818
0000777	0100763
0000782	0000765
0000811	0000078
0000816	0001939
0000819	0000818
0000819	0001939
0000820	0000818
0000822	0011025
0000823	0000818
0000823	0001510
0000826	0100000
0000828	0000818
0000829	0000828
0000831	0000819
0000831	0000855
0000833	0001952
0000834	0000818
0000835	0000834
0000840	0000818
0000842	0001939
0000842	0003117
0000843	0000828
0000846	0000834
0000848	0000818
0000853	0000820
0000855	0001939
0000858	0000818
0000864	0000818
0000873	0000818
0000889	0000765
0000925	0000924
0000929	0000924
0000934	0001367
0000934	0003549
0000934	0010766
0000940	0011314
0000943	0000924
0000944	0002813
0000944	0011314
0000952	0001396
0000952	0011354
0000953	0001000
0000957	0000951
0000958	0000951
0000961	0002795
0000961	0011354
0000963	0008065
0000966	0007550
0000968	0011354
0000969	0001939
0000973	0000951
0000974	0000951
0000975	0007550
0000977	0000951
0000980	0000951
0000987	0011354
0000987	0100699
0000989	0000951
0000991	0000951
0000992	0011354
0000995	0001000
0000995	0003764
0000998	0011362
0001000	0000951
0001004	0000969
0001006	0011362
0001007	0011362
0001010	0001000
0001012	0002664
0001012	0009124
0001013	0000991
0001024	0010781
0001027	0000977
0001029	0000951
0001030	0011354
0001033	0011354
0001038	0011354
0001045	0001000
0001052	0000951
0001052	0003764
0001054	0003764
0001054	0010566
0001056	0000951
0001057	0008065
0001058	0011354
0001059	0001367
0001059	0011356
0001062	0003764
0001070	0001000
0001072	0000951
0001074	0003764
0001080	0001392
0001081	0005264
0001082	0005264
0001083	0000478
0001087	0000501
0001090	0000315
0001090	0000478
0001093	0000587
0001099	0000478
0001101	0000525
0001102	0000479
0001103	0000479
0001112	0000587
0001118	0000518
0001120	0000481
0001123	0000504
0001131	0000481
0001132	0001083
0001138	0000587
0001139	0000610
0001140	0000315
0001140	0000481
0001140	0000591
0001144	0000271
0001147	0000479
0001152	0000496
0001155	0002817
0001159	0002813
0001163	0000924
0001163	0001155
0001163	0002817
0001167	0001155
0001167	0002813
0001169	0001155
0001178	0001155
0001195	0001197
0001195	0001626
0001196	0001197
0001217	0002813
0001231	0001597
0001245	0001155
0001245	0002817
0001245	0003011
0001249	0000707
0001250	0000707
0001252	0003011
0001254	0004372
0001256	0001249
0001259	0004372
0001260	0002167
0001263	0000707
0001265	0001315
0001268	0100543
0001270	0000707
0001276	0002493
0001276	0003011
0001279	0011025
0001281	0003011
0001283	0000707
0001283	0001324
0001284	0001315
0001288	0100022
0001289	0004372
0001290	0001252
0001298	0000707
0001300	0002071
0001312	0000707
0001312	0030177
0001315	0000707
0001319	0001252
0001324	0003011
0001328	0000707
0001332	0100022
0001335	0100022
0001336	0100022
0001337	0100022
0001340	0000707
0001340	0030177
0001344	0000750
0001344	0002167
0001347	0002493
0001350	0000707
0001367	0000924
0001369	0001367
0001373	0001367
0001386	0000969
0001386	0001367
0001394	0001392
0001395	0001392
0001396	0001392
0001397	0001392
0001399	0001410
0001403	0001397
0001405	0001395
0001406	0001396
0001407	0006706
0001413	0001394
0001414	0001397
0001419	0001417
0001423	0001417
0001442	0001428
0001452	0000006
0001452	0001466
0001470	0000006
0001477	0000496
0001480	0001000
0001482	0200036
0001488	0000508
0001491	0000315
0001491	0003011
0001508	0004325
0001511	0001510
0001513	0004324
0001518	0004325
0001519	0000098
0001520	0004324
0001525	0001508
0001528	0100555
0001530	0008897
0001531	0001508
0001533	0000098
0001533	0004325
0001538	0003270
0001540	0003011
0001540	0004298
0001543	0010866
0001555	0000765
0001557	0001197
0001558	0001557
0001561	0001197
0001562	0001197
0001563	0001197
0001580	0000834
0001582	0000973
0001591	0000765
0001596	0011362
0001598	0002164
0001600	0012252
0001609	0001608
0001611	0001608
0001612	0001608
0001615	0001609
0001618	0001608
0001618	0002167
0001620	0001608
0001621	0001608
0001622	0001197
0001623	0001197
0001627	0030680
0001635	0011025
0001643	0030680
0001660	0030680
0001679	0002597
0001686	0001608
0001694	0011025
0001708	0011025
0001710	0030680
0001727	0001907
0001733	0001732
0001733	0010978
0001734	0012090
0001737	0012090
0001738	0012092
0001739	0000366
0001739	0000600
0001742	0000366
0001743	0100763
0001751	0000359
0001760	0002814
0001761	0001760
0001763	0001760
0001769	0001760
0001773	0000924
0001773	0001760
0001773	0002813
0001773	0002814
0001773	0009815
0001780	0001760
0001780	0002813
0001786	0001760
0001788	0001197
0001789	0000969
0001789	0001197
0001792	0008386
0001795	0002164
0001798	0008386
0001799	0008386
0001803	0002164
0001805	0001597
0001806	0001597
0001807	0002164
0001808	0001597
0001810	0008388
0001810	0008404
0001814	0002164
0001816	0001597
0001820	0100643
0001821	0002164
