parent	child
GO:0000031	GO:0016740
GO:0000036	GO:0051192
GO:0000062	GO:0043168
GO:0000062	GO:0050662
GO:0000062	GO:1901681
GO:0000149	GO:0005515
GO:0000150	GO:0003824
GO:0000156	GO:0005057
GO:0000166	GO:0036094
GO:0000166	GO:0097159
GO:0000166	GO:1901363
GO:0000170	GO:0016491
GO:0000286	GO:0016491
GO:0000384	GO:0003824
GO:0000386	GO:0003824
GO:0000822	GO:0043168
GO:0000822	GO:0043178
GO:0000981	GO:0003700
GO:0000989	GO:0000988
GO:0000990	GO:0000988
GO:0000991	GO:0000990
GO:0000995	GO:0000990
GO:0001007	GO:0000989
GO:0001010	GO:0000989
GO:0001010	GO:0003700
GO:0001011	GO:0003700
GO:0001025	GO:0008134
GO:0001034	GO:0003700
GO:0001070	GO:0001071
GO:0001072	GO:0001070
GO:0001073	GO:0003700
GO:0001076	GO:0000989
GO:0001082	GO:0000989
GO:0001085	GO:0008134
GO:0001099	GO:0005515
GO:0001108	GO:0005515
GO:0001130	GO:0003700
GO:0001168	GO:0003700
GO:0001169	GO:0003700
GO:0001179	GO:0008134
GO:0001181	GO:0000990
GO:0001199	GO:0003700
GO:0001221	GO:0008134
GO:0001406	GO:0005215
GO:0001406	GO:0022857
GO:0001512	GO:0016491
GO:0001515	GO:0005102
GO:0001530	GO:0008289
GO:0001530	GO:0097367
GO:0001540	GO:0042277
GO:0001565	GO:0038023
GO:0001618	GO:0004872
GO:0001653	GO:0038023
GO:0001664	GO:0005102
GO:0001846	GO:0005515
GO:0001848	GO:0005515
GO:0001849	GO:0001846
GO:0001849	GO:0001848
GO:0001850	GO:0001848
GO:0001851	GO:0001846
GO:0001851	GO:0001848
GO:0001855	GO:0001846
GO:0001855	GO:0001848
GO:0001856	GO:0001848
GO:0001864	GO:0001846
GO:0001872	GO:0030247
GO:0001882	GO:0036094
GO:0001882	GO:0097159
GO:0001882	GO:0097367
GO:0001882	GO:1901363
GO:0001883	GO:0001882
GO:0001884	GO:0001882
GO:0001918	GO:0005515
GO:0001948	GO:0005515
GO:0001948	GO:0097367
GO:0001965	GO:0005515
GO:0001968	GO:0005515
GO:0002020	GO:0019899
GO:0002039	GO:0005515
GO:0002046	GO:0005515
GO:0002055	GO:0002060
GO:0002057	GO:0002060
GO:0002058	GO:0036094
GO:0002058	GO:0097159
GO:0002058	GO:1901363
GO:0002059	GO:0036094
GO:0002059	GO:0097159
GO:0002059	GO:1901363
GO:0002060	GO:0036094
GO:0002060	GO:0097159
GO:0002060	GO:1901363
GO:0002113	GO:0019955
GO:0002162	GO:0001948
GO:0003676	GO:0097159
GO:0003676	GO:1901363
GO:0003677	GO:0003676
GO:0003682	GO:0044877
GO:0003700	GO:0001071
GO:0003707	GO:0038023
GO:0003712	GO:0000989
GO:0003723	GO:0003676
GO:0003735	GO:0005198
GO:0003779	GO:0008092
GO:0003826	GO:0016491
GO:0003832	GO:0016787
GO:0003833	GO:0016874
GO:0003909	GO:0016874
GO:0003916	GO:0016853
GO:0003923	GO:0016787
GO:0003963	GO:0009975
GO:0003963	GO:0016874
GO:0004013	GO:0016787
GO:0004125	GO:0016740
GO:0004133	GO:0003824
GO:0004153	GO:0019239
GO:0004325	GO:0016829
GO:0004375	GO:0016491
GO:0004497	GO:0016491
GO:0004800	GO:0016491
GO:0004803	GO:0003824
GO:0004836	GO:0016491
GO:0004839	GO:0016874
GO:0004857	GO:0030234
GO:0004873	GO:0038024
GO:0004874	GO:0038023
GO:0004888	GO:0004872
GO:0004888	GO:0038023
GO:0004998	GO:0038024
GO:0005030	GO:0038023
GO:0005044	GO:0038024
GO:0005047	GO:0043021
GO:0005048	GO:0042277
GO:0005055	GO:0004872
GO:0005057	GO:0004871
GO:0005070	GO:0030674
GO:0005070	GO:0035591
GO:0005072	GO:0005057
GO:0005085	GO:0098772
GO:0005086	GO:0005085
GO:0005088	GO:0005085
GO:0005102	GO:0005515
GO:0005112	GO:0005102
GO:0005113	GO:0005102
GO:0005115	GO:0005102
GO:0005118	GO:0005102
GO:0005119	GO:0005102
GO:0005121	GO:0005102
GO:0005122	GO:0005102
GO:0005124	GO:0005102
GO:0005125	GO:0005102
GO:0005126	GO:0005102
GO:0005158	GO:0005102
GO:0005158	GO:0032403
GO:0005159	GO:0005102
GO:0005176	GO:0005102
GO:0005178	GO:0005102
GO:0005178	GO:0032403
GO:0005178	GO:0050839
GO:0005179	GO:0005102
GO:0005186	GO:0005102
GO:0005199	GO:0005198
GO:0005200	GO:0005198
GO:0005201	GO:0005198
GO:0005212	GO:0005198
GO:0005213	GO:0005198
GO:0005214	GO:0042302
GO:0005246	GO:0016247
GO:0005319	GO:0022892
GO:0005326	GO:0005215
GO:0005344	GO:0022892
GO:0005483	GO:0005515
GO:0005484	GO:0005515
GO:0005487	GO:0005215
GO:0005496	GO:0008289
GO:0005496	GO:0097159
GO:0005497	GO:0005496
GO:0005497	GO:0042562
GO:0005499	GO:0005496
GO:0005499	GO:0019842
GO:0005499	GO:0043178
GO:0005500	GO:0019840
GO:0005500	GO:0042562
GO:0005501	GO:0019840
GO:0005516	GO:0005515
GO:0005518	GO:0032403
GO:0005519	GO:0008092
GO:0005520	GO:0019838
GO:0005521	GO:0005515
GO:0005522	GO:0005515
GO:0005523	GO:0008092
GO:0005527	GO:0008144
GO:0005527	GO:0097159
GO:0005527	GO:1901363
GO:0005528	GO:0005527
GO:0005534	GO:0048029
GO:0005536	GO:0048029
GO:0005537	GO:0048029
