child	parent
GO:0000049	GO:0003723
GO:0000339	GO:0003723
GO:0000340	GO:0000339
GO:0000341	GO:0000339
GO:0000342	GO:0000339
GO:0000498	GO:0003723
GO:0000499	GO:0000498
GO:0000944	GO:0000498
GO:0000944	GO:0019843
GO:0000945	GO:0000498
GO:0000945	GO:0017069
GO:0000946	GO:0000049
GO:0000946	GO:0000498
GO:0001068	GO:0001069
GO:0001069	GO:0003723
GO:0002151	GO:0003723
GO:0002153	GO:0003727
GO:0003725	GO:0003723
GO:0003727	GO:0003723
GO:0003729	GO:0003723
GO:0003730	GO:0003729
GO:0003743	GO:0008135
GO:0003746	GO:0008135
GO:0003747	GO:0008079
GO:0008079	GO:0008135
GO:0008097	GO:0019843
GO:0008098	GO:0008097
GO:0008135	GO:0003723
GO:0008143	GO:0070717
GO:0008187	GO:0003727
GO:0008266	GO:0008187
GO:0008312	GO:0003723
GO:0016149	GO:0003747
GO:0016150	GO:0003747
GO:0017069	GO:0003723
GO:0017070	GO:0017069
GO:0017091	GO:0003723
GO:0017130	GO:0008187
GO:0017131	GO:0008187
GO:0019843	GO:0003723
GO:0030350	GO:0003729
GO:0030515	GO:0003723
GO:0030533	GO:0000499
GO:0030555	GO:0000498
GO:0030556	GO:0000944
GO:0030556	GO:0030555
GO:0030557	GO:0000946
GO:0030557	GO:0030555
GO:0030558	GO:0030555
GO:0030559	GO:0030556
GO:0030559	GO:0030558
GO:0030560	GO:0030557
GO:0030560	GO:0030558
GO:0030561	GO:0030555
GO:0030562	GO:0030556
GO:0030562	GO:0030561
GO:0030563	GO:0030561
GO:0030563	GO:0030566
GO:0030564	GO:0030557
GO:0030564	GO:0030561
GO:0030565	GO:0030558
GO:0030565	GO:0030566
GO:0030566	GO:0000945
GO:0030566	GO:0030555
GO:0030619	GO:0017069
GO:0030620	GO:0017069
GO:0030621	GO:0017069
GO:0030622	GO:0017069
GO:0030623	GO:0017069
GO:0030624	GO:0017069
GO:0030625	GO:0017069
GO:0030626	GO:0017069
GO:0030627	GO:0036002
GO:0030628	GO:0036002
GO:0030629	GO:0017070
GO:0033204	GO:0003723
GO:0033401	GO:0030533
GO:0033402	GO:0030533
GO:0033403	GO:0030533
GO:0033404	GO:0030533
GO:0033405	GO:0030533
GO:0033406	GO:0030533
GO:0033407	GO:0030533
GO:0033408	GO:0030533
GO:0033409	GO:0030533
GO:0033410	GO:0030533
GO:0033411	GO:0030533
GO:0033412	GO:0030533
GO:0033413	GO:0030533
GO:0033414	GO:0030533
GO:0033415	GO:0030533
GO:0033416	GO:0030533
GO:0033417	GO:0030533
GO:0033418	GO:0030533
GO:0033419	GO:0030533
GO:0033420	GO:0030533
GO:0033421	GO:0030533
GO:0033422	GO:0030533
GO:0033423	GO:0030533
GO:0033424	GO:0030533
GO:0033425	GO:0030533
GO:0033426	GO:0030533
GO:0033427	GO:0030533
GO:0033428	GO:0030533
GO:0033429	GO:0030533
GO:0033430	GO:0030533
GO:0033431	GO:0030533
GO:0033432	GO:0030533
GO:0033433	GO:0030533
GO:0033434	GO:0030533
GO:0033435	GO:0030533
GO:0033436	GO:0030533
GO:0033437	GO:0030533
GO:0033438	GO:0030533
GO:0033439	GO:0030533
GO:0033440	GO:0030533
GO:0033441	GO:0030533
GO:0033442	GO:0030533
GO:0033443	GO:0030533
GO:0033444	GO:0030533
GO:0033445	GO:0030533
GO:0033446	GO:0030533
GO:0033447	GO:0030533
GO:0033448	GO:0030533
GO:0033449	GO:0030533
GO:0033450	GO:0030533
GO:0033451	GO:0030533
GO:0033452	GO:0030533
GO:0033453	GO:0030533
GO:0033454	GO:0030533
GO:0033455	GO:0030533
GO:0033456	GO:0030533
GO:0033457	GO:0030533
GO:0033458	GO:0030533
GO:0033459	GO:0030533
GO:0033460	GO:0030533
GO:0033461	GO:0030533
GO:0033462	GO:0030533
GO:0033463	GO:0030533
GO:0033464	GO:0030533
GO:0033592	GO:0003725
GO:0033592	GO:0003727
GO:0034046	GO:0070717
GO:0034057	GO:0003725
GO:0034057	GO:0003727
GO:0034336	GO:0003723
GO:0034511	GO:0030515
GO:0034512	GO:0030515
GO:0034513	GO:0030515
GO:0034583	GO:0003723
GO:0034584	GO:0003723
GO:0035197	GO:0003723
GO:0035198	GO:0003723
GO:0035368	GO:0003729
GO:0035613	GO:0003723
GO:0035614	GO:0017069
GO:0035614	GO:0035613
GO:0035925	GO:0003730
GO:0035925	GO:0017091
GO:0036002	GO:0003723
GO:0042134	GO:0019843
GO:0042835	GO:0003723
GO:0045131	GO:0036002
GO:0048027	GO:0003729
GO:0061752	GO:0003723
GO:0070034	GO:0003723
GO:0070180	GO:0019843
GO:0070181	GO:0019843
GO:0070717	GO:0003727
GO:0070878	GO:0003723
GO:0070883	GO:0003723
GO:0071207	GO:0036002
GO:0071208	GO:0003723
GO:0071209	GO:0017069
GO:0097157	GO:0036002
GO:0097158	GO:0097157
GO:0097322	GO:0017069
GO:0098808	GO:0000339
GO:0098808	GO:0003729
GO:0098851	GO:0003725
GO:1903231	GO:0003729
GO:1904678	GO:0003723
GO:1990247	GO:0003723
GO:1990400	GO:0070180
GO:1990605	GO:0003723
GO:1990715	GO:0003729
GO:1990825	GO:0003729
GO:1990856	GO:0000049
GO:1990932	GO:0019843
GO:1990970	GO:0070883
