source	target
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000005
0000001	0000013
0000001	0000016
0000002	0000004
0000002	0000006
0000002	0000012
0000002	0000014
0000002	0000020
0000002	0000021
0000003	0000004
0000003	0000007
0000003	0000009
0000003	0000012
0000003	0000018
0000004	0000012
0000004	0000014
0000004	0000016
0000004	0000021
0000005	0000008
0000005	0000011
0000006	0000021
0000007	0000011
0000007	0000012
0000007	0000015
0000007	0000020
0000008	0000011
0000008	0000016
0000008	0000017
0000008	0000019
0000008	0000020
0000008	0000021
0000009	0000010
0000009	0000011
0000009	0000014
0000009	0000025
0000010	0000012
0000010	0000014
0000010	0000015
0000010	0000016
0000010	0000021
0000011	0000016
0000011	0000020
0000012	0000014
0000012	0000022
0000013	0000014
0000013	0000015
0000013	0000016
0000013	0000021
0000014	0000020
0000015	0000024
0000017	0000021
0000018	0000020
0000018	0000021
0000019	0000022
0000021	0000022
0000021	0000023
