child	parent
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000011
0000001	0000019
0000001	0000020
0000001	0000024
0000002	0000003
0000002	0000005
0000002	0000011
0000002	0000017
0000002	0000019
0000003	0000009
0000003	0000013
0000003	0000019
0000004	0000015
0000004	0000019
0000005	0000006
0000005	0000007
0000005	0000008
0000005	0000011
0000005	0000015
0000005	0000022
0000006	0000019
0000008	0000013
0000008	0000019
0000009	0000010
0000009	0000012
0000009	0000013
0000009	0000015
0000009	0000019
0000010	0000019
0000010	0000025
0000011	0000019
0000011	0000021
0000012	0000014
0000012	0000019
0000013	0000019
0000013	0000021
0000014	0000016
0000014	0000018
0000014	0000019
0000014	0000021
0000015	0000019
0000016	0000019
0000017	0000019
0000017	0000021
0000018	0000019
0000019	0000021
0000021	0000023
