source	target
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000005
0000001	0000010
0000001	0000011
0000001	0000014
0000001	0000017
0000001	0000019
0000001	0000024
0000001	0000026
0000001	0000030
0000001	0000032
0000001	0000037
0000001	0000041
0000001	0000044
0000001	0000045
0000001	0000047
0000001	0000055
0000002	0000003
0000002	0000004
0000002	0000005
0000002	0000006
0000002	0000008
0000002	0000013
0000002	0000020
0000002	0000022
0000002	0000027
0000002	0000045
0000002	0000047
0000002	0000050
0000003	0000004
0000003	0000007
0000003	0000013
0000003	0000023
0000003	0000031
0000003	0000047
0000003	0000053
0000004	0000005
0000004	0000006
0000004	0000007
0000004	0000010
0000004	0000011
0000004	0000012
0000004	0000013
0000004	0000016
0000004	0000043
0000004	0000057
0000004	0000076
0000005	0000012
0000005	0000016
0000005	0000023
0000005	0000024
0000005	0000037
0000005	0000042
0000005	0000071
0000006	0000008
0000006	0000009
0000006	0000010
0000006	0000011
0000006	0000012
0000006	0000017
0000006	0000018
0000006	0000025
0000006	0000029
0000006	0000033
0000006	0000041
0000006	0000048
0000006	0000078
0000007	0000011
0000007	0000013
0000007	0000015
0000007	0000016
0000007	0000017
0000007	0000021
0000007	0000024
0000007	0000034
0000007	0000041
0000007	0000067
0000007	0000070
0000007	0000088
0000008	0000013
0000009	0000023
0000009	0000028
0000009	0000031
0000009	0000041
0000009	0000046
0000009	0000051
0000009	0000057
0000009	0000067
0000009	0000084
0000009	0000097
0000010	0000014
0000010	0000042
0000010	0000066
0000010	0000073
0000010	0000081
0000011	0000029
0000011	0000035
0000011	0000041
0000011	0000094
0000012	0000030
0000012	0000033
0000012	0000035
0000012	0000038
0000012	0000050
0000012	0000064
0000012	0000095
0000013	0000016
0000013	0000019
0000013	0000032
0000014	0000024
0000014	0000029
0000014	0000032
0000014	0000034
0000014	0000035
0000014	0000036
0000014	0000049
0000014	0000059
0000014	0000084
0000015	0000019
0000015	0000022
0000015	0000046
0000015	0000055
0000015	0000093
0000016	0000021
0000016	0000026
0000016	0000027
0000016	0000040
0000016	0000057
0000016	0000095
0000017	0000039
0000017	0000049
0000017	0000052
0000017	0000064
0000017	0000073
0000017	0000082
0000017	0000090
0000018	0000028
0000018	0000049
0000018	0000085
0000019	0000024
0000019	0000034
0000019	0000050
0000020	0000021
0000020	0000026
0000020	0000033
0000020	0000052
0000020	0000054
0000020	0000060
0000020	0000072
0000021	0000024
0000021	0000031
0000021	0000055
0000021	0000056
0000021	0000073
0000022	0000027
0000022	0000033
0000022	0000048
0000022	0000067
0000022	0000068
0000022	0000100
0000023	0000033
0000023	0000053
0000023	0000067
0000023	0000089
0000024	0000032
0000024	0000033
0000024	0000052
0000025	0000028
0000025	0000029
0000025	0000032
0000025	0000038
0000025	0000068
0000025	0000093
0000026	0000061
0000026	0000073
0000026	0000076
0000027	0000032
0000027	0000076
0000027	0000091
0000028	0000035
0000028	0000051
0000028	0000057
0000028	0000072
0000028	0000095
0000029	0000039
0000029	0000080
0000029	0000085
0000030	0000057
0000030	0000061
0000030	0000090
0000031	0000036
0000031	0000043
0000031	0000080
0000032	0000039
0000032	0000046
0000032	0000062
0000032	0000086
0000032	0000095
0000033	0000038
0000033	0000044
0000033	0000045
0000033	0000064
0000034	0000038
0000034	0000044
0000034	0000059
0000034	0000060
0000034	0000071
0000034	0000093
0000036	0000049
0000036	0000061
0000036	0000076
0000037	0000040
0000037	0000051
0000037	0000064
0000038	0000100
0000039	0000057
0000039	0000075
0000039	0000095
0000039	0000100
0000040	0000047
0000040	0000051
0000040	0000052
0000040	0000064
0000040	0000066
0000040	0000085
0000040	0000095
0000041	0000060
0000041	0000072
0000042	0000060
0000042	0000071
0000042	0000093
0000043	0000067
0000043	0000083
0000044	0000049
0000044	0000074
0000044	0000082
0000045	0000046
0000045	0000047
0000045	0000048
0000045	0000057
0000045	0000072
0000045	0000077
0000045	0000088
0000046	0000058
0000047	0000061
0000047	0000065
0000048	0000069
0000048	0000079
0000049	0000050
0000049	0000055
0000049	0000056
0000050	0000077
0000050	0000089
0000051	0000067
0000051	0000071
0000052	0000069
0000052	0000096
0000054	0000069
0000054	0000097
0000055	0000057
0000055	0000063
0000055	0000078
0000056	0000064
0000056	0000072
0000056	0000095
0000056	0000096
0000058	0000074
0000059	0000092
0000062	0000072
0000062	0000073
0000062	0000085
0000062	0000098
0000064	0000088
0000065	0000097
0000068	0000087
0000069	0000073
0000070	0000074
0000070	0000083
0000073	0000084
0000076	0000086
0000076	0000093
0000076	0000096
0000077	0000079
0000078	0000099
0000079	0000096
0000082	0000100
0000083	0000088
0000083	0000098
0000084	0000096
0000084	0000100
0000086	0000097
0000095	0000100
