file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	45	43
g100.txt	6.73e2	25	25
g101.txt	3.427e3	30	27
g102.txt	8.76e2	28	31
g103.txt	6.153e3	41	33
g104.txt	5.017e3	29	21
g105.txt	1.152e3	35	41
g106.txt	4.047e3	19	17
g107.txt	2.238e3	24	17
g108.txt	3.58e2	19	21
g109.txt	2.055e3	30	37
g10.txt	3.225e3	21	15
g110.txt	1.89e2	16	17
g111.txt	8.20e2	39	33
g112.txt	5.308e3	20	17
g113.txt	3.94e2	20	23
g114.txt	5.457e3	35	25
g115.txt	4.58e2	17	11
g116.txt	6.403e3	26	27
g117.txt	4.528e4	31	23
g118.txt	3.383e3	24	19
g119.txt	1.06e2	14	15
g11.txt	3.17e2	30	31
g120.txt	1.465e4	29	19
g121.txt	5.59e2	23	27
g122.txt	9.88e2	22	21
g123.txt	1.50e2	19	23
g124.txt	2.20e2	16	13
g125.txt	1.00e2	18	21
g126.txt	9.603e3	0	1
g127.txt	7.144e3	43	43
g128.txt	1.24e2	24	29
g129.txt	1.85e2	14	17
g12.txt	9.292e4	4	3
g130.txt	3.42e2	16	17
g131.txt	1.020e3	24	25
g132.txt	1.037e3	37	43
g133.txt	1.081e3	24	19
g134.txt	4.590e4	0	1
g135.txt	1.095e3	23	19
g136.txt	5.97e2	29	25
g137.txt	9.63e2	18	15
g138.txt	1.832e4	40	33
g139.txt	6.53e2	20	17
g13.txt	6.88e2	22	17
g140.txt	2.128e3	32	29
g141.txt	3.360e3	23	17
g142.txt	5.335e3	33	31
g143.txt	4.26e2	18	23
g144.txt	2.009e4	39	35
g145.txt	3.000e3	28	27
g146.txt	1.007e4	35	37
g147.txt	7.33e2	22	17
g148.txt	1.90e2	18	21
g149.txt	4.1e1	19	19
g14.txt	3.347e3	35	33
g150.txt	1.660e3	25	19
g151.txt	4.794e3	37	23
g152.txt	8.25e2	20	17
g153.txt	9.093e3	24	17
g154.txt	1.080e4	19	15
g155.txt	3.897e3	47	43
g156.txt	2.83e2	19	23
g157.txt	1.723e3	22	17
g158.txt	3.618e3	42	41
g159.txt	3.57e2	17	17
g15.txt	2.518e3	40	43
g160.txt	2.158e3	42	47
g161.txt	1.077e3	19	15
g162.txt	1.483e3	31	29
g163.txt	8.01e2	19	17
g164.txt	1.426e3	19	17
g165.txt	2.100e3	21	15
g166.txt	1.061e3	28	29
g167.txt	2.40e2	19	19
g168.txt	2.45e2	19	19
g169.txt	4.024e3	26	27
g16.txt	1.35e2	18	15
g170.txt	1.857e3	19	13
g171.txt	1.890e3	31	27
g172.txt	7.053e3	37	33
g173.txt	5.840e4	27	15
g174.txt	7.448e3	38	33
g175.txt	1.333e4	39	37
g176.txt	5.733e3	27	19
g177.txt	9.8e1	24	25
g178.txt	2.29e2	17	21
g179.txt	3.96e2	14	11
g17.txt	1.009e3	16	17
g180.txt	3.83e2	22	23
g181.txt	1.243e3	27	31
g182.txt	3.061e4	31	19
g183.txt	3.033e3	33	33
g184.txt	3.32e2	17	15
g185.txt	3.48e2	19	23
g186.txt	9.887e3	19	11
g187.txt	1.72e2	21	25
g188.txt	1.724e3	25	23
g189.txt	9.03e2	19	19
g18.txt	2.914e3	38	35
g190.txt	1.155e3	22	21
g191.txt	8.5e1	17	17
g192.txt	9.422e3	19	11
g193.txt	3.22e2	24	21
g194.txt	1.85e2	14	13
g195.txt	1.60e2	19	19
g196.txt	1.328e4	32	29
g197.txt	2.281e3	26	21
g198.txt	4.959e3	31	27
g199.txt	8.08e2	23	29
g19.txt	1.697e4	26	17
g1.txt	2.894e3	21	17
g200.txt	2.853e4	26	15
g201.txt	1.88e2	18	19
g202.txt	5.43e2	27	37
g203.txt	7.24e2	18	17
g204.txt	1.606e4	29	17
g205.txt	5.37e2	24	23
g206.txt	3.360e3	26	23
g207.txt	2.02e2	17	15
g208.txt	2.743e3	22	21
g209.txt	3.271e3	18	13
g20.txt	1.241e3	20	31
g210.txt	9.181e3	46	37
g211.txt	9.180e3	16	13
g212.txt	2.22e2	21	21
g213.txt	7.023e3	46	49
g214.txt	5.89e2	23	17
g215.txt	6.211e3	37	29
g216.txt	7.60e2	26	29
g217.txt	7.494e3	35	29
g218.txt	7.42e2	17	15
g219.txt	6.83e2	16	19
g21.txt	1.195e4	35	25
