file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	3567	
g100.txt	6.73e2	134	
g101.txt	3.427e3	293	
g102.txt	8.76e2	84	
g103.txt	6.153e3	430	
g104.txt	5.017e3	382	
g105.txt	1.152e3	95	
g106.txt	4.047e3	301	
g107.txt	2.238e3	309	
g108.txt	3.58e2	71	
g109.txt	2.055e3	224	
g10.txt	3.225e3	223	
g110.txt	1.89e2	24	
g111.txt	8.20e2	110	
g112.txt	5.308e3	478	
g113.txt	3.94e2	35	
g114.txt	5.457e3	501	
g115.txt	4.58e2	48	
g116.txt	6.403e3	530	
g117.txt	4.528e4	3005	
g118.txt	3.383e3	334	
g119.txt	1.06e2	11	
g11.txt	3.17e2	76	
g120.txt	1.465e4	1092	
g121.txt	5.59e2	59	
g122.txt	9.88e2	77	
g123.txt	1.50e2	22	
g124.txt	2.20e2	29	
g125.txt	1.00e2	12	
g126.txt	9.603e3	700	
g127.txt	7.144e3	544	
g128.txt	1.24e2	15	
g129.txt	1.85e2	42	
g12.txt	9.292e4	5473	
g130.txt	3.42e2	34	
g131.txt	1.020e3	90	
g132.txt	1.037e3	90	
g133.txt	1.081e3	97	
g134.txt	4.590e4	2657	
g135.txt	1.095e3	94	
g136.txt	5.97e2	122	
g137.txt	9.63e2	176	
g138.txt	1.832e4	1126	
g139.txt	6.53e2	132	
g13.txt	6.88e2	119	
g140.txt	2.128e3	235	
g141.txt	3.360e3	255	
g142.txt	5.335e3	412	
g143.txt	4.26e2	45	
g144.txt	2.009e4	1416	
g145.txt	3.000e3	318	
g146.txt	1.007e4	773	
g147.txt	7.33e2	84	
g148.txt	1.90e2	52	
g149.txt	4.1e1	8	
g14.txt	3.347e3	329	
g150.txt	1.660e3	124	
g151.txt	4.794e3	318	
g152.txt	8.25e2	79	
g153.txt	9.093e3	740	
g154.txt	1.080e4	885	
g155.txt	3.897e3	271	
g156.txt	2.83e2	51	
g157.txt	1.723e3	161	
g158.txt	3.618e3	330	
g159.txt	3.57e2	33	
g15.txt	2.518e3	159	
g160.txt	2.158e3	170	
g161.txt	1.077e3	80	
g162.txt	1.483e3	121	
g163.txt	8.01e2	66	
g164.txt	1.426e3	135	
g165.txt	2.100e3	173	
g166.txt	1.061e3	92	
g167.txt	2.40e2	40	
g168.txt	2.45e2	29	
g169.txt	4.024e3	449	
g16.txt	1.35e2	36	
g170.txt	1.857e3	216	
g171.txt	1.890e3	143	
g172.txt	7.053e3	507	
g173.txt	5.840e4	3711	
g174.txt	7.448e3	519	
g175.txt	1.333e4	913	
g176.txt	5.733e3	403	
g177.txt	9.8e1	12	
g178.txt	2.29e2	29	
g179.txt	3.96e2	94	
g17.txt	1.009e3	104	
g180.txt	3.83e2	91	
g181.txt	1.243e3	142	
g182.txt	3.061e4	1983	
g183.txt	3.033e3	246	
g184.txt	3.32e2	31	
g185.txt	3.48e2	86	
g186.txt	9.887e3	745	
g187.txt	1.72e2	22	
g188.txt	1.724e3	154	
g189.txt	9.03e2	89	
g18.txt	2.914e3	261	
g190.txt	1.155e3	97	
g191.txt	8.5e1	11	
g192.txt	9.422e3	715	
g193.txt	3.22e2	29	
g194.txt	1.85e2	21	
g195.txt	1.60e2	16	
g196.txt	1.328e4	1047	
g197.txt	2.281e3	258	
g198.txt	4.959e3	402	
g199.txt	8.08e2	141	
g19.txt	1.697e4	1138	
g1.txt	2.894e3	214	
g200.txt	2.853e4	1902	
g201.txt	1.88e2	24	
g202.txt	5.43e2	111	
g203.txt	7.24e2	77	
g204.txt	1.606e4	1070	
g205.txt	5.37e2	53	
g206.txt	3.360e3	354	
g207.txt	2.02e2	63	
g208.txt	2.743e3	343	
g209.txt	3.271e3	240	
g20.txt	1.241e3	106	
g210.txt	9.181e3	641	
g211.txt	9.180e3	814	
g212.txt	2.22e2	29	
g213.txt	7.023e3	464	
g214.txt	5.89e2	126	
g215.txt	6.211e3	500	
g216.txt	7.60e2	96	
g217.txt	7.494e3	511	
g218.txt	7.42e2	80	
g219.txt	6.83e2	56	
g21.txt	1.195e4	830	
g220.txt	1.150e4	765	
g221.txt	1.021e3	91	
g222.txt	3.471e4	2245	
g223.txt	8.562e3	629	
g224.txt	1.636e3	140	
g225.txt	4.899e3	327	
g226.txt	1.877e4	1275	
g227.txt	3.21e2	36	
g228.txt	9.04e2	77	
g229.txt	7.4e1	9	
g22.txt	3.906e3	403	
g230.txt	8.543e3	706	
g231.txt	2.87e2	34	
g232.txt	8.510e3	637	
g233.txt	3.382e4	2173	
g234.txt	1.808e3	135	
g235.txt	6.96e2	60	
g236.txt	6.3e1	9	
g237.txt	1.530e4	1029	
g238.txt	1.12e2	31	
g239.txt	8.6e1	20	
g23.txt	2.866e3	241	
g240.txt	1.063e5	6638	
g241.txt	4.905e3	452	
g242.txt	5.03e2	77	
g243.txt	7.41e2	80	
g244.txt	4.12e2	58	
g245.txt	1.045e3	142	
g246.txt	2.363e3	193	
g247.txt	2.97e2	32	
g248.txt	2.417e3	183	
g249.txt	7.9e1	10	
g24.txt	5.47e2	59	
g250.txt	6.198e4	3929	
g251.txt	1.76e2	16	
g252.txt	1.56e2	24	
g253.txt	1.508e4	974	
g254.txt	2.495e3	225	
g255.txt	3.84e2	36	
g256.txt	4.575e3	327	
g257.txt	9.477e3	750	
g258.txt	6.1e1	21	
g259.txt	8.88e2	166	
g25.txt	6.023e3	408	
g260.txt	5.049e4	3337	
g261.txt	8.49e2	78	
g262.txt	2.071e4	1310	
g263.txt	5.585e3	356	
g264.txt	3.306e3	236	
g265.txt	1.879e3	193	
g266.txt	2.31e2	19	
g267.txt	3.01e2	37	
g268.txt	1.018e4	727	
g269.txt	1.713e3	141	
g26.txt	9.251e3	793	
g270.txt	8.5e1	27	
g271.txt	7.372e3	541	
g272.txt	3.510e3	393	
g273.txt	1.088e3	86	
g274.txt	3.034e4	1982	
g275.txt	1.271e3	108	
g276.txt	3.850e3	296	
g277.txt	2.382e4	1455	
g278.txt	1.001e3	93	
g279.txt	5.40e2	56	
g27.txt	1.98e2	24	
g280.txt	4.331e3	372	
g281.txt	2.663e3	202	
g282.txt	5.67e2	64	
g283.txt	1.495e3	118	
g284.txt	1.419e3	108	
g285.txt	5.786e3	442	
g286.txt	3.99e2	40	
g287.txt	2.303e4	1652	
g288.txt	3.62e2	43	
g289.txt	7.270e3	500	
g28.txt	6.891e3	477	
g290.txt	4.36e2	43	
g291.txt	1.00e2	12	
g292.txt	6.845e3	502	
g293.txt	1.344e3	124	
g294.txt	4.10e2	31	
g295.txt	9.22e2	94	
g296.txt	8.590e4	5600	
g297.txt	2.22e2	57	
g298.txt	2.30e2	45	
g299.txt	2.97e2	53	
g29.txt	3.370e3	293	
g2.txt	6.86e2	127	
g300.txt	6.770e4	4231	
g301.txt	2.009e3	261	
g302.txt	8.21e2	153	
g303.txt	9.08e2	108	
g304.txt	5.14e2	53	
g305.txt	2.11e2	22	
g306.txt	4.599e3	288	
g307.txt	6.891e3	587	
g308.txt	2.641e3	284	
g309.txt	1.837e3	262	
g30.txt	2.655e4	1643	
g310.txt	1.01e2	12	
g311.txt	2.683e3	285	
g312.txt	1.64e2	22	
g313.txt	2.803e4	2013	
g314.txt	6.1e1	21	
g315.txt	1.19e2	33	
g316.txt	1.11e2	27	
g317.txt	1.65e2	37	
g318.txt	1.967e4	1313	
g319.txt	3.023e3	214	
g31.txt	1.85e2	45	
g320.txt	1.17e2	33	
g321.txt	3.418e3	266	
g322.txt	2.982e3	217	
g323.txt	1.30e2	12	
g324.txt	3.569e3	272	
g325.txt	6.977e3	505	
g326.txt	6.55e2	63	
g327.txt	7.30e2	61	
g328.txt	5.603e4	3605	
g329.txt	3.128e3	221	
g32.txt	1.47e2	19	
g330.txt	1.145e4	783	
g331.txt	1.90e2	24	
g332.txt	1.111e3	89	
g333.txt	3.490e3	275	
g334.txt	1.228e3	123	
g335.txt	2.701e3	216	
g336.txt	7.137e3	589	
g337.txt	1.223e4	998	
g338.txt	4.172e3	307	
g339.txt	1.87e2	24	
g33.txt	7.563e3	553	
g340.txt	5.155e3	394	
g341.txt	2.37e2	28	
g342.txt	5.180e4	3376	
g343.txt	6.05e2	66	
g344.txt	4.677e4	2932	
g345.txt	7.66e2	93	
g346.txt	9.03e2	62	
g347.txt	6.154e3	460	
g348.txt	4.439e3	319	
g349.txt	2.346e3	161	
g34.txt	5.3e1	7	
g350.txt	1.320e4	936	
g351.txt	7.66e2	76	
g352.txt	9.061e3	582	
g353.txt	6.181e4	3787	
g354.txt	1.092e3	177	
g355.txt	9.011e3	788	
g356.txt	3.457e3	224	
g357.txt	3.498e4	2176	
g358.txt	1.352e4	1041	
g359.txt	5.077e3	520	
g35.txt	2.181e3	302	
g360.txt	2.311e4	1848	
g361.txt	1.772e3	264	
g362.txt	1.98e2	47	
g363.txt	8.988e4	5405	
g364.txt	1.83e2	18	
g365.txt	2.893e3	213	
g366.txt	4.996e3	379	
g367.txt	5.69e2	66	
g368.txt	2.820e4	1771	
g369.txt	2.060e4	1548	
g36.txt	1.018e4	721	
g370.txt	1.48e2	17	
g371.txt	2.410e4	1599	
g372.txt	3.172e4	1982	
g373.txt	3.54e2	84	
g374.txt	3.69e2	62	
g375.txt	7.77e2	98	
g376.txt	8.02e2	82	
g377.txt	3.911e3	339	
g378.txt	2.008e3	149	
g379.txt	8.174e3	616	
g37.txt	8.969e3	667	
g380.txt	8.62e2	152	
g381.txt	1.267e3	116	
g382.txt	1.006e5	6294	
g383.txt	9.5e1	12	
g384.txt	1.66e2	15	
g385.txt	4.205e3	316	
g386.txt	2.23e2	20	
g387.txt	7.78e2	140	
g388.txt	5.91e2	131	
g389.txt	2.90e2	45	
g38.txt	4.243e4	2600	
g390.txt	4.14e2	94	
g391.txt	4.737e3	407	
g392.txt	2.05e2	18	
g393.txt	3.21e2	37	
g394.txt	1.350e4	902	
g395.txt	3.460e4	1990	
g396.txt	7.33e2	61	
g397.txt	4.39e2	75	
g398.txt	8.66e2	112	
g399.txt	1.885e4	1341	
g39.txt	3.39e2	38	
g3.txt	4.07e2	73	
g400.txt	1.366e4	935	
g401.txt	1.381e5	8452	
g402.txt	2.13e2	54	
g403.txt	1.076e3	155	
g404.txt	1.196e3	183	
g405.txt	1.956e3	251	
g406.txt	1.819e3	262	
g407.txt	1.136e5	6856	
g408.txt	2.205e3	181	
g409.txt	5.11e2	110	
g40.txt	2.27e2	65	
g410.txt	2.35e2	59	
g411.txt	3.966e3	332	
g412.txt	9.891e3	738	
g413.txt	1.093e5	6149	
g414.txt	1.136e4	873	
g415.txt	2.60e2	29	
g416.txt	5.47e2	46	
g417.txt	6.011e3	487	
g418.txt	1.647e3	137	
g419.txt	2.944e3	240	
g41.txt	8.1e1	26	
g420.txt	3.058e3	319	
g421.txt	2.78e2	33	
g422.txt	1.12e2	14	
g423.txt	1.363e3	211	
g424.txt	1.181e3	137	
g425.txt	1.130e3	86	
g426.txt	2.877e3	195	
g427.txt	2.059e3	202	
g428.txt	4.337e3	359	
g429.txt	7.5e1	10	
g42.txt	1.153e4	906	
g430.txt	6.210e4	3662	
g431.txt	1.825e3	138	
g432.txt	4.667e3	340	
g433.txt	5.23e2	54	
g434.txt	1.409e3	198	
g435.txt	1.197e4	947	
g436.txt	1.71e2	21	
g437.txt	5.652e3	449	
g438.txt	4.47e2	39	
g439.txt	3.926e3	331	
g43.txt	1.101e5	7104	
g440.txt	3.34e2	33	
g441.txt	1.026e3	171	
g442.txt	2.31e2	33	
g443.txt	2.49e2	60	
g444.txt	5.941e3	441	
g445.txt	7.03e2	66	
g446.txt	1.359e3	112	
g447.txt	4.854e3	360	
g448.txt	1.106e5	6685	
g449.txt	1.104e3	170	
g44.txt	2.042e4	1304	
g450.txt	5.56e2	53	
g451.txt	1.621e3	135	
g452.txt	1.028e3	122	
g453.txt	3.839e3	305	
g454.txt	2.799e3	204	
g455.txt	1.156e5	7241	
g456.txt	2.021e3	155	
g457.txt	1.00e2	14	
g458.txt	9.51e2	168	
g459.txt	1.70e2	30	
g45.txt	3.586e4	2283	
g460.txt	1.499e3	213	
g461.txt	1.20e2	18	
g462.txt	4.28e2	51	
g463.txt	3.480e4	2359	
g464.txt	8.411e4	4929	
g465.txt	9.2e1	24	
g466.txt	2.443e3	294	
g467.txt	1.911e3	211	
