file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	3	63
g100.txt	6.73e2	1	23
g101.txt	3.427e3	1	31
g102.txt	8.76e2	1	31
g103.txt	6.153e3	2	39
g104.txt	5.017e3	1	27
g105.txt	1.152e3	2	43
g106.txt	4.047e3	1	21
g107.txt	2.238e3	1	19
g108.txt	3.58e2	1	19
g109.txt	2.055e3	2	45
g10.txt	3.225e3	1	21
g110.txt	1.89e2	1	19
g111.txt	8.20e2	2	39
g112.txt	5.308e3	1	15
g113.txt	3.94e2	1	15
g114.txt	5.457e3	2	51
g115.txt	4.58e2	1	21
g116.txt	6.403e3	1	25
g117.txt	4.528e4	0	13
g118.txt	3.383e3	1	19
g119.txt	1.06e2	1	25
g11.txt	3.17e2	1	29
g120.txt	1.465e4	0	13
g121.txt	5.59e2	1	39
g122.txt	9.88e2	2	49
g123.txt	1.50e2	1	27
g124.txt	2.20e2	1	15
g125.txt	1.00e2	1	23
g126.txt	9.603e3	0	1
g127.txt	7.144e3	2	51
g128.txt	1.24e2	1	29
g129.txt	1.85e2	1	19
g12.txt	9.292e4	0	3
g130.txt	3.42e2	1	19
g131.txt	1.020e3	2	43
g132.txt	1.037e3	1	33
g133.txt	1.081e3	1	23
g134.txt	4.590e4	0	1
g135.txt	1.095e3	1	25
g136.txt	5.97e2	1	25
g137.txt	9.63e2	1	25
g138.txt	1.832e4	1	33
g139.txt	6.53e2	1	27
g13.txt	6.88e2	1	23
g140.txt	2.128e3	1	41
g141.txt	3.360e3	1	25
g142.txt	5.335e3	1	29
g143.txt	4.26e2	1	37
g144.txt	2.009e4	2	37
g145.txt	3.000e3	1	31
g146.txt	1.007e4	2	35
g147.txt	7.33e2	0	15
g148.txt	1.90e2	1	21
g149.txt	4.1e1	1	17
g14.txt	3.347e3	2	35
g150.txt	1.660e3	1	21
g151.txt	4.794e3	1	15
g152.txt	8.25e2	1	19
g153.txt	9.093e3	1	29
g154.txt	1.080e4	1	21
g155.txt	3.897e3	2	57
g156.txt	2.83e2	1	23
g157.txt	1.723e3	1	19
g158.txt	3.618e3	1	37
g159.txt	3.57e2	1	25
g15.txt	2.518e3	2	65
g160.txt	2.158e3	3	77
g161.txt	1.077e3	1	29
g162.txt	1.483e3	2	43
g163.txt	8.01e2	1	19
g164.txt	1.426e3	1	23
g165.txt	2.100e3	1	21
g166.txt	1.061e3	1	31
g167.txt	2.40e2	1	29
g168.txt	2.45e2	2	29
g169.txt	4.024e3	1	33
g16.txt	1.35e2	1	21
g170.txt	1.857e3	0	11
g171.txt	1.890e3	2	45
g172.txt	7.053e3	2	41
g173.txt	5.840e4	1	25
g174.txt	7.448e3	1	31
g175.txt	1.333e4	2	47
g176.txt	5.733e3	1	27
g177.txt	9.8e1	2	31
g178.txt	2.29e2	1	25
g179.txt	3.96e2	1	15
g17.txt	1.009e3	1	19
g180.txt	3.83e2	1	25
g181.txt	1.243e3	2	53
g182.txt	3.061e4	1	21
g183.txt	3.033e3	1	19
g184.txt	3.32e2	1	21
g185.txt	3.48e2	2	35
g186.txt	9.887e3	1	19
g187.txt	1.72e2	2	31
g188.txt	1.724e3	1	25
g189.txt	9.03e2	1	21
g18.txt	2.914e3	2	35
g190.txt	1.155e3	1	29
g191.txt	8.5e1	1	21
g192.txt	9.422e3	0	11
g193.txt	3.22e2	2	21
g194.txt	1.85e2	1	21
g195.txt	1.60e2	1	23
g196.txt	1.328e4	3	73
g197.txt	2.281e3	1	25
g198.txt	4.959e3	2	45
g199.txt	8.08e2	1	33
g19.txt	1.697e4	1	33
g1.txt	2.894e3	1	15
g200.txt	2.853e4	0	11
g201.txt	1.88e2	1	27
g202.txt	5.43e2	2	45
g203.txt	7.24e2	1	29
g204.txt	1.606e4	0	13
g205.txt	5.37e2	2	29
g206.txt	3.360e3	1	27
g207.txt	2.02e2	1	17
g208.txt	2.743e3	2	33
g209.txt	3.271e3	2	39
g20.txt	1.241e3	1	23
g210.txt	9.181e3	2	35
g211.txt	9.180e3	1	17
g212.txt	2.22e2	1	25
g213.txt	7.023e3	2	45
g214.txt	5.89e2	1	15
g215.txt	6.211e3	2	53
g216.txt	7.60e2	2	47
g217.txt	7.494e3	3	63
g218.txt	7.42e2	1	17
g219.txt	6.83e2	1	25
g21.txt	1.195e4	1	21
g220.txt	1.150e4	2	49
g221.txt	1.021e3	1	19
g222.txt	3.471e4	1	21
g223.txt	8.562e3	1	21
g224.txt	1.636e3	2	35
