file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	7	33
g100.txt	6.73e2	13	25
g101.txt	3.427e3	9	36
g102.txt	8.76e2	11	32
g103.txt	6.153e3	10	44
g104.txt	5.017e3	9	31
g105.txt	1.152e3	14	45
g106.txt	4.047e3	3	12
g107.txt	2.238e3	11	23
g108.txt	3.58e2	20	20
g109.txt	2.055e3	12	27
g10.txt	3.225e3	8	22
g110.txt	1.89e2	12	19
g111.txt	8.20e2	12	37
g112.txt	5.308e3	7	20
g113.txt	3.94e2	9	17
g114.txt	5.457e3	6	26
g115.txt	4.58e2	11	19
g116.txt	6.403e3	7	28
g117.txt	4.528e4	1	9
g118.txt	3.383e3	5	19
g119.txt	1.06e2	15	23
g11.txt	3.17e2	17	32
g120.txt	1.465e4	4	16
g121.txt	5.59e2	13	32
g122.txt	9.88e2	15	30
g123.txt	1.50e2	13	25
g124.txt	2.20e2	11	17
g125.txt	1.00e2	21	24
g126.txt	9.603e3	0	1
g127.txt	7.144e3	7	32
g128.txt	1.24e2	14	31
g129.txt	1.85e2	12	20
g12.txt	9.292e4	0	3
g130.txt	3.42e2	10	23
g131.txt	1.020e3	17	36
g132.txt	1.037e3	12	39
g133.txt	1.081e3	14	26
g134.txt	4.590e4	0	1
g135.txt	1.095e3	12	25
g136.txt	5.97e2	13	28
g137.txt	9.63e2	10	25
g138.txt	1.832e4	4	25
g139.txt	6.53e2	13	25
g13.txt	6.88e2	11	28
g140.txt	2.128e3	8	31
g141.txt	3.360e3	7	28
g142.txt	5.335e3	9	32
g143.txt	4.26e2	11	30
g144.txt	2.009e4	6	28
g145.txt	3.000e3	9	30
g146.txt	1.007e4	10	28
g147.txt	7.33e2	6	18
g148.txt	1.90e2	14	22
g149.txt	4.1e1	20	17
g14.txt	3.347e3	12	38
g150.txt	1.660e3	7	27
g151.txt	4.794e3	5	20
g152.txt	8.25e2	17	22
g153.txt	9.093e3	8	25
g154.txt	1.080e4	7	24
g155.txt	3.897e3	13	46
g156.txt	2.83e2	14	25
g157.txt	1.723e3	9	24
g158.txt	3.618e3	7	29
g159.txt	3.57e2	16	21
