file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	29	103
g100.txt	6.73e2	22	39
g101.txt	3.427e3	14	37
g102.txt	8.76e2	20	39
g103.txt	6.153e3	21	69
g104.txt	5.017e3	17	41
g105.txt	1.152e3	18	59
g106.txt	4.047e3	17	47
g107.txt	2.238e3	17	29
g108.txt	3.58e2	19	45
g109.txt	2.055e3	25	89
g10.txt	3.225e3	21	61
g110.txt	1.89e2	19	31
g111.txt	8.20e2	24	77
g112.txt	5.308e3	10	23
g113.txt	3.94e2	18	45
g114.txt	5.457e3	18	61
g115.txt	4.58e2	13	37
g116.txt	6.403e3	12	35
g117.txt	4.528e4	11	35
g118.txt	3.383e3	13	31
g119.txt	1.06e2	22	41
g11.txt	3.17e2	20	45
g120.txt	1.465e4	10	21
g121.txt	5.59e2	21	51
g122.txt	9.88e2	24	65
g123.txt	1.50e2	25	45
g124.txt	2.20e2	19	39
g125.txt	1.00e2	18	41
g126.txt	9.603e3	0	1
g127.txt	7.144e3	22	65
g128.txt	1.24e2	24	55
g129.txt	1.85e2	17	31
g12.txt	9.292e4	1	3
g130.txt	3.42e2	17	33
g131.txt	1.020e3	21	57
g132.txt	1.037e3	19	51
g133.txt	1.081e3	19	45
g134.txt	4.590e4	0	1
g135.txt	1.095e3	21	53
g136.txt	5.97e2	19	39
g137.txt	9.63e2	18	35
g138.txt	1.832e4	24	77
g139.txt	6.53e2	19	35
g13.txt	6.88e2	21	49
g140.txt	2.128e3	19	51
g141.txt	3.360e3	13	27
g142.txt	5.335e3	18	47
g143.txt	4.26e2	19	41
g144.txt	2.009e4	23	73
g145.txt	3.000e3	16	45
g146.txt	1.007e4	17	49
g147.txt	7.33e2	15	33
g148.txt	1.90e2	21	39
g149.txt	4.1e1	26	43
g14.txt	3.347e3	17	55
g150.txt	1.660e3	17	53
g151.txt	4.794e3	9	23
g152.txt	8.25e2	17	33
g153.txt	9.093e3	28	89
g154.txt	1.080e4	11	25
g155.txt	3.897e3	24	65
g156.txt	2.83e2	18	37
g157.txt	1.723e3	17	31
g158.txt	3.618e3	31	127
g159.txt	3.57e2	23	45
g15.txt	2.518e3	23	71
g160.txt	2.158e3	27	113
g161.txt	1.077e3	16	57
g162.txt	1.483e3	21	65
g163.txt	8.01e2	15	31
g164.txt	1.426e3	14	27
g165.txt	2.100e3	16	37
g166.txt	1.061e3	21	59
g167.txt	2.40e2	23	37
g168.txt	2.45e2	21	37
g169.txt	4.024e3	18	43
g16.txt	1.35e2	19	39
g170.txt	1.857e3	15	33
g171.txt	1.890e3	23	69
g172.txt	7.053e3	19	59
g173.txt	5.840e4	12	27
g174.txt	7.448e3	19	57
g175.txt	1.333e4	21	67
g176.txt	5.733e3	20	63
g177.txt	9.8e1	22	45
g178.txt	2.29e2	23	55
g179.txt	3.96e2	17	25
g17.txt	1.009e3	14	29
g180.txt	3.83e2	19	37
g181.txt	1.243e3	24	75
g182.txt	3.061e4	11	29
g183.txt	3.033e3	16	35
g184.txt	3.32e2	18	33
g185.txt	3.48e2	20	41
g186.txt	9.887e3	11	23
g187.txt	1.72e2	24	47
g188.txt	1.724e3	17	39
g189.txt	9.03e2	16	41
g18.txt	2.914e3	39	161
g190.txt	1.155e3	18	47
g191.txt	8.5e1	23	41
g192.txt	9.422e3	8	15
g193.txt	3.22e2	19	43
g194.txt	1.85e2	20	37
g195.txt	1.60e2	23	35
g196.txt	1.328e4	28	101
g197.txt	2.281e3	19	57
g198.txt	4.959e3	24	85
g199.txt	8.08e2	21	67
g19.txt	1.697e4	21	77
g1.txt	2.894e3	19	75
g200.txt	2.853e4	12	29
g201.txt	1.88e2	23	39
g202.txt	5.43e2	21	53
g203.txt	7.24e2	17	41
g204.txt	1.606e4	10	23
g205.txt	5.37e2	15	31
g206.txt	3.360e3	15	33
g207.txt	2.02e2	21	37
g208.txt	2.743e3	16	39
g209.txt	3.271e3	20	57
g20.txt	1.241e3	16	39
g210.txt	9.181e3	21	59
g211.txt	9.180e3	12	23
g212.txt	2.22e2	20	43
g213.txt	7.023e3	23	69
g214.txt	5.89e2	15	29
g215.txt	6.211e3	17	51
g216.txt	7.60e2	21	65
g217.txt	7.494e3	25	83
g218.txt	7.42e2	18	35
g219.txt	6.83e2	18	37
g21.txt	1.195e4	16	43
g220.txt	1.150e4	21	65
g221.txt	1.021e3	18	35
g222.txt	3.471e4	12	27
g223.txt	8.562e3	11	29
g224.txt	1.636e3	20	45
g225.txt	4.899e3	35	147
g226.txt	1.877e4	9	29
g227.txt	3.21e2	16	39
g228.txt	9.04e2	16	47
g229.txt	7.4e1	18	37
g22.txt	3.906e3	11	35
g230.txt	8.543e3	26	93
g231.txt	2.87e2	17	33
g232.txt	8.510e3	13	31
g233.txt	3.382e4	19	53
g234.txt	1.808e3	18	37
g235.txt	6.96e2	22	63
g236.txt	6.3e1	27	43
g237.txt	1.530e4	19	63
g238.txt	1.12e2	20	35
g239.txt	8.6e1	17	43
g23.txt	2.866e3	17	45
g240.txt	1.063e5	10	23
g241.txt	4.905e3	21	65
g242.txt	5.03e2	18	39
g243.txt	7.41e2	13	37
g244.txt	4.12e2	19	35
g245.txt	1.045e3	17	37
g246.txt	2.363e3	15	39
g247.txt	2.97e2	17	39
g248.txt	2.417e3	18	47
g249.txt	7.9e1	23	41
