file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	15	72
g100.txt	6.73e2	38	37
g101.txt	3.427e3	24	45
g102.txt	8.76e2	32	43
g103.txt	6.153e3	16	64
g104.txt	5.017e3	17	48
g105.txt	1.152e3	31	65
g106.txt	4.047e3	11	23
g107.txt	2.238e3	23	32
g108.txt	3.58e2	38	48
g109.txt	2.055e3	25	74
g10.txt	3.225e3	22	75
g110.txt	1.89e2	49	34
g111.txt	8.20e2	32	78
g112.txt	5.308e3	13	29
g113.txt	3.94e2	29	47
g114.txt	5.457e3	18	40
g115.txt	4.58e2	29	37
g116.txt	6.403e3	18	43
g117.txt	4.528e4	5	24
g118.txt	3.383e3	19	40
g119.txt	1.06e2	43	43
g11.txt	3.17e2	39	48
g120.txt	1.465e4	10	24
g121.txt	5.59e2	36	53
g122.txt	9.88e2	37	69
g123.txt	1.50e2	49	48
g124.txt	2.20e2	46	44
g125.txt	1.00e2	48	42
g126.txt	9.603e3	0	1
g127.txt	7.144e3	14	46
g128.txt	1.24e2	48	59
g129.txt	1.85e2	35	33
g12.txt	9.292e4	1	3
g130.txt	3.42e2	35	36
g131.txt	1.020e3	30	58
g132.txt	1.037e3	34	61
g133.txt	1.081e3	31	52
g134.txt	4.590e4	0	1
g135.txt	1.095e3	39	62
g136.txt	5.97e2	30	43
g137.txt	9.63e2	31	37
g138.txt	1.832e4	10	51
g139.txt	6.53e2	36	38
g13.txt	6.88e2	29	42
g140.txt	2.128e3	21	51
g141.txt	3.360e3	17	33
g142.txt	5.335e3	21	47
g143.txt	4.26e2	33	42
g144.txt	2.009e4	10	37
g145.txt	3.000e3	19	48
g146.txt	1.007e4	17	54
g147.txt	7.33e2	23	37
g148.txt	1.90e2	47	41
g149.txt	4.1e1	66	43
g14.txt	3.347e3	21	59
g150.txt	1.660e3	19	63
g151.txt	4.794e3	8	23
g152.txt	8.25e2	34	37
g153.txt	9.093e3	15	46
g154.txt	1.080e4	16	30
g155.txt	3.897e3	22	73
g156.txt	2.83e2	34	39
g157.txt	1.723e3	29	37
g158.txt	3.618e3	29	131
g159.txt	3.57e2	40	47
g15.txt	2.518e3	27	86
g160.txt	2.158e3	34	127
g161.txt	1.077e3	22	49
g162.txt	1.483e3	29	78
g163.txt	8.01e2	30	33
g164.txt	1.426e3	26	32
g165.txt	2.100e3	23	40
g166.txt	1.061e3	31	62
