file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	12	34
g100.txt	6.73e2	38	33
g101.txt	3.427e3	24	43
g102.txt	8.76e2	32	39
g103.txt	6.153e3	15	46
g104.txt	5.017e3	17	41
g105.txt	1.152e3	30	53
g106.txt	4.047e3	11	15
g107.txt	2.238e3	23	29
g108.txt	3.58e2	36	34
g109.txt	2.055e3	23	39
g10.txt	3.225e3	20	52
g110.txt	1.89e2	49	26
g111.txt	8.20e2	31	52
g112.txt	5.308e3	14	26
g113.txt	3.94e2	28	29
g114.txt	5.457e3	19	36
g115.txt	4.58e2	28	32
g116.txt	6.403e3	17	35
g117.txt	4.528e4	5	20
g118.txt	3.383e3	18	29
g119.txt	1.06e2	43	32
g11.txt	3.17e2	38	39
g120.txt	1.465e4	10	21
g121.txt	5.59e2	35	49
g122.txt	9.88e2	35	48
g123.txt	1.50e2	49	35
g124.txt	2.20e2	45	35
g125.txt	1.00e2	48	29
g126.txt	9.603e3	0	1
g127.txt	7.144e3	14	35
g128.txt	1.24e2	48	42
g129.txt	1.85e2	35	28
g12.txt	9.292e4	1	3
g130.txt	3.42e2	34	29
g131.txt	1.020e3	28	37
g132.txt	1.037e3	34	54
g133.txt	1.081e3	31	46
g134.txt	4.590e4	0	1
g135.txt	1.095e3	36	39
g136.txt	5.97e2	30	34
g137.txt	9.63e2	31	29
g138.txt	1.832e4	9	38
g139.txt	6.53e2	36	31
g13.txt	6.88e2	29	30
g140.txt	2.128e3	21	41
g141.txt	3.360e3	17	28
g142.txt	5.335e3	20	32
g143.txt	4.26e2	35	38
g144.txt	2.009e4	10	30
g145.txt	3.000e3	19	39
g146.txt	1.007e4	16	38
g147.txt	7.33e2	23	30
g148.txt	1.90e2	48	33
g149.txt	4.1e1	66	31
g14.txt	3.347e3	20	46
g150.txt	1.660e3	17	39
g151.txt	4.794e3	9	20
g152.txt	8.25e2	33	31
g153.txt	9.093e3	14	30
g154.txt	1.080e4	15	25
g155.txt	3.897e3	22	58
g156.txt	2.83e2	35	32
g157.txt	1.723e3	29	30
g158.txt	3.618e3	26	81
g159.txt	3.57e2	39	32
g15.txt	2.518e3	26	67
g160.txt	2.158e3	33	87
g161.txt	1.077e3	22	38
g162.txt	1.483e3	27	46
g163.txt	8.01e2	30	28
g164.txt	1.426e3	27	27
g165.txt	2.100e3	22	37
g166.txt	1.061e3	31	40
g167.txt	2.40e2	52	28
g168.txt	2.45e2	43	31
g169.txt	4.024e3	26	33
g16.txt	1.35e2	44	29
g170.txt	1.857e3	17	18
g171.txt	1.890e3	18	28
g172.txt	7.053e3	16	37
g173.txt	5.840e4	6	19
g174.txt	7.448e3	18	48
g175.txt	1.333e4	9	24
g176.txt	5.733e3	20	55
g177.txt	9.8e1	52	39
g178.txt	2.29e2	42	36
g179.txt	3.96e2	31	20
g17.txt	1.009e3	25	30
g180.txt	3.83e2	35	32
g181.txt	1.243e3	30	40
g182.txt	3.061e4	5	17
g183.txt	3.033e3	21	27
g184.txt	3.32e2	36	33
g185.txt	3.48e2	38	38
g186.txt	9.887e3	8	18
g187.txt	1.72e2	47	37
g188.txt	1.724e3	29	35
g189.txt	9.03e2	33	36
g18.txt	2.914e3	19	49
g190.txt	1.155e3	24	45
g191.txt	8.5e1	50	33
g192.txt	9.422e3	8	14
g193.txt	3.22e2	37	35
g194.txt	1.85e2	42	26
g195.txt	1.60e2	49	28
g196.txt	1.328e4	13	39
g197.txt	2.281e3	20	36
g198.txt	4.959e3	19	47
g199.txt	8.08e2	31	45
g19.txt	1.697e4	6	21
g1.txt	2.894e3	17	34
g200.txt	2.853e4	8	25
g201.txt	1.88e2	49	30
g202.txt	5.43e2	36	53
g203.txt	7.24e2	34	40
g204.txt	1.606e4	8	25
g205.txt	5.37e2	31	26
g206.txt	3.360e3	22	36
g207.txt	2.02e2	48	31
g208.txt	2.743e3	25	39
g209.txt	3.271e3	18	39
g20.txt	1.241e3	28	39
g210.txt	9.181e3	20	50
