file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	70	907
g100.txt	6.73e2	10	123
g101.txt	3.427e3	28	473
g102.txt	8.76e2	11	115
g103.txt	6.153e3	26	285
g104.txt	5.017e3	30	389
g105.txt	1.152e3	12	143
g106.txt	4.047e3	32	393
g107.txt	2.238e3	15	177
g108.txt	3.58e2	7	63
g109.txt	2.055e3	26	279
g10.txt	3.225e3	50	695
g110.txt	1.89e2	6	45
g111.txt	8.20e2	13	135
g112.txt	5.308e3	28	341
g113.txt	3.94e2	5	53
g114.txt	5.457e3	37	507
g115.txt	4.58e2	5	71
g116.txt	6.403e3	21	273
g117.txt	4.528e4	48	615
g118.txt	3.383e3	19	239
g119.txt	1.06e2	4	45
g11.txt	3.17e2	8	121
g120.txt	1.465e4	45	671
g121.txt	5.59e2	13	143
g122.txt	9.88e2	19	251
g123.txt	1.50e2	4	33
g124.txt	2.20e2	7	69
g125.txt	1.00e2	4	43
g126.txt	9.603e3	0	1
g127.txt	7.144e3	24	333
g128.txt	1.24e2	6	63
g129.txt	1.85e2	4	37
g12.txt	9.292e4	5	35
g130.txt	3.42e2	5	45
g131.txt	1.020e3	14	171
g132.txt	1.037e3	17	243
g133.txt	1.081e3	10	109
g134.txt	4.590e4	0	1
g135.txt	1.095e3	24	303
g136.txt	5.97e2	12	121
g137.txt	9.63e2	20	225
g138.txt	1.832e4	90	1603
g139.txt	6.53e2	10	147
g13.txt	6.88e2	9	133
g140.txt	2.128e3	18	257
g141.txt	3.360e3	5	35
g142.txt	5.335e3	17	193
g143.txt	4.26e2	7	71
g144.txt	2.009e4	67	885
g145.txt	3.000e3	36	457
g146.txt	1.007e4	24	269
g147.txt	7.33e2	13	141
g148.txt	1.90e2	7	55
g149.txt	4.1e1	4	21
g14.txt	3.347e3	22	259
g150.txt	1.660e3	14	155
g151.txt	4.794e3	17	239
g152.txt	8.25e2	16	179
g153.txt	9.093e3	61	871
g154.txt	1.080e4	51	621
g155.txt	3.897e3	32	401
g156.txt	2.83e2	5	37
g157.txt	1.723e3	24	269
g158.txt	3.618e3	36	489
g159.txt	3.57e2	10	151
g15.txt	2.518e3	30	453
g160.txt	2.158e3	33	505
g161.txt	1.077e3	20	203
g162.txt	1.483e3	22	259
g163.txt	8.01e2	13	155
g164.txt	1.426e3	8	73
g165.txt	2.100e3	25	289
g166.txt	1.061e3	18	217
g167.txt	2.40e2	8	63
g168.txt	2.45e2	6	55
g169.txt	4.024e3	22	247
g16.txt	1.35e2	5	37
g170.txt	1.857e3	21	233
g171.txt	1.890e3	17	237
g172.txt	7.053e3	29	443
g173.txt	5.840e4	111	1749
g174.txt	7.448e3	32	371
g175.txt	1.333e4	29	517
g176.txt	5.733e3	34	405
g177.txt	9.8e1	5	61
g178.txt	2.29e2	7	39
g179.txt	3.96e2	6	47
g17.txt	1.009e3	8	83
g180.txt	3.83e2	12	115
g181.txt	1.243e3	17	191
g182.txt	3.061e4	92	1417
g183.txt	3.033e3	23	277
g184.txt	3.32e2	8	91
g185.txt	3.48e2	7	83
g186.txt	9.887e3	12	109
g187.txt	1.72e2	6	55
g188.txt	1.724e3	16	195
g189.txt	9.03e2	10	133
g18.txt	2.914e3	16	167
g190.txt	1.155e3	14	173
g191.txt	8.5e1	4	37
g192.txt	9.422e3	18	165
g193.txt	3.22e2	5	55
g194.txt	1.85e2	7	73
g195.txt	1.60e2	5	31
g196.txt	1.328e4	37	433
g197.txt	2.281e3	21	243
g198.txt	4.959e3	20	199
g199.txt	8.08e2	10	105
g19.txt	1.697e4	42	525
g1.txt	2.894e3	22	327
g200.txt	2.853e4	26	381
g201.txt	1.88e2	6	75
g202.txt	5.43e2	9	127
g203.txt	7.24e2	7	75
g204.txt	1.606e4	27	283
g205.txt	5.37e2	10	93
g206.txt	3.360e3	21	243
g207.txt	2.02e2	6	55
g208.txt	2.743e3	19	251
g209.txt	3.271e3	20	281
g20.txt	1.241e3	21	309
g210.txt	9.181e3	50	717
g211.txt	9.180e3	30	511
g212.txt	2.22e2	4	53
g213.txt	7.023e3	56	987
g214.txt	5.89e2	6	77
g215.txt	6.211e3	25	433
g216.txt	7.60e2	14	161
g217.txt	7.494e3	42	673
g218.txt	7.42e2	13	135
g219.txt	6.83e2	14	147
g21.txt	1.195e4	39	455
g220.txt	1.150e4	47	633
g221.txt	1.021e3	15	141
g222.txt	3.471e4	103	1581
g223.txt	8.562e3	26	447
g224.txt	1.636e3	16	281
g225.txt	4.899e3	30	547
g226.txt	1.877e4	27	497
g227.txt	3.21e2	5	63
g228.txt	9.04e2	14	141
g229.txt	7.4e1	4	27
g22.txt	3.906e3	17	191
g230.txt	8.543e3	23	245
g231.txt	2.87e2	6	61
g232.txt	8.510e3	26	289
g233.txt	3.382e4	70	963
g234.txt	1.808e3	20	263
g235.txt	6.96e2	11	113
g236.txt	6.3e1	6	41
g237.txt	1.530e4	81	1209
g238.txt	1.12e2	6	59
g239.txt	8.6e1	4	41
g23.txt	2.866e3	24	271
g240.txt	1.063e5	46	629
g241.txt	4.905e3	3	19
g242.txt	5.03e2	6	51
g243.txt	7.41e2	10	117
g244.txt	4.12e2	9	95
g245.txt	1.045e3	10	91
g246.txt	2.363e3	26	297
g247.txt	2.97e2	7	77
g248.txt	2.417e3	27	315
g249.txt	7.9e1	4	29
g24.txt	5.47e2	10	117
g250.txt	6.198e4	17	195
g251.txt	1.76e2	5	19
g252.txt	1.56e2	6	41
g253.txt	1.508e4	67	989
g254.txt	2.495e3	21	225
g255.txt	3.84e2	7	73
g256.txt	4.575e3	41	501
g257.txt	9.477e3	53	745
g258.txt	6.1e1	4	37
g259.txt	8.88e2	11	133
g25.txt	6.023e3	38	509
g260.txt	5.049e4	53	721
g261.txt	8.49e2	9	105
g262.txt	2.071e4	20	225
g263.txt	5.585e3	32	383
g264.txt	3.306e3	38	507
g265.txt	1.879e3	15	225
g266.txt	2.31e2	7	73
g267.txt	3.01e2	6	61
g268.txt	1.018e4	41	495
g269.txt	1.713e3	10	125
g26.txt	9.251e3	11	139
g270.txt	8.5e1	3	33
g271.txt	7.372e3	13	139
g272.txt	3.510e3	11	109
g273.txt	1.088e3	21	233
g274.txt	3.034e4	42	477
g275.txt	1.271e3	13	139
g276.txt	3.850e3	14	135
g277.txt	2.382e4	3	21
g278.txt	1.001e3	11	107
g279.txt	5.40e2	8	81
g27.txt	1.98e2	5	41
g280.txt	4.331e3	9	105
g281.txt	2.663e3	16	159
g282.txt	5.67e2	9	103
g283.txt	1.495e3	21	243
g284.txt	1.419e3	20	221
g285.txt	5.786e3	15	215
g286.txt	3.99e2	7	79
g287.txt	2.303e4	80	1049
g288.txt	3.62e2	3	39
g289.txt	7.270e3	32	409
g28.txt	6.891e3	37	467
g290.txt	4.36e2	11	145
g291.txt	1.00e2	5	53
g292.txt	6.845e3	22	337
g293.txt	1.344e3	13	89
g294.txt	4.10e2	9	91
g295.txt	9.22e2	14	173
g296.txt	8.590e4	57	747
g297.txt	2.22e2	4	43
g298.txt	2.30e2	8	87
g299.txt	2.97e2	4	27
g29.txt	3.370e3	20	225
g2.txt	6.86e2	12	135
g300.txt	6.770e4	34	379
g301.txt	2.009e3	19	303
g302.txt	8.21e2	9	103
g303.txt	9.08e2	13	161
g304.txt	5.14e2	8	109
g305.txt	2.11e2	4	29
g306.txt	4.599e3	25	307
g307.txt	6.891e3	22	265
g308.txt	2.641e3	32	429
g309.txt	1.837e3	26	327
g30.txt	2.655e4	14	153
g310.txt	1.01e2	5	53
g311.txt	2.683e3	15	179
g312.txt	1.64e2	7	45
g313.txt	2.803e4	22	257
g314.txt	6.1e1	3	27
g315.txt	1.19e2	4	53
g316.txt	1.11e2	5	53
g317.txt	1.65e2	3	53
g318.txt	1.967e4	68	1005
g319.txt	3.023e3	28	353
g31.txt	1.85e2	5	55
g320.txt	1.17e2	6	61
g321.txt	3.418e3	20	251
g322.txt	2.982e3	40	579
g323.txt	1.30e2	3	29
g324.txt	3.569e3	24	359
g325.txt	6.977e3	42	689
g326.txt	6.55e2	12	139
g327.txt	7.30e2	17	165
g328.txt	5.603e4	49	795
g329.txt	3.128e3	37	521
g32.txt	1.47e2	5	41
g330.txt	1.145e4	37	465
g331.txt	1.90e2	6	63
g332.txt	1.111e3	8	69
g333.txt	3.490e3	23	243
g334.txt	1.228e3	19	175
g335.txt	2.701e3	20	263
g336.txt	7.137e3	23	279
g337.txt	1.223e4	40	465
g338.txt	4.172e3	21	283
g339.txt	1.87e2	7	47
g33.txt	7.563e3	11	89
g340.txt	5.155e3	30	379
g341.txt	2.37e2	5	45
g342.txt	5.180e4	124	2133
g343.txt	6.05e2	4	25
g344.txt	4.677e4	97	1603
g345.txt	7.66e2	13	187
g346.txt	9.03e2	13	231
g347.txt	6.154e3	32	617
g348.txt	4.439e3	21	345
g349.txt	2.346e3	9	161
g34.txt	5.3e1	4	27
g350.txt	1.320e4	28	481
g351.txt	7.66e2	7	105
g352.txt	9.061e3	14	293
g353.txt	6.181e4	58	879
g354.txt	1.092e3	4	53
g355.txt	9.011e3	37	435
g356.txt	3.457e3	19	323
g357.txt	3.498e4	21	323
g358.txt	1.352e4	32	481
g359.txt	5.077e3	30	521
g35.txt	2.181e3	22	411
g360.txt	2.311e4	18	307
g361.txt	1.772e3	16	301
g362.txt	1.98e2	7	65
g363.txt	8.988e4	43	505
g364.txt	1.83e2	4	57
g365.txt	2.893e3	22	297
g366.txt	4.996e3	45	703
g367.txt	5.69e2	11	125
g368.txt	2.820e4	72	1423
g369.txt	2.060e4	34	831
g36.txt	1.018e4	20	537
g370.txt	1.48e2	2	43
g371.txt	2.410e4	129	2239
g372.txt	3.172e4	90	1217
g373.txt	3.54e2	6	57
g374.txt	3.69e2	3	47
g375.txt	7.77e2	18	179
g376.txt	8.02e2	19	217
g377.txt	3.911e3	16	225
g378.txt	2.008e3	8	87
g379.txt	8.174e3	40	675
g37.txt	8.969e3	4	53
g380.txt	8.62e2	11	121
g381.txt	1.267e3	5	75
g382.txt	1.006e5	35	415
g383.txt	9.5e1	5	37
g384.txt	1.66e2	5	45
g385.txt	4.205e3	22	319
g386.txt	2.23e2	4	37
g387.txt	7.78e2	6	93
g388.txt	5.91e2	3	35
g389.txt	2.90e2	7	45
g38.txt	4.243e4	26	501
g390.txt	4.14e2	4	101
g391.txt	4.737e3	22	451
g392.txt	2.05e2	4	75
g393.txt	3.21e2	6	55
g394.txt	1.350e4	39	533
g395.txt	3.460e4	60	785
g396.txt	7.33e2	11	161
g397.txt	4.39e2	13	131
g398.txt	8.66e2	18	195
g399.txt	1.885e4	88	1339
g39.txt	3.39e2	4	41
g3.txt	4.07e2	8	103
g400.txt	1.366e4	53	833
g401.txt	1.381e5	93	1325
g402.txt	2.13e2	5	63
g403.txt	1.076e3	5	57
g404.txt	1.196e3	17	205
g405.txt	1.956e3	7	73
g406.txt	1.819e3	15	143
g407.txt	1.136e5	16	123
g408.txt	2.205e3	25	305
g409.txt	5.11e2	10	103
g40.txt	2.27e2	6	57
g410.txt	2.35e2	5	43
g411.txt	3.966e3	38	493
g412.txt	9.891e3	64	783
g413.txt	1.093e5	115	2221
g414.txt	1.136e4	45	521
g415.txt	2.60e2	7	71
g416.txt	5.47e2	9	93
g417.txt	6.011e3	16	291
g418.txt	1.647e3	11	121
g419.txt	2.944e3	35	385
g41.txt	8.1e1	5	51
g420.txt	3.058e3	35	445
g421.txt	2.78e2	6	63
g422.txt	1.12e2	6	55
g423.txt	1.363e3	8	73
g424.txt	1.181e3	15	167
g425.txt	1.130e3	12	143
g426.txt	2.877e3	34	487
g427.txt	2.059e3	12	175
g428.txt	4.337e3	28	469
g429.txt	7.5e1	5	53
g42.txt	1.153e4	77	1539
g430.txt	6.210e4	29	611
g431.txt	1.825e3	10	195
g432.txt	4.667e3	21	245
g433.txt	5.23e2	8	133
g434.txt	1.409e3	14	227
g435.txt	1.197e4	39	657
g436.txt	1.71e2	6	45
g437.txt	5.652e3	36	433
g438.txt	4.47e2	11	123
g439.txt	3.926e3	20	229
g43.txt	1.101e5	133	2315
g440.txt	3.34e2	9	87
g441.txt	1.026e3	5	69
g442.txt	2.31e2	8	81
g443.txt	2.49e2	8	59
g444.txt	5.941e3	42	505
g445.txt	7.03e2	15	203
g446.txt	1.359e3	12	119
g447.txt	4.854e3	43	545
g448.txt	1.106e5	126	2351
g449.txt	1.104e3	8	145
g44.txt	2.042e4	9	73
g450.txt	5.56e2	11	121
g451.txt	1.621e3	16	163
g452.txt	1.028e3	12	137
g453.txt	3.839e3	12	155
g454.txt	2.799e3	38	571
g455.txt	1.156e5	31	333
g456.txt	2.021e3	12	123
g457.txt	1.00e2	6	53
g458.txt	9.51e2	11	123
g459.txt	1.70e2	5	51
g45.txt	3.586e4	31	353
g460.txt	1.499e3	17	217
g461.txt	1.20e2	5	53
g462.txt	4.28e2	12	119
g463.txt	3.480e4	51	613
g464.txt	8.411e4	141	2807
g465.txt	9.2e1	2	25
g466.txt	2.443e3	28	311
g467.txt	1.911e3	19	233
g468.txt	1.695e4	45	553
g469.txt	3.555e3	14	271
g46.txt	2.536e3	11	209
g470.txt	3.064e3	15	155
g471.txt	1.130e3	9	167
g472.txt	6.85e2	11	129
g473.txt	1.42e2	5	73
g474.txt	9.262e4	44	901
g475.txt	1.163e3	5	123
g476.txt	3.970e3	14	375
g477.txt	1.122e4	22	575
g478.txt	3.407e3	2	53
g479.txt	9.943e4	37	973
g47.txt	5.898e3	44	641
g480.txt	1.335e3	14	135
g481.txt	1.022e3	8	191
g482.txt	1.169e4	15	165
g483.txt	1.204e3	11	141
g484.txt	7.539e3	23	473
g485.txt	8.427e3	16	319
g486.txt	4.91e2	6	63
g487.txt	4.090e3	19	359
g488.txt	4.312e4	26	307
g489.txt	1.108e3	3	21
g48.txt	3.092e3	17	189
g490.txt	2.708e4	41	663
g491.txt	2.856e3	19	361
g492.txt	3.74e2	6	75
g493.txt	1.307e3	14	167
g494.txt	7.9e1	4	35
g495.txt	8.049e3	21	273
g496.txt	3.11e2	7	69
g497.txt	3.235e3	34	443
g498.txt	7.32e2	14	167
g499.txt	3.667e3	32	405
g49.txt	1.04e2	5	41
g4.txt	1.076e3	12	147
g500.txt	1.637e3	26	325
g501.txt	6.31e2	9	93
g502.txt	1.165e4	50	659
g503.txt	2.003e3	11	171
g504.txt	1.138e4	15	179
g505.txt	1.302e4	11	111
g506.txt	7.83e2	12	123
g507.txt	2.058e4	88	1371
g508.txt	7.27e2	18	153
g509.txt	8.803e3	37	589
g50.txt	2.701e3	17	231
g510.txt	8.5e1	4	27
g511.txt	1.911e3	18	275
g512.txt	1.956e3	15	153
g513.txt	3.992e4	143	2493
g514.txt	1.442e5	3	33
g515.txt	4.474e3	14	345
g516.txt	3.603e3	34	451
g517.txt	2.22e2	8	87
g518.txt	6.40e2	8	81
g519.txt	1.034e3	20	261
g51.txt	5.535e3	16	153
g520.txt	2.473e3	26	329
g521.txt	5.40e2	10	127
g522.txt	1.329e4	22	301
g523.txt	1.56e2	6	63
g524.txt	4.43e2	5	43
g525.txt	6.34e2	10	119
g526.txt	7.14e2	7	59
g527.txt	3.62e2	10	103
g528.txt	6.072e4	3	21
g529.txt	1.136e4	3	21
g52.txt	2.45e2	6	51
g530.txt	2.62e2	6	59
g531.txt	7.928e4	187	3839
g532.txt	3.235e3	13	375
g533.txt	7.51e2	17	197
g534.txt	1.22e2	2	29
g535.txt	1.715e3	13	155
g536.txt	5.00e2	7	65
g537.txt	3.00e2	7	79
g538.txt	5.553e3	32	585
g539.txt	2.369e3	27	337
g53.txt	8.39e2	9	163
g540.txt	4.68e2	12	139
g541.txt	1.126e4	30	363
g542.txt	3.66e2	8	81
g543.txt	5.64e2	8	75
g544.txt	2.387e3	22	273
g545.txt	1.79e2	6	69
g546.txt	2.84e2	4	49
g547.txt	9.979e3	13	229
g548.txt	1.795e3	11	219
g549.txt	1.70e2	3	69
g54.txt	4.502e3	10	243
g550.txt	5.900e3	36	435
g551.txt	2.006e3	14	171
g552.txt	3.9e1	4	21
g553.txt	5.71e2	14	135
g554.txt	1.77e2	7	67
g555.txt	1.413e3	16	201
g556.txt	7.60e2	20	201
g557.txt	6.65e2	10	119
g558.txt	5.33e2	14	133
g559.txt	1.095e3	21	207
g55.txt	1.06e2	6	29
g560.txt	4.98e2	11	123
g561.txt	2.485e3	16	167
g562.txt	4.15e2	10	103
g563.txt	1.108e3	12	123
g564.txt	5.653e3	10	117
g565.txt	4.578e4	72	941
g566.txt	1.351e3	22	251
g567.txt	5.16e2	16	147
g568.txt	3.4e1	4	23
g569.txt	1.754e4	30	315
g56.txt	8.0e1	4	31
g570.txt	6.897e3	29	327
g571.txt	1.261e4	63	923
g572.txt	2.04e2	6	53
g573.txt	4.3e1	4	23
g574.txt	4.502e3	21	235
g575.txt	1.11e2	6	31
g576.txt	6.1e1	5	37
g577.txt	2.036e3	21	273
g578.txt	2.33e2	7	63
g579.txt	1.237e3	10	79
g57.txt	2.151e3	21	217
g580.txt	8.985e3	32	425
g581.txt	1.446e4	47	715
g582.txt	6.242e3	33	525
g583.txt	2.13e2	4	45
g584.txt	1.569e4	15	191
g585.txt	8.4e1	4	29
g586.txt	7.47e2	10	137
g587.txt	2.64e2	9	95
g588.txt	8.9e1	4	29
g589.txt	5.248e3	15	153
g58.txt	1.441e3	14	119
g590.txt	1.045e4	22	241
g591.txt	3.54e2	15	141
g592.txt	1.931e3	24	257
g593.txt	5.77e2	11	107
g594.txt	2.395e3	36	461
g595.txt	4.357e4	66	977
g596.txt	7.795e3	16	281
g597.txt	9.27e2	10	119
g598.txt	6.646e3	28	307
g599.txt	1.213e3	17	179
g59.txt	2.242e4	28	333
g5.txt	9.438e3	17	199
g600.txt	2.163e4	14	123
g601.txt	2.245e3	26	357
g602.txt	6.30e2	9	113
g603.txt	1.471e3	4	43
g604.txt	3.478e4	61	947
g605.txt	6.03e2	9	151
g606.txt	5.107e3	41	695
g607.txt	3.49e2	8	113
g608.txt	1.107e3	12	207
g609.txt	1.86e2	4	53
g60.txt	3.86e2	5	69
g610.txt	1.892e3	18	233
g611.txt	6.20e2	19	185
g612.txt	4.111e3	20	247
g613.txt	2.648e3	18	257
g614.txt	1.425e3	16	175
g615.txt	2.353e3	18	335
g616.txt	5.769e3	46	649
g617.txt	2.042e3	20	287
g618.txt	1.61e2	6	73
g619.txt	6.500e3	34	379
g61.txt	3.646e3	33	459
g620.txt	3.45e2	7	63
g621.txt	3.59e2	10	107
g622.txt	6.281e3	32	371
g623.txt	2.725e3	15	165
g624.txt	1.12e2	5	39
g625.txt	1.101e3	14	139
g626.txt	2.53e2	5	45
g627.txt	7.476e3	8	45
g628.txt	3.315e3	33	369
g629.txt	1.048e3	20	235
g62.txt	8.340e3	18	179
g630.txt	9.02e2	15	107
g631.txt	4.690e3	36	481
g632.txt	4.189e3	33	361
g633.txt	7.60e2	10	113
g634.txt	7.209e3	21	261
g635.txt	3.275e3	32	377
g636.txt	5.019e4	80	1261
g637.txt	6.89e2	7	135
g638.txt	3.741e3	25	457
g639.txt	8.402e3	25	537
g63.txt	1.58e2	4	85
g640.txt	1.626e3	12	123
g641.txt	8.065e3	34	597
g642.txt	3.733e3	22	367
g643.txt	7.15e2	9	147
g644.txt	1.77e2	5	79
g645.txt	2.18e2	7	75
g646.txt	7.692e3	59	797
g647.txt	4.729e4	85	1509
g648.txt	6.625e3	4	53
g649.txt	4.900e4	114	1881
g64.txt	4.37e2	8	131
g650.txt	1.28e2	4	71
g651.txt	2.516e4	61	975
g652.txt	5.645e4	2	23
g653.txt	9.099e3	22	245
g654.txt	4.430e3	35	439
g655.txt	7.270e3	39	545
g656.txt	3.928e4	84	1479
g657.txt	2.656e3	10	163
g658.txt	7.182e3	52	927
g659.txt	5.203e4	45	867
g65.txt	9.65e2	9	165
g660.txt	1.123e4	57	791
g661.txt	1.886e3	8	143
g662.txt	1.410e4	48	715
g663.txt	1.815e3	18	247
g664.txt	1.331e3	24	263
g665.txt	2.17e2	7	53
g666.txt	8.739e3	45	563
g667.txt	1.06e2	3	29
g668.txt	9.04e2	7	91
g669.txt	2.07e2	7	63
g66.txt	4.172e3	35	413
g670.txt	2.21e2	6	65
g671.txt	2.711e3	22	297
g672.txt	6.17e2	6	63
g673.txt	1.06e2	4	35
g674.txt	3.883e3	12	69
g675.txt	5.72e2	15	145
g676.txt	1.003e3	15	121
g677.txt	1.592e4	26	311
g678.txt	1.671e4	76	1219
g679.txt	1.427e4	28	291
g67.txt	3.630e3	31	443
g680.txt	1.85e2	5	53
g681.txt	2.023e3	36	477
g682.txt	5.75e2	6	83
