file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	34	280
g100.txt	6.73e2	25	66
g101.txt	3.427e3	33	210
g102.txt	8.76e2	21	75
g103.txt	6.153e3	34	219
g104.txt	5.017e3	19	90
g105.txt	1.152e3	19	104
g106.txt	4.047e3	16	70
g107.txt	2.238e3	16	63
g108.txt	3.58e2	22	53
g109.txt	2.055e3	13	48
g10.txt	3.225e3	10	58
g110.txt	1.89e2	17	33
g111.txt	8.20e2	24	114
g112.txt	5.308e3	26	127
g113.txt	3.94e2	11	28
g114.txt	5.457e3	33	153
g115.txt	4.58e2	10	31
g116.txt	6.403e3	26	112
g117.txt	4.528e4	6	51
g118.txt	3.383e3	18	123
g119.txt	1.06e2	17	44
g11.txt	3.17e2	22	79
g120.txt	1.465e4	19	105
g121.txt	5.59e2	22	69
g122.txt	9.88e2	29	126
g123.txt	1.50e2	18	35
g124.txt	2.20e2	50	73
g125.txt	1.00e2	42	32
g126.txt	9.603e3	0	1
g127.txt	7.144e3	19	92
g128.txt	1.24e2	26	69
g129.txt	1.85e2	15	46
g12.txt	9.292e4	5	35
g130.txt	3.42e2	16	46
g131.txt	1.020e3	19	78
g132.txt	1.037e3	27	122
g133.txt	1.081e3	18	51
g134.txt	4.590e4	0	1
g135.txt	1.095e3	16	68
g136.txt	5.97e2	18	70
g137.txt	9.63e2	24	108
g138.txt	1.832e4	22	177
g139.txt	6.53e2	27	76
g13.txt	6.88e2	22	74
g140.txt	2.128e3	30	193
g141.txt	3.360e3	23	108
g142.txt	5.335e3	22	99
g143.txt	4.26e2	15	52
g144.txt	2.009e4	71	501
g145.txt	3.000e3	32	199
g146.txt	1.007e4	25	131
g147.txt	7.33e2	13	57
g148.txt	1.90e2	22	47
g149.txt	4.1e1	19	21
g14.txt	3.347e3	24	136
g150.txt	1.660e3	15	103
g151.txt	4.794e3	5	32
g152.txt	8.25e2	14	25
g153.txt	9.093e3	27	150
g154.txt	1.080e4	25	127
g155.txt	3.897e3	42	289
g156.txt	2.83e2	23	37
g157.txt	1.723e3	48	204
g158.txt	3.618e3	31	204
g159.txt	3.57e2	24	105
g15.txt	2.518e3	47	311
g160.txt	2.158e3	45	273
g161.txt	1.077e3	25	94
g162.txt	1.483e3	38	170
g163.txt	8.01e2	21	86
g164.txt	1.426e3	27	63
g165.txt	2.100e3	24	89
g166.txt	1.061e3	26	92
g167.txt	2.40e2	28	48
g168.txt	2.45e2	21	64
g169.txt	4.024e3	29	159
g16.txt	1.35e2	22	40
g170.txt	1.857e3	23	101
g171.txt	1.890e3	28	181
g172.txt	7.053e3	21	149
g173.txt	5.840e4	16	142
g174.txt	7.448e3	19	107
g175.txt	1.333e4	22	149
g176.txt	5.733e3	15	88
g177.txt	9.8e1	21	50
g178.txt	2.29e2	23	54
g179.txt	3.96e2	21	45
g17.txt	1.009e3	14	50
g180.txt	3.83e2	20	75
g181.txt	1.243e3	20	102
g182.txt	3.061e4	19	138
g183.txt	3.033e3	22	98
g184.txt	3.32e2	20	57
g185.txt	3.48e2	17	46
g186.txt	9.887e3	14	58
g187.txt	1.72e2	24	52
g188.txt	1.724e3	20	111
g189.txt	9.03e2	28	80
g18.txt	2.914e3	32	178
g190.txt	1.155e3	26	101
g191.txt	8.5e1	21	38
g192.txt	9.422e3	24	102
g193.txt	3.22e2	20	47
g194.txt	1.85e2	35	57
g195.txt	1.60e2	25	32
g196.txt	1.328e4	16	96
g197.txt	2.281e3	22	130
g198.txt	4.959e3	38	253
g199.txt	8.08e2	18	74
g19.txt	1.697e4	14	99
g1.txt	2.894e3	16	69
g200.txt	2.853e4	24	170
g201.txt	1.88e2	28	76
g202.txt	5.43e2	22	63
g203.txt	7.24e2	17	52
g204.txt	1.606e4	11	65
g205.txt	5.37e2	18	64
g206.txt	3.360e3	18	81
g207.txt	2.02e2	26	57
g208.txt	2.743e3	20	102
g209.txt	3.271e3	14	54
g20.txt	1.241e3	24	108
g210.txt	9.181e3	18	125
g211.txt	9.180e3	15	62
g212.txt	2.22e2	20	58
g213.txt	7.023e3	32	230
g214.txt	5.89e2	21	49
g215.txt	6.211e3	30	200
