file	count	time(ms)	recursive_calls
g1000.txt	5.300e4	33	190
g100.txt	6.73e2	23	75
g101.txt	3.427e3	33	167
g102.txt	8.76e2	22	60
g103.txt	6.153e3	19	117
g104.txt	5.017e3	14	63
g105.txt	1.152e3	19	82
g106.txt	4.047e3	13	37
g107.txt	2.238e3	15	63
g108.txt	3.58e2	23	51
g109.txt	2.055e3	12	42
g10.txt	3.225e3	10	41
g110.txt	1.89e2	17	31
g111.txt	8.20e2	21	73
g112.txt	5.308e3	22	88
g113.txt	3.94e2	11	28
g114.txt	5.457e3	30	123
g115.txt	4.58e2	10	30
g116.txt	6.403e3	27	97
g117.txt	4.528e4	7	49
g118.txt	3.383e3	13	50
g119.txt	1.06e2	17	40
g11.txt	3.17e2	20	57
g120.txt	1.465e4	26	130
g121.txt	5.59e2	18	64
g122.txt	9.88e2	27	87
g123.txt	1.50e2	19	32
g124.txt	2.20e2	22	46
g125.txt	1.00e2	21	26
g126.txt	9.603e3	0	1
g127.txt	7.144e3	14	75
g128.txt	1.24e2	20	56
g129.txt	1.85e2	16	41
g12.txt	9.292e4	5	35
g130.txt	3.42e2	17	44
g131.txt	1.020e3	20	63
g132.txt	1.037e3	28	103
g133.txt	1.081e3	19	47
g134.txt	4.590e4	0	1
g135.txt	1.095e3	18	57
g136.txt	5.97e2	17	62
g137.txt	9.63e2	22	49
g138.txt	1.832e4	13	87
g139.txt	6.53e2	19	42
g13.txt	6.88e2	22	71
g140.txt	2.128e3	23	126
g141.txt	3.360e3	21	86
g142.txt	5.335e3	17	63
g143.txt	4.26e2	15	45
g144.txt	2.009e4	41	261
g145.txt	3.000e3	23	115
g146.txt	1.007e4	15	58
g147.txt	7.33e2	13	46
g148.txt	1.90e2	22	36
g149.txt	4.1e1	20	20
g14.txt	3.347e3	24	117
g150.txt	1.660e3	16	84
g151.txt	4.794e3	5	32
g152.txt	8.25e2	14	25
g153.txt	9.093e3	29	123
g154.txt	1.080e4	26	92
g155.txt	3.897e3	34	171
g156.txt	2.83e2	23	34
g157.txt	1.723e3	40	121
g158.txt	3.618e3	29	150
g159.txt	3.57e2	23	69
g15.txt	2.518e3	37	182
g160.txt	2.158e3	34	162
g161.txt	1.077e3	27	82
g162.txt	1.483e3	22	72
g163.txt	8.01e2	12	29
g164.txt	1.426e3	28	57
g165.txt	2.100e3	20	50
g166.txt	1.061e3	23	63
g167.txt	2.40e2	29	43
g168.txt	2.45e2	21	58
g169.txt	4.024e3	19	53
g16.txt	1.35e2	22	37
g170.txt	1.857e3	18	49
g171.txt	1.890e3	17	75
g172.txt	7.053e3	19	85
g173.txt	5.840e4	15	95
g174.txt	7.448e3	17	78
g175.txt	1.333e4	15	73
g176.txt	5.733e3	11	49
g177.txt	9.8e1	22	39
g178.txt	2.29e2	22	46
g179.txt	3.96e2	16	30
g17.txt	1.009e3	14	42
g180.txt	3.83e2	23	44
g181.txt	1.243e3	23	90
g182.txt	3.061e4	12	55
g183.txt	3.033e3	21	81
g184.txt	3.32e2	20	53
g185.txt	3.48e2	21	45
g186.txt	9.887e3	14	50
g187.txt	1.72e2	24	43
g188.txt	1.724e3	19	56
g189.txt	9.03e2	29	74
g18.txt	2.914e3	28	113
g190.txt	1.155e3	23	78
g191.txt	8.5e1	22	36
g192.txt	9.422e3	17	57
g193.txt	3.22e2	18	25
g194.txt	1.85e2	25	43
g195.txt	1.60e2	24	29
g196.txt	1.328e4	10	57
g197.txt	2.281e3	23	119
