file	count	time(ms)	recursive_calls
g1000.txt	13329189022	1981	26185
g100.txt	10227865558	5063	73737
g101.txt	11112416111	449	5489
g102.txt	30435646247151837	775	5279
g103.txt	2411641404	366	4925
g104.txt	152339778	368	5437
g105.txt	333667361268648	51737	544697
g106.txt	4220375	310	3579
g107.txt	6408062311257208	23934	203609
g108.txt	237605058268138371	7876	54451
g109.txt	274643134084892613	2028	14099
g10.txt	5369263270	5046	78999
g110.txt	23459381475	3433	44545
g111.txt	1120525201653	4233	48007
g112.txt	10002110106241	10249	107949
g113.txt	820572328	681	10249
g114.txt	442875209805	2015	23239
g115.txt	16701682458095	4522	47369
g116.txt	7030209	127	1967
g117.txt	4966029	116	2147
g118.txt	261283965233259	28814	271797
g119.txt	7744554995	829	11015
g11.txt	164200960447	838	10181
g120.txt	4173838327	2683	38725
g121.txt	7500542835188797	2482	18679
g122.txt	32478238058	4650	62457
g123.txt	34465166	261	2515
g124.txt	8484762079	3456	46955
g125.txt	25260182435497	4402	41771
g126.txt	17856558149248583	570	3007
g127.txt	9838581824068	6807	70479
g128.txt	5447233194567	8565	91437
g129.txt	10350433945464421	1973	13709
g12.txt	82127440852	5552	68601
g130.txt	240526810996783	2758	23345
g131.txt	82585420992262	3320	31421
g132.txt	61319829715	1085	11307
g133.txt	10647047841145582	7636	58843
g134.txt	3437301134989232407	8	39
g135.txt	1022548861296	6345	70937
g136.txt	34720468471	1228	15451
g137.txt	425524902622979	3504	30251
g138.txt	364526657983196413	1362	9147
g139.txt	2774123358984	18408	214105
g13.txt	590768752144	4268	49611
g140.txt	2280132844671	4115	44905
g141.txt	1925624610578	1508	14971
g142.txt	3278872721229	2899	31269
g143.txt	30897088936	3027	41765
g144.txt	2415728793995377	5854	48737
g145.txt	93736343	259	4461
g146.txt	19134371374	2119	29597
g147.txt	4400754216766102	2669	20751
g148.txt	22688380242551249	2759	20489
g149.txt	10299306329526	10654	114253
g14.txt	142526174892141799	2991	20385
g150.txt	3091882227677	4179	45811
g151.txt	14743008317	3683	51453
g152.txt	162991341993946	2483	22605
g153.txt	4646749997991	2219	23019
g154.txt	38350502807044	4041	35445
g155.txt	73204319073889	15443	152903
g156.txt	7042910130	3027	43001
g157.txt	23089300086	1732	23393
g158.txt	301814767	295	4493
g159.txt	1798256700969	7921	87919
g15.txt	25977100546	1248	15167
g160.txt	16301912232842589	1414	9231
g161.txt	1850136317708	6161	69591
g162.txt	115521228036	3606	45801
g163.txt	113090294359626	6814	68981
g164.txt	276242772	155	2429
g165.txt	59175008002191556	6419	46095
g166.txt	23211131126712	14604	152767
g167.txt	4619946447652246	2054	15293
g168.txt	22092862260200	3114	29837
g169.txt	127268501536	1270	14977
g16.txt	291287467065	2309	26825
g170.txt	1007287167353765	5622	50881
g171.txt	8166690504639	4545	47381
g172.txt	282295826111	2902	34907
g173.txt	91745793079	2467	30745
g174.txt	180632730413	12301	161289
g175.txt	21174463839755	2173	21011
g176.txt	19093842845175392	1563	10899
g177.txt	388801328680473	1494	12357
g178.txt	391140671421	3835	48385
g179.txt	1098563636647203	11366	108159
g17.txt	2123653657410689	9209	80021
g180.txt	145012123381	4975	61679
g181.txt	11412294094051	844	7901
g182.txt	29731355765097148108	9	39
g183.txt	16727388985800	8805	91465
g184.txt	71429536121260	1085	9787
g185.txt	1230469938061805	3701	31043
g186.txt	652583883753519106	2986	19457
g187.txt	300058036332774561	2669	17549
g188.txt	292882554703835	18374	176131
g189.txt	913230444	2090	33897
g18.txt	198182116705829	6278	57835
g190.txt	193132115752344481	91	195
g191.txt	11072875016737	5724	54569
g192.txt	6740529822750	5621	60005
g193.txt	121304372	361	5275
g194.txt	15969402762865	2948	28999
g195.txt	54341522606125	11481	117021
g196.txt	240131657176	556	6631
g197.txt	88726724055035	2413	21891
g198.txt	31101572295177841	544	3971
g199.txt	886765927697	1834	20439
g19.txt	812103945428	5972	71959
g1.txt	365388648615288	2077	17901
g200.txt	249255855914115	11337	110041
g201.txt	1248958611748	1238	13881
g202.txt	5622032310	1501	21683
g203.txt	10025442648017	4757	50447
g204.txt	50782024210961	9321	93107
g205.txt	83101800889492	11930	116823
g206.txt	10434679401562761	2938	23521
g207.txt	163551754604	1740	20429
g208.txt	6102712520920	35831	424941
g209.txt	1181432953	345	3267
g20.txt	179336145	405	6123
g210.txt	73603823351766	9802	95371
g211.txt	1682975898	606	8363
g212.txt	1387934698773	3615	41171
g213.txt	2046194013	1104	15981
g214.txt	7599599451809533	3488	25509
g215.txt	52009104	588	9895
g216.txt	40034055696051038	4432	34161
g217.txt	1574763810260	1251	13699
g218.txt	1222779049	550	7955
g219.txt	2246067397168778	6431	56315
g21.txt	63807485986644421	10507	79785
g220.txt	6405120385	415	5149
g221.txt	94799348771	1814	20601
g222.txt	63579591	250	4059
g223.txt	625812818637	2125	24843
g224.txt	18152058076815	16864	185369
g225.txt	281961632150220	1638	13369
g226.txt	279099197616	1596	18809
g227.txt	924259519	240	3181
g228.txt	5557110156219	4544	48707
g229.txt	62950087899008	3632	35279
g22.txt	6006947505035932521	6	9
g230.txt	367327976	377	4277
g231.txt	3363030386	658	9237
g232.txt	1666304652257224	544	4083
g233.txt	18960815374	741	10349
g234.txt	13024356405	1136	14553
g235.txt	15474706012611	2618	24523
g236.txt	24054904127	1200	15889
g237.txt	178146366	534	8533
g238.txt	6164380180	407	5197
g239.txt	99698330090953	2787	24083
g23.txt	85124913	1600	29941
g240.txt	9953083284731	6175	63309
g241.txt	1214368020712	869	8917
g242.txt	46613946941377	27313	284515
g243.txt	38546888979	2590	34567
g244.txt	197420563815	4734	58605
g245.txt	10547964279	3217	47287
g246.txt	1065631740137	3097	34039
g247.txt	251506016058710113	6776	44913
g248.txt	534021741999101	4508	38079
g249.txt	15667424	123	2143
g24.txt	1246945798540	2321	27445
g250.txt	56966949463309081	3032	23075
g251.txt	54985184656	874	9235
g252.txt	311954738035941	6253	55267
g253.txt	379651745101166	18760	174283
g254.txt	4619650829	1376	20731
g255.txt	182163543419875	77824	816163
g256.txt	10768176468383	2790	27447
g257.txt	18540446	609	9211
g258.txt	11715015496328606233	3	5
g259.txt	64340272960	1321	14619
g25.txt	2921010953677	7005	81045
g260.txt	14352049421838100	13463	108665
g261.txt	2481497785048813	9369	78497
g262.txt	2330940181014855	2136	15683
