file	count	time(ms)	recursive_calls
g1000.txt	13329189022	6099	21001
g100.txt	10227865558	14571	60605
g101.txt	11112416111	7213	16776
g102.txt	30435646247151837	1282	3656
g103.txt	2411641404	1411	3676
g104.txt	152339778	1496	3238
g105.txt	333667361268648	47114	192730
g106.txt	4220375	860	1525
g107.txt	6408062311257208	12073	49177
g108.txt	237605058268138371	3590	13275
g109.txt	274643134084892613	2560	8598
g10.txt	5369263270	10231	36860
g110.txt	23459381475	12781	45420
g111.txt	1120525201653	7387	30034
g112.txt	10002110106241	11059	48126
g113.txt	820572328	1893	4637
g114.txt	442875209805	6825	25400
g115.txt	16701682458095	26213	96791
g116.txt	7030209	1456	2660
g117.txt	4966029	1403	1926
g118.txt	261283965233259	30229	118161
g119.txt	7744554995	2959	9416
g11.txt	164200960447	4383	14881
g120.txt	4173838327	6480	20714
g121.txt	7500542835188797	2101	7766
g122.txt	32478238058	14290	53276
g123.txt	34465166	1825	2648
g124.txt	8484762079	6594	24323
g125.txt	25260182435497	13460	42272
g126.txt	17856558149248583	981	2945
g127.txt	9838581824068	21491	75588
g128.txt	5447233194567	14191	52111
g129.txt	10350433945464421	3509	12141
g12.txt	82127440852	12322	44183
g130.txt	240526810996783	2921	10736
g131.txt	82585420992262	5203	19887
g132.txt	61319829715	2178	8039
g133.txt	10647047841145582	6923	26305
g134.txt	3437301134989232407	17	37
g135.txt	1022548861296	19854	78439
g136.txt	34720468471	3083	10408
g137.txt	425524902622979	8955	30418
g138.txt	364526657983196413	1521	4737
g139.txt	2774123358984	28897	118863
g13.txt	590768752144	15617	61313
g140.txt	2280132844671	9308	31285
g141.txt	1925624610578	5690	18910
g142.txt	3278872721229	8720	29508
g143.txt	30897088936	10604	37107
g144.txt	2415728793995377	9663	35394
g145.txt	93736343	2115	4977
g146.txt	19134371374	5572	18737
g147.txt	4400754216766102	6566	22285
g148.txt	22688380242551249	3948	14414
g149.txt	10299306329526	15360	54357
g14.txt	142526174892141799	2431	8270
g150.txt	3091882227677	8516	27528
g151.txt	14743008317	8113	31467
g152.txt	162991341993946	5742	19818
g153.txt	4646749997991	5726	22448
g154.txt	38350502807044	11920	43233
g155.txt	73204319073889	14997	65384
g156.txt	7042910130	11534	41820
g157.txt	23089300086	6680	20500
g158.txt	301814767	1433	3677
g159.txt	1798256700969	12970	49414
g15.txt	25977100546	5922	21746
g160.txt	16301912232842589	1325	4160
g161.txt	1850136317708	10627	38758
g162.txt	115521228036	9869	32832
g163.txt	113090294359626	21283	83438
g164.txt	276242772	1683	3742
g165.txt	59175008002191556	8508	27019
g166.txt	23211131126712	33342	134939
g167.txt	4619946447652246	4444	14941
g168.txt	22092862260200	4058	13134
g169.txt	127268501536	3842	12226
g16.txt	291287467065	7152	26098
g170.txt	1007287167353765	3297	12745
g171.txt	8166690504639	7533	26905
g172.txt	282295826111	12037	44398
g173.txt	91745793079	3980	15353
g174.txt	180632730413	21445	83254
g175.txt	21174463839755	4621	14489
g176.txt	19093842845175392	1464	4834
g177.txt	388801328680473	3596	13157
g178.txt	391140671421	8155	29434
g179.txt	1098563636647203	11857	47598
g17.txt	2123653657410689	5468	19932
g180.txt	145012123381	16265	63984
g181.txt	11412294094051	1487	5508
g182.txt	29731355765097148108	30	57
g183.txt	16727388985800	8455	29532
g184.txt	71429536121260	2542	7049
g185.txt	1230469938061805	4011	14069
g186.txt	652583883753519106	1503	5071
g187.txt	300058036332774561	2681	8545
g188.txt	292882554703835	41973	177907
g189.txt	913230444	10181	35488
g18.txt	198182116705829	7949	26528
g190.txt	193132115752344481	76	172
g191.txt	11072875016737	10794	39388
g192.txt	6740529822750	8041	31203
g193.txt	121304372	3242	7559
g194.txt	15969402762865	5831	19800
g195.txt	54341522606125	25017	90932
g196.txt	240131657176	3862	9209
g197.txt	88726724055035	3802	12121
g198.txt	31101572295177841	1424	3870
g199.txt	886765927697	3608	11550
g19.txt	812103945428	11565	46227
g1.txt	365388648615288	7072	26625
g200.txt	249255855914115	15919	60868
g201.txt	1248958611748	2435	7575
g202.txt	5622032310	7277	26275
g203.txt	10025442648017	9213	32355
g204.txt	50782024210961	15005	55654
g205.txt	83101800889492	14244	60273
g206.txt	10434679401562761	2670	9803
g207.txt	163551754604	6386	18489
g208.txt	6102712520920	59967	256466
g209.txt	1181432953	1265	3568
g20.txt	179336145	2566	6819
g210.txt	73603823351766	13702	51157
g211.txt	1682975898	1381	4308
g212.txt	1387934698773	9030	30436
g213.txt	2046194013	5308	16771
g214.txt	7599599451809533	7148	23532
g215.txt	52009104	3932	11717
g216.txt	40034055696051038	8722	30097
g217.txt	1574763810260	3023	8809
g218.txt	1222779049	1529	5001
g219.txt	2246067397168778	8673	31930
g21.txt	63807485986644421	6294	22565
g220.txt	6405120385	2969	7284
g221.txt	94799348771	2252	6330
g222.txt	63579591	2361	4965
g223.txt	625812818637	5148	17637
g224.txt	18152058076815	20599	86137
g225.txt	281961632150220	3121	10718
g226.txt	279099197616	10605	33106
g227.txt	924259519	2801	4388
g228.txt	5557110156219	8947	27889
g229.txt	62950087899008	16515	60050
g22.txt	6006947505035932521	9	10
g230.txt	367327976	1190	2994
g231.txt	3363030386	2417	6939
g232.txt	1666304652257224	1495	3857
g233.txt	18960815374	1804	5889
g234.txt	13024356405	2928	10725
g235.txt	15474706012611	5521	18219
g236.txt	24054904127	3943	12838
g237.txt	178146366	1809	4595
g238.txt	6164380180	1891	5542
g239.txt	99698330090953	5087	16838
g23.txt	85124913	6713	24812
g240.txt	9953083284731	6987	25785
g241.txt	1214368020712	4262	12200
g242.txt	46613946941377	35481	131377
g243.txt	38546888979	6723	21430
g244.txt	197420563815	8433	30108
g245.txt	10547964279	5618	23104
g246.txt	1065631740137	9053	32701
g247.txt	251506016058710113	7416	25589
g248.txt	534021741999101	8244	30751
g249.txt	15667424	1509	3449
g24.txt	1246945798540	4027	15777
g250.txt	56966949463309081	4063	13814
g251.txt	54985184656	3978	11583
g252.txt	311954738035941	2963	10645
g253.txt	379651745101166	17854	67155
g254.txt	4619650829	3484	11794
g255.txt	182163543419875	60956	259858
g256.txt	10768176468383	15421	56011
g257.txt	18540446	3037	9513
g258.txt	11715015496328606233	4	5
g259.txt	64340272960	3386	11187
g25.txt	2921010953677	8875	33934
g260.txt	14352049421838100	14230	52065
g261.txt	2481497785048813	7928	26984
g262.txt	2330940181014855	1769	5055
g263.txt	377716007544	5625	19657
g264.txt	1804166428579	5597	20907
g265.txt	1474518416131273	13654	51384
g266.txt	75990005379125	20155	78439
g267.txt	2124058466154133	9229	34916
g268.txt	3785302545113	16739	67751
g269.txt	17046601103652	20783	80327
g26.txt	1630281779629127861	82	221
g270.txt	32307896553371	4917	16426
g271.txt	27010816	1027	1996
g272.txt	183415828443848891	882	2779
g273.txt	16705153767202357	3420	11126
g274.txt	649699502	2426	7936
g275.txt	7768662658510	9163	32013
g276.txt	532417646673	92965	397689
g277.txt	429385639	7851	26709
g278.txt	1502516430515510817	269	788
g279.txt	1307318126526	8002	29208
g27.txt	2243405120253	6478	22712
g280.txt	14085763143800	51612	201855
g281.txt	1283932227607787	16784	62188
g282.txt	272204449446461707	5150	19061
g283.txt	64235636150925	6826	26716
g284.txt	2747492860477393	6842	25568
g285.txt	33732478	2210	5220
g286.txt	106876181643003	4512	16512
g287.txt	18212393964385	13346	49185
g288.txt	193237070884550279	2455	8650
g289.txt	212281352358353	7180	23957
g28.txt	13031314350115	7043	26616
g290.txt	64630515265342355	1020	2844
g291.txt	95067482	3908	13585
