file	count	time(ms)	recursive_calls
g1000.txt	13329189022	4289	3088
g100.txt	10227865558	6033	5271
g101.txt	11112416111	2791	1304
g102.txt	30435646247151837	800	789
g103.txt	2411641404	3768	926
g104.txt	152339778	3042	751
g105.txt	333667361268648	5188	5190
g106.txt	4220375	4751	606
g107.txt	6408062311257208	1688	1273
g108.txt	237605058268138371	723	613
g109.txt	274643134084892613	978	1186
g10.txt	5369263270	5509	3728
g110.txt	23459381475	4243	2830
g111.txt	1120525201653	4089	3053
g112.txt	10002110106241	4581	4200
g113.txt	820572328	4028	683
g114.txt	442875209805	2822	1210
g115.txt	16701682458095	3097	2935
g116.txt	7030209	4226	589
g117.txt	4966029	5951	612
g118.txt	261283965233259	4008	3543
g119.txt	7744554995	3400	1178
g11.txt	164200960447	3440	2045
g120.txt	4173838327	4566	2838
g121.txt	7500542835188797	1708	2211
g122.txt	32478238058	4633	3306
g123.txt	34465166	3792	855
g124.txt	8484762079	4482	3103
g125.txt	25260182435497	2048	1730
g126.txt	17856558149248583	515	541
g127.txt	9838581824068	3868	3226
g128.txt	5447233194567	4734	4585
g129.txt	10350433945464421	1574	1289
g12.txt	82127440852	3092	2180
g130.txt	240526810996783	1754	1742
g131.txt	82585420992262	1913	1491
g132.txt	61319829715	2387	1453
g133.txt	10647047841145582	1283	1003
g134.txt	3437301134989232407	40	41
g135.txt	1022548861296	5526	5437
g136.txt	34720468471	3038	920
g137.txt	425524902622979	2989	2974
g138.txt	364526657983196413	657	378
g139.txt	2774123358984	4665	3612
g13.txt	590768752144	4515	4757
g140.txt	2280132844671	4288	3965
g141.txt	1925624610578	2345	1859
g142.txt	3278872721229	3270	2842
g143.txt	30897088936	3349	1771
g144.txt	2415728793995377	2453	2168
g145.txt	93736343	5586	1104
g146.txt	19134371374	3624	1401
g147.txt	4400754216766102	1884	1786
g148.txt	22688380242551249	1126	988
g149.txt	10299306329526	2783	1986
g14.txt	142526174892141799	649	870
g150.txt	3091882227677	2115	1946
g151.txt	14743008317	5160	3628
g152.txt	162991341993946	2077	1884
g153.txt	4646749997991	3634	3082
g154.txt	38350502807044	1737	1480
g155.txt	73204319073889	2798	2182
g156.txt	7042910130	5276	4829
g157.txt	23089300086	2963	1670
g158.txt	301814767	3974	951
g159.txt	1798256700969	3852	3282
g15.txt	25977100546	3204	1740
g160.txt	16301912232842589	919	894
g161.txt	1850136317708	2481	1219
g162.txt	115521228036	2676	1233
g163.txt	113090294359626	2960	2734
g164.txt	276242772	3309	892
g165.txt	59175008002191556	622	516
g166.txt	23211131126712	5750	4893
g167.txt	4619946447652246	1362	1329
g168.txt	22092862260200	1888	1158
g169.txt	127268501536	2422	1390
g16.txt	291287467065	4858	5160
g170.txt	1007287167353765	2187	1461
g171.txt	8166690504639	2262	2185
g172.txt	282295826111	4016	3215
g173.txt	91745793079	3727	2035
g174.txt	180632730413	6379	5658
g175.txt	21174463839755	1834	1243
g176.txt	19093842845175392	2065	2331
g177.txt	388801328680473	1587	1221
g178.txt	391140671421	4312	3870
g179.txt	1098563636647203	3036	3648
g17.txt	2123653657410689	1901	1271
g180.txt	145012123381	4669	3227
g181.txt	11412294094051	1533	998
g182.txt	29731355765097148108	32	48
g183.txt	16727388985800	2852	2486
g184.txt	71429536121260	1246	749
g185.txt	1230469938061805	3658	3880
g186.txt	652583883753519106	425	441
g187.txt	300058036332774561	1205	1389
g188.txt	292882554703835	3533	3304
g189.txt	913230444	4330	3076
g18.txt	198182116705829	2246	2066
g190.txt	193132115752344481	231	213
g191.txt	11072875016737	2980	2086
g192.txt	6740529822750	2445	1844
g193.txt	121304372	4130	1554
g194.txt	15969402762865	2068	1680
g195.txt	54341522606125	2993	2890
g196.txt	240131657176	2752	1232
g197.txt	88726724055035	1810	2093
g198.txt	31101572295177841	884	746
g199.txt	886765927697	2634	1944
g19.txt	812103945428	3271	2273
g1.txt	365388648615288	2517	2301
g200.txt	249255855914115	4735	3837
g201.txt	1248958611748	2050	813
g202.txt	5622032310	3643	2317
g203.txt	10025442648017	2637	2606
g204.txt	50782024210961	3399	2425
g205.txt	83101800889492	3821	3248
g206.txt	10434679401562761	935	722
g207.txt	163551754604	2704	1458
g208.txt	6102712520920	7200	7895
g209.txt	1181432953	3469	983
g20.txt	179336145	4598	2326
g210.txt	73603823351766	2894	2468
g211.txt	1682975898	4341	1133
g212.txt	1387934698773	2932	1569
g213.txt	2046194013	4234	2385
g214.txt	7599599451809533	1602	1629
g215.txt	52009104	4498	868
g216.txt	40034055696051038	1485	1494
g217.txt	1574763810260	2781	2831
g218.txt	1222779049	3997	1260
g219.txt	2246067397168778	2678	2607
g21.txt	63807485986644421	1142	1132
g220.txt	6405120385	3010	1054
g221.txt	94799348771	2291	972
g222.txt	63579591	5097	1125
g223.txt	625812818637	2621	1623
g224.txt	18152058076815	4477	4119
g225.txt	281961632150220	2666	2283
g226.txt	279099197616	3034	1787
g227.txt	924259519	4167	791
g228.txt	5557110156219	2525	1455
g229.txt	62950087899008	3680	3155
g22.txt	6006947505035932521	55	36
g230.txt	367327976	4036	856
g231.txt	3363030386	3782	921
g232.txt	1666304652257224	651	407
g233.txt	18960815374	3223	1140
g234.txt	13024356405	3810	1723
g235.txt	15474706012611	3791	4782
g236.txt	24054904127	3272	1404
g237.txt	178146366	4348	969
g238.txt	6164380180	3425	1027
g239.txt	99698330090953	2519	2389
g23.txt	85124913	4963	2297
g240.txt	9953083284731	2909	1779
g241.txt	1214368020712	1863	1139
g242.txt	46613946941377	5169	4318
g243.txt	38546888979	3606	1704
g244.txt	197420563815	4729	4094
g245.txt	10547964279	3893	1923
g246.txt	1065631740137	3904	3521
g247.txt	251506016058710113	879	866
g248.txt	534021741999101	2835	3091
g249.txt	15667424	4689	982
g24.txt	1246945798540	2262	1335
g250.txt	56966949463309081	1471	1643
g251.txt	54985184656	2693	1732
g252.txt	311954738035941	1159	847
g253.txt	379651745101166	6314	6349
g254.txt	4619650829	3263	1398
g255.txt	182163543419875	4735	3986
g256.txt	10768176468383	3155	2781
g257.txt	18540446	4818	1849
g258.txt	11715015496328606233	12	15
g259.txt	64340272960	2669	1681
g25.txt	2921010953677	3609	3230
g260.txt	14352049421838100	1276	1076
g261.txt	2481497785048813	1115	682
g262.txt	2330940181014855	1023	659
g263.txt	377716007544	2588	1809
g264.txt	1804166428579	2556	1967
g265.txt	1474518416131273	1846	1607
g266.txt	75990005379125	4344	3930
g267.txt	2124058466154133	1538	1258
g268.txt	3785302545113	3501	2523
g269.txt	17046601103652	3623	4124
g26.txt	1630281779629127861	127	138
g270.txt	32307896553371	2100	1415
g271.txt	27010816	4607	547
g272.txt	183415828443848891	408	383
g273.txt	16705153767202357	2004	2204
g274.txt	649699502	4192	1235
g275.txt	7768662658510	4294	4067
g276.txt	532417646673	5832	4671
g277.txt	429385639	5321	3279
g278.txt	1502516430515510817	166	262
g279.txt	1307318126526	2633	1882
g27.txt	2243405120253	3345	2874
g280.txt	14085763143800	3479	2529
g281.txt	1283932227607787	2468	2478
g282.txt	272204449446461707	824	800
g283.txt	64235636150925	1744	996
g284.txt	2747492860477393	1850	1286
g285.txt	33732478	4371	752
g286.txt	106876181643003	2146	1947
g287.txt	18212393964385	2731	2283
g288.txt	193237070884550279	640	776
g289.txt	212281352358353	2122	2012
g28.txt	13031314350115	3243	2613
g290.txt	64630515265342355	526	359
g291.txt	95067482	4614	1703
g292.txt	321234287734	3949	3122
g293.txt	1655697773490	2424	1892
g294.txt	736737824483425	4121	3973
g295.txt	28973111	4725	1451
g296.txt	8500899765	2913	851
g297.txt	514391785527465	3306	3227
g298.txt	723537646	4655	2181
g299.txt	884592	6209	787
g29.txt	36685837340478	3457	2343
g2.txt	107052758446137	4934	4717
g300.txt	416976662	3678	1483
g301.txt	7629730433880249125	135	104
g302.txt	1879828049833	6541	6620
g303.txt	921447705	3729	2256
g304.txt	887942466914433	3020	2622
g305.txt	2635041159954	5617	4367
g306.txt	732172604	3614	944
g307.txt	6689627799	3572	1724
g308.txt	75271886705	4704	4149
g309.txt	5736376063163	3599	4165
g30.txt	115624414584	2953	1041
g310.txt	703204492754528	3805	3627
g311.txt	137302742575305	1614	955
g312.txt	470520405264	1813	919
g313.txt	304532731262509	1754	1011
g314.txt	3717581204701949	1302	1122
g315.txt	30125116657816	7386	6691
g316.txt	357961640208132745	181	141
g317.txt	16197785388148355	949	850
g318.txt	186294533131241353	950	735
g319.txt	196813741040	2643	1240
g31.txt	11099474820598	4135	4235
g320.txt	7378028995861997	353	288
g321.txt	386417256624391609	1910	2191
g322.txt	20561628417239071	2063	1835
g323.txt	218628505247	3160	2099
g324.txt	11532890037	4206	3111
g325.txt	704174629617	3251	2313
g326.txt	3937091634967549	2498	1485
g327.txt	2690466383	3372	620
g328.txt	5402877364	4425	1428
g329.txt	689486991093	4088	3156
g32.txt	100096066849121	2918	2686
g330.txt	17788597394020423	1043	1257
g331.txt	5979189413503	3445	2276
g332.txt	328588530931736357	424	376
g333.txt	5599243191468	2147	1319
g334.txt	100791581747342	3192	2623
g335.txt	58518718389504	1709	949
g336.txt	1483069220921	3065	1860
g337.txt	294669845439426249	612	723
g338.txt	126505142158	4974	5084
g339.txt	41091177801405	2404	2051
g33.txt	91326169112	4353	3130
g340.txt	11868771937271	5323	5165
g341.txt	628320453563	2669	1433
g342.txt	89078853868251202	567	576
g343.txt	50761329	4606	1191
g344.txt	12068863667511289	762	513
