file	count	time(ms)	recursive_calls
g1000.txt	13329189022	4347	1260
g100.txt	10227865558	5910	2474
g101.txt	11112416111	2878	641
g102.txt	30435646247151837	1941	519
g103.txt	2411641404	2403	571
g104.txt	152339778	1480	362
g105.txt	333667361268648	5928	2352
g106.txt	4220375	2194	375
g107.txt	6408062311257208	4262	1106
g108.txt	237605058268138371	1421	446
g109.txt	274643134084892613	1599	472
g10.txt	5369263270	5295	1900
g110.txt	23459381475	5088	1574
g111.txt	1120525201653	4546	1624
g112.txt	10002110106241	7239	2703
g113.txt	820572328	1910	376
g114.txt	442875209805	2610	772
g115.txt	16701682458095	5265	1577
g116.txt	7030209	1229	353
g117.txt	4966029	1580	413
g118.txt	261283965233259	9791	2869
g119.txt	7744554995	2919	823
g11.txt	164200960447	3815	1277
g120.txt	4173838327	5334	1169
g121.txt	7500542835188797	2611	889
g122.txt	32478238058	4369	1136
g123.txt	34465166	1454	525
g124.txt	8484762079	3478	1146
g125.txt	25260182435497	3865	1111
g126.txt	17856558149248583	1611	355
g127.txt	9838581824068	6154	1900
g128.txt	5447233194567	6915	2208
g129.txt	10350433945464421	2755	864
g12.txt	82127440852	4753	1217
g130.txt	240526810996783	3272	972
g131.txt	82585420992262	3329	989
g132.txt	61319829715	3070	729
g133.txt	10647047841145582	3379	853
g134.txt	3437301134989232407	289	34
g135.txt	1022548861296	5559	2093
g136.txt	34720468471	3537	648
g137.txt	425524902622979	4674	1360
g138.txt	364526657983196413	1938	358
g139.txt	2774123358984	4090	962
g13.txt	590768752144	6798	2517
g140.txt	2280132844671	6728	2165
g141.txt	1925624610578	2976	1110
g142.txt	3278872721229	4995	1522
g143.txt	30897088936	2968	919
g144.txt	2415728793995377	3125	997
g145.txt	93736343	2363	765
g146.txt	19134371374	2553	839
g147.txt	4400754216766102	3151	979
g148.txt	22688380242551249	3633	953
g149.txt	10299306329526	4317	1305
g14.txt	142526174892141799	2077	555
g150.txt	3091882227677	3673	1164
g151.txt	14743008317	5215	1909
g152.txt	162991341993946	3748	1008
g153.txt	4646749997991	6537	2032
g154.txt	38350502807044	3479	905
g155.txt	73204319073889	5450	1575
g156.txt	7042910130	5930	2297
g157.txt	23089300086	3252	970
g158.txt	301814767	1736	449
g159.txt	1798256700969	7109	2017
g15.txt	25977100546	3623	1057
g160.txt	16301912232842589	2890	938
g161.txt	1850136317708	2476	746
g162.txt	115521228036	4065	741
g163.txt	113090294359626	4764	1394
g164.txt	276242772	2731	613
g165.txt	59175008002191556	2245	451
g166.txt	23211131126712	5665	2001
g167.txt	4619946447652246	3107	878
g168.txt	22092862260200	3723	692
g169.txt	127268501536	3896	1050
g16.txt	291287467065	7091	2194
g170.txt	1007287167353765	2245	779
g171.txt	8166690504639	3100	1288
g172.txt	282295826111	4796	1528
g173.txt	91745793079	2420	929
g174.txt	180632730413	7310	2560
g175.txt	21174463839755	3038	818
g176.txt	19093842845175392	2170	513
g177.txt	388801328680473	3441	878
g178.txt	391140671421	4232	1374
g179.txt	1098563636647203	4925	1395
g17.txt	2123653657410689	3778	744
g180.txt	145012123381	5154	1504
g181.txt	11412294094051	3200	648
g182.txt	29731355765097148108	417	46
g183.txt	16727388985800	5147	1647
g184.txt	71429536121260	2413	626
g185.txt	1230469938061805	4157	1190
g186.txt	652583883753519106	1443	360
g187.txt	300058036332774561	2448	638
g188.txt	292882554703835	5789	1866
g189.txt	913230444	4577	1641
g18.txt	198182116705829	4618	1333
g190.txt	193132115752344481	927	191
g191.txt	11072875016737	4588	1342
g192.txt	6740529822750	3440	795
g193.txt	121304372	3406	823
g194.txt	15969402762865	2433	687
g195.txt	54341522606125	5106	1692
g196.txt	240131657176	2331	669
g197.txt	88726724055035	3646	1464
g198.txt	31101572295177841	1599	364
g199.txt	886765927697	4237	1094
g19.txt	812103945428	4416	1411
g1.txt	365388648615288	4626	1471
g200.txt	249255855914115	4679	1723
g201.txt	1248958611748	2344	568
g202.txt	5622032310	2906	1168
g203.txt	10025442648017	3653	1063
g204.txt	50782024210961	4423	1477
g205.txt	83101800889492	4514	1580
g206.txt	10434679401562761	2433	622
g207.txt	163551754604	4274	874
g208.txt	6102712520920	8042	3186
g209.txt	1181432953	2083	645
g20.txt	179336145	4155	1456
g210.txt	73603823351766	5350	1726
g211.txt	1682975898	2539	683
g212.txt	1387934698773	4344	948
g213.txt	2046194013	3240	1366
g214.txt	7599599451809533	3217	962
g215.txt	52009104	2167	686
g216.txt	40034055696051038	2779	842
g217.txt	1574763810260	3235	1241
g218.txt	1222779049	3121	716
g219.txt	2246067397168778	4694	1600
g21.txt	63807485986644421	2302	632
g220.txt	6405120385	2987	731
g221.txt	94799348771	2079	630
g222.txt	63579591	2569	717
g223.txt	625812818637	3081	1029
g224.txt	18152058076815	5074	1762
g225.txt	281961632150220	3480	941
g226.txt	279099197616	4032	1228
g227.txt	924259519	1205	493
g228.txt	5557110156219	4007	1109
g229.txt	62950087899008	3513	1058
g22.txt	6006947505035932521	210	36
g230.txt	367327976	1772	570
g231.txt	3363030386	1891	622
g232.txt	1666304652257224	1950	364
g233.txt	18960815374	3551	775
g234.txt	13024356405	3487	831
g235.txt	15474706012611	4550	1468
g236.txt	24054904127	3086	926
g237.txt	178146366	1715	438
g238.txt	6164380180	2181	606
g239.txt	99698330090953	4060	1292
g23.txt	85124913	3429	1367
g240.txt	9953083284731	4017	1112
g241.txt	1214368020712	3135	813
g242.txt	46613946941377	6634	2182
g243.txt	38546888979	3293	999
g244.txt	197420563815	5248	1864
g245.txt	10547964279	3397	1173
g246.txt	1065631740137	4244	1683
g247.txt	251506016058710113	2717	674
g248.txt	534021741999101	4221	1248
g249.txt	15667424	1790	524
g24.txt	1246945798540	3570	851
g250.txt	56966949463309081	3369	1115
g251.txt	54985184656	2817	846
g252.txt	311954738035941	2688	610
g253.txt	379651745101166	6612	2249
g254.txt	4619650829	3942	1224
g255.txt	182163543419875	5457	1975
g256.txt	10768176468383	4711	1744
g257.txt	18540446	2708	1056
g258.txt	11715015496328606233	158	15
g259.txt	64340272960	2820	685
g25.txt	2921010953677	4232	1495
g260.txt	14352049421838100	3059	791
g261.txt	2481497785048813	2423	562
g262.txt	2330940181014855	1934	465
g263.txt	377716007544	3407	1284
g264.txt	1804166428579	4222	1312
g265.txt	1474518416131273	3585	1170
g266.txt	75990005379125	6122	2339
g267.txt	2124058466154133	3401	1079
g268.txt	3785302545113	3082	1269
g269.txt	17046601103652	5380	2137
g26.txt	1630281779629127861	802	126
g270.txt	32307896553371	3780	1075
g271.txt	27010816	1184	346
g272.txt	183415828443848891	1499	316
g273.txt	16705153767202357	2143	649
g274.txt	649699502	2610	681
g275.txt	7768662658510	5403	2023
g276.txt	532417646673	9520	3335
g277.txt	429385639	6639	1950
g278.txt	1502516430515510817	1032	266
g279.txt	1307318126526	3465	1357
g27.txt	2243405120253	5016	1615
g280.txt	14085763143800	6299	1998
g281.txt	1283932227607787	3931	1371
g282.txt	272204449446461707	2342	643
g283.txt	64235636150925	3193	764
g284.txt	2747492860477393	3877	925
g285.txt	33732478	1759	523
g286.txt	106876181643003	3453	955
g287.txt	18212393964385	4105	1057
g288.txt	193237070884550279	1759	602
g289.txt	212281352358353	5149	1494
g28.txt	13031314350115	5251	1611
g290.txt	64630515265342355	1435	280
g291.txt	95067482	2446	769
g292.txt	321234287734	4865	1684
g293.txt	1655697773490	2594	671
g294.txt	736737824483425	4853	1266
g295.txt	28973111	2094	814
g296.txt	8500899765	1595	577
g297.txt	514391785527465	5110	1680
g298.txt	723537646	5269	1409
g299.txt	884592	1460	443
g29.txt	36685837340478	5170	1402
g2.txt	107052758446137	6502	2126
g300.txt	416976662	2544	997
g301.txt	7629730433880249125	713	94
g302.txt	1879828049833	6028	2008
g303.txt	921447705	3364	1344
g304.txt	887942466914433	5266	1668
g305.txt	2635041159954	8404	2694
g306.txt	732172604	2043	592
g307.txt	6689627799	4281	1092
g308.txt	75271886705	5871	1664
g309.txt	5736376063163	5754	2060
g30.txt	115624414584	2154	638
g310.txt	703204492754528	6087	2078
g311.txt	137302742575305	2541	567
g312.txt	470520405264	3605	590
g313.txt	304532731262509	2686	619
g314.txt	3717581204701949	2883	784
g315.txt	30125116657816	9360	3199
g316.txt	357961640208132745	674	128
g317.txt	16197785388148355	2522	765
g318.txt	186294533131241353	2221	452
g319.txt	196813741040	3475	819
g31.txt	11099474820598	7215	2667
g320.txt	7378028995861997	1807	319
g321.txt	386417256624391609	4025	1210
g322.txt	20561628417239071	4151	1176
g323.txt	218628505247	4880	1342
g324.txt	11532890037	4528	1655
g325.txt	704174629617	4303	1266
g326.txt	3937091634967549	5181	1142
g327.txt	2690466383	1800	438
g328.txt	5402877364	4286	677
g329.txt	689486991093	4989	1516
g32.txt	100096066849121	4970	1335
g330.txt	17788597394020423	2775	667
g331.txt	5979189413503	3559	1146
g332.txt	328588530931736357	1243	281
g333.txt	5599243191468	4671	1124
g334.txt	100791581747342	4292	1091
g335.txt	58518718389504	1828	399
g336.txt	1483069220921	4901	1180
g337.txt	294669845439426249	1839	547
g338.txt	126505142158	6448	2563
g339.txt	41091177801405	3814	1136
g33.txt	91326169112	6019	1924
g340.txt	11868771937271	6313	2047
g341.txt	628320453563	3421	952
g342.txt	89078853868251202	1353	380
g343.txt	50761329	2063	657
g344.txt	12068863667511289	2094	382
g345.txt	144449703804	3794	868
g346.txt	6814572046515	3098	1004
g347.txt	62723615941336	9188	3441
g348.txt	28544346546282	4371	1445
g349.txt	106084892630	5508	2183
g34.txt	978531156	3566	1310
g350.txt	23295512530	4805	1767
g351.txt	15806159508	4775	1103
g352.txt	1999931518673	3125	891
g353.txt	10517618	1178	320
g354.txt	47342504807404	3562	992
g355.txt	30867805504102	3075	854
g356.txt	70467002	1561	617
g357.txt	19297095283685	3453	1063
g358.txt	955124215	2246	573
